link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
882686,882688,38.95456,-90.3812,121.80551,0.11195598,0.04,0.08,203.00919,609.0275,1402.0,,0
880488,882686,38.95994,-90.38905,2.791011,0.59229076,0.06,0.12,4.651685,13.955055,514.0,,1
880490,882686,38.959152,-90.39393,121.804726,0.1119563,0.04,0.08,203.00787,609.0236,1028.0,,1
879614,880488,38.962475,-90.389694,2.7518148,0.595998,0.06,0.12,4.586358,13.759074,76.0,,2
880486,880490,38.961693,-90.40423,121.804665,0.11195632,0.04,0.08,203.00778,609.0233,831.0,,2
879610,879614,38.97373,-90.38327,2.234962,0.653288,0.06,0.12,3.7249365,11.174809,3140.0,,3
879612,879614,38.97637,-90.396095,2.1085234,0.6702901,0.06,0.12,3.5142057,10.542617,3409.0,,3
880482,880486,38.964672,-90.41095,2.141986,0.66565,0.06,0.12,3.5699763,10.709929,576.0,,3
880484,880486,38.963337,-90.41527,121.804306,0.11195646,0.04,0.08,203.00717,609.02155,1111.0,,3
879598,880482,38.97206,-90.406235,2.0774093,0.67470074,0.06,0.12,3.4623487,10.387046,1526.0,,4
880476,880484,38.965736,-90.422714,1.7333801,0.7308027,0.06,0.12,2.8889668,8.666901,461.0,,4
880478,880484,38.963947,-90.425064,121.80407,0.11195656,0.04,0.08,203.00677,609.0203,578.0,,4
879540,879598,38.98485,-90.40486,1.1959695,0.8608078,0.06,0.12,1.9932824,5.9798474,1568.0,,5
879542,879598,38.98536,-90.41203,1.3653501,0.8119475,0.06,0.12,2.2755835,6.8267508,1776.0,,5
879596,880476,38.976196,-90.41483,1.6231024,0.75230646,0.06,0.12,2.7051709,8.115513,2670.0,,5
880494,880478,38.961582,-90.43588,114.42866,0.11508463,0.045,0.09,190.71443,572.1433,1395.0,,5
880480,880478,38.965073,-90.429825,66.39148,0.14632596,0.045,0.09,110.652466,331.9574,324.0,05587450,5
880500,880494,38.95788,-90.44496,1.4608076,0.7880974,0.06,0.12,2.4346793,7.304038,421.0,,6
880470,880480,38.966827,-90.432465,1.6455345,0.7477646,0.06,0.12,2.7425575,8.227673,303.0,,6
880816,880494,38.95562,-90.4584,114.42845,0.11508472,0.045,0.09,190.71408,572.1423,2764.0,,6
880472,880480,38.966248,-90.43378,66.391,0.14632642,0.045,0.09,110.651665,331.955,424.0,,6
879594,880470,38.97686,-90.429535,1.4356455,0.7941617,0.06,0.12,2.3927424,7.1782274,1920.0,,7
880466,880472,38.967514,-90.43718,2.2082462,0.6567632,0.06,0.12,3.6804104,11.041231,276.0,,7
880534,880816,38.945335,-90.47562,114.42813,0.115084864,0.045,0.09,190.71355,572.1406,985.0,,7
880468,880472,38.967087,-90.442024,66.38994,0.14632745,0.045,0.09,110.6499,331.9497,1006.0,,7
879592,880466,38.98299,-90.44103,2.1915834,0.6589615,0.06,0.12,3.652639,10.957917,3332.0,,8
880462,880468,38.968346,-90.44828,2.2727659,0.64847153,0.06,0.12,3.7879431,11.36383,193.0,,8
880548,880534,38.938354,-90.48628,114.376884,0.11510761,0.045,0.09,190.62814,571.88446,1522.0,,8
880572,880534,38.931904,-90.48238,11.991242,0.31133285,0.055,0.11,19.985403,59.95621,2249.0,,8
880464,880468,38.967842,-90.451416,66.388336,0.14632902,0.045,0.09,110.647224,331.94168,616.0,,8
879590,880462,38.98388,-90.445435,2.2641504,0.649559,0.06,0.12,3.773584,11.320751,3578.0,,9
880552,880548,38.932617,-90.494415,1.56697,0.76407903,0.06,0.12,2.6116166,7.83485,341.0,,9
880574,880572,38.92202,-90.48823,3.042828,0.57014304,0.06,0.12,5.07138,15.214141,259.0,,9
880596,880548,38.919247,-90.50659,114.376656,0.115107715,0.045,0.09,190.62776,571.88324,4087.0,,9
880576,880572,38.921024,-90.490395,11.876379,0.3126577,0.055,0.11,19.793964,59.381893,604.0,,9
882682,880464,38.964436,-90.46309,1.309841,0.82695216,0.06,0.12,2.1830683,6.5492053,1661.0,,9
880810,880464,38.968582,-90.45591,66.38803,0.1463293,0.045,0.09,110.64672,331.9402,188.0,,9
879740,880552,38.942093,-90.49331,1.5304213,0.77207625,0.06,0.12,2.550702,7.6521063,2132.0,,10
879804,880574,38.91626,-90.48777,3.0359926,0.570709,0.06,0.12,5.0599875,15.179963,1370.0,,10
880458,880810,38.969685,-90.45735,2.1473231,0.6649196,0.06,0.12,3.578872,10.736616,172.0,,10
880598,880596,38.903797,-90.520546,2.2292328,0.65402824,0.06,0.12,3.7153878,11.146164,206.0,,10
880630,880596,38.89323,-90.523186,114.37586,0.115108065,0.045,0.09,190.62643,571.87933,2360.0,,10
880590,880576,38.913635,-90.49739,11.868513,0.31274912,0.055,0.11,19.780855,59.342564,1511.0,,10
880582,880576,38.917725,-90.49264,1.1688428,0.869565,0.06,0.12,1.9480714,5.844214,281.0,,10
880460,880810,38.969185,-90.45893,66.38708,0.14633024,0.045,0.09,110.64513,331.9354,360.0,,10
879576,880458,38.985683,-90.458595,2.135116,0.6665941,0.06,0.12,3.558527,10.675581,3938.0,,11
879830,880598,38.902966,-90.53615,2.2142818,0.6559728,0.06,0.12,3.6904697,11.071409,2747.0,,11
880456,880460,38.9702,-90.46159,1.8709813,0.70658404,0.06,0.12,3.118302,9.354906,215.0,,11
880632,880630,38.886276,-90.53332,2.6305003,0.6079718,0.06,0.12,4.384167,13.152501,264.0,,11
3601938,880460,38.969368,-90.46386,66.38607,0.1463312,0.045,0.09,110.643456,331.93036,488.0,,11
