link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
2938485,2930723,39.07434,-90.69806,113.94966,0.11529781,0.045,0.09,189.9161,569.7483,458.0,,0
2930719,2938485,39.078133,-90.694,113.94962,0.115297824,0.045,0.09,189.91605,569.7481,637.0,,1
2938477,2930719,39.080418,-90.69066,113.949585,0.11529785,0.045,0.09,189.91597,569.7479,140.0,,2
2930715,2938477,39.084553,-90.69079,1.9984484,0.68633443,0.06,0.12,3.3307474,9.992242,877.0,,3
2930713,2938477,39.08418,-90.68599,113.94931,0.115297966,0.045,0.09,189.91553,569.7466,1023.0,,3
2938471,2930715,39.09246,-90.691124,1.9184985,0.698809,0.06,0.12,3.1974976,9.592493,905.0,,4
2930707,2930713,39.08882,-90.677345,2.2198863,0.6552416,0.06,0.12,3.6998105,11.099432,880.0,,4
2930709,2930713,39.088615,-90.68154,113.94797,0.11529857,0.045,0.09,189.91328,569.7398,253.0,,4
2931021,2930707,39.091583,-90.67334,1.9300927,0.69695395,0.06,0.12,3.2168212,9.650463,56.0,,5
2930965,2938471,39.09666,-90.69184,1.5279514,0.77262664,0.06,0.12,2.5465856,7.6397567,71.0,,5
2930705,2930709,39.097595,-90.682335,113.94681,0.11529908,0.045,0.09,189.91135,569.7341,1780.0,,5
2930959,2938471,39.101326,-90.688034,1.2301689,0.85016674,0.06,0.12,2.0502815,6.150845,1242.0,,5
2930703,2930709,39.092415,-90.6769,3.287612,0.5510093,0.055,0.11,5.479353,30.0,931.0,,5
2931015,2930707,39.092815,-90.67299,0.4382627,1.3404566,0.06,0.12,0.7304379,2.1913135,282.0,,5
2930059,2931021,39.09255,-90.66421,1.9298307,0.69699574,0.06,0.12,3.2163844,9.649154,1619.0,,6
2930049,2930965,39.09688,-90.69252,1.5188278,0.7746707,0.06,0.12,2.5313797,7.594139,63.0,,6
2938461,2930705,39.110493,-90.68454,113.9467,0.11529913,0.045,0.09,189.91116,569.7335,1136.0,,6
2931019,2930703,39.094788,-90.67173,3.2537348,0.55353296,0.055,0.11,5.4228916,30.0,216.0,,6
2930075,2930059,39.092087,-90.6468,1.541036,0.7697255,0.06,0.12,2.5683932,7.70518,1644.0,,7
2931013,2931019,39.096275,-90.67206,0.7021581,1.0887891,0.06,0.12,1.1702635,3.5107906,165.0,,7
2930047,2930049,39.10843,-90.69067,1.5167394,0.7751411,0.06,0.12,2.527899,7.5836973,2579.0,,7
2930681,2938461,39.11796,-90.68947,1.0966281,0.8943782,0.06,0.12,1.8277135,5.4831405,862.0,,7
2930679,2938461,39.117535,-90.686,113.94656,0.115299195,0.045,0.09,189.91093,569.7328,463.0,,7
2931011,2931019,39.096607,-90.67062,3.232113,0.5551636,0.055,0.11,5.386855,30.0,262.0,,7
2930043,2931013,39.09713,-90.67372,0.3735371,1.4383705,0.06,0.12,0.6225618,1.8676854,201.0,,8
2930961,2931011,39.09797,-90.67009,2.235553,0.65321183,0.06,0.12,3.7259216,11.177765,62.0,,8
937110039,2930679,39.12089,-90.68487,4.1669106,0.49630314,0.055,0.11,6.944851,30.0,398.0,,8
2929983,2930681,39.11882,-90.69401,0.6627467,1.1168933,0.06,0.12,1.1045779,3.3137338,25.0,,8
2938455,2930679,39.12225,-90.688,113.944244,0.11530023,0.045,0.09,189.90707,569.72125,635.0,,8
2930963,2931011,39.099205,-90.67028,2.7800872,0.5933164,0.06,0.12,4.6334786,13.900436,310.0,,8
2930039,2930961,39.09818,-90.66609,2.2353559,0.6532372,0.06,0.12,3.7255933,11.17678,644.0,,9
937110040,937110039,39.122475,-90.68309,4.160432,0.49664396,0.055,0.11,6.934053,30.0,74.0,,9
2929985,2929983,39.119713,-90.6959,0.6627467,1.1168933,0.06,0.12,1.1045779,3.3137338,383.0,,9
2930651,2938455,39.124565,-90.69079,113.94418,0.11530025,0.045,0.09,189.90697,569.7209,96.0,,9
2930665,2938455,39.12361,-90.69433,1.0201315,0.9233696,0.06,0.12,1.7002192,5.1006575,772.0,,9
2930795,2930963,39.105194,-90.6708,2.6408021,0.6069243,0.06,0.12,4.401337,13.204011,1020.0,,9
2930957,2930963,39.10128,-90.67095,1.3679103,0.8112768,0.06,0.12,2.2798505,10.0,209.0,,9
2930037,2930039,39.104256,-90.652794,1.7650893,0.7249813,0.06,0.12,2.9418154,8.825446,2095.0,,10
2930041,2930039,39.097755,-90.65459,1.6822242,0.7405251,0.06,0.12,2.803707,8.41112,1454.0,,10
2930955,2930957,39.101974,-90.671936,1.1483841,0.8763658,0.06,0.12,1.9139735,5.7419205,74.0,,10
2931057,937110040,39.127068,-90.68583,4.1601367,0.4966595,0.055,0.11,6.9335613,30.0,1062.0,,10
2930649,2930651,39.12916,-90.695625,113.943825,0.11530042,0.045,0.09,189.90637,569.7191,1253.0,,10
2930655,2930651,39.124874,-90.694565,2.2009609,0.65772134,0.06,0.12,3.6682682,11.004805,577.0,,10
2930667,2930665,39.12101,-90.69732,0.7256347,1.0731055,0.06,0.12,1.2093911,3.6281734,13.0,,10
2931023,2930795,39.11061,-90.67427,2.5136461,0.6202827,0.06,0.12,4.18941,12.568231,373.0,,10
2930953,2930957,39.10261,-90.67164,0.96186113,0.9476432,0.06,0.12,1.603102,4.8093057,120.0,,10
2930051,2930041,39.097717,-90.642006,1.2779583,0.8359914,0.06,0.12,2.1299305,6.389791,883.0,,11
2930035,2930955,39.100742,-90.67316,1.1476659,0.8766077,0.06,0.12,1.9127765,5.7383294,291.0,,11
2930687,2931023,39.1123,-90.674805,2.235159,0.6532626,0.06,0.12,3.7252648,11.175795,81.0,,11
2930951,2930953,39.10322,-90.67217,0.7824522,1.0380024,0.06,0.12,1.304087,3.9122612,72.0,,11
2929939,2931057,39.129353,-90.68552,4.1238437,0.49858314,0.055,0.11,6.873073,30.0,166.0,,11
2938507,2930649,39.13877,-90.70272,113.94366,0.11530049,0.045,0.09,189.9061,569.71826,1200.0,,11
2930855,2930649,39.13569,-90.698906,1.2767907,0.83632857,0.06,0.12,2.1279845,6.3839536,383.0,,11
2930653,2930655,39.12491,-90.699814,2.1190636,0.66881716,0.06,0.12,3.5317726,10.595318,352.0,,11
2929973,2930667,39.120945,-90.69747,0.7256347,1.0731055,0.06,0.12,1.2093911,3.6281734,29.0,,11
2930663,2930655,39.12353,-90.699005,0.90953356,0.97132075,0.06,0.12,1.5158893,4.5476675,273.0,,11
2931025,2931023,39.112385,-90.67533,1.5825241,0.76075673,0.06,0.12,2.63754,7.91262,62.0,,11
2930949,2930953,39.104218,-90.67217,0.6321891,1.1403971,0.06,0.12,1.0536485,3.1609454,253.0,,11
2931009,2930035,39.09898,-90.67457,1.1067417,0.8907632,0.06,0.12,1.8445694,5.5337086,258.0,,12
2930005,2930687,39.114883,-90.665695,2.2343705,0.6533643,0.06,0.12,3.7239509,11.171853,1745.0,,12
2930027,2930951,39.10405,-90.67298,0.767044,1.0471504,0.06,0.12,1.2784066,3.83522,178.0,,12
2931065,2929939,39.128727,-90.68451,4.1225233,0.4986536,0.055,0.11,6.870872,30.0,70.0,,12
2938505,2938507,39.14641,-90.70856,113.94357,0.11530053,0.045,0.09,189.90596,569.7179,788.0,,12
2930935,2930855,39.1378,-90.69835,1.1498178,0.8758835,0.06,0.12,1.916363,5.7490892,102.0,,12
2930829,2930653,39.127327,-90.70485,2.0853288,0.6735691,0.06,0.12,3.475548,10.426644,679.0,,12
2929959,2930663,39.1225,-90.70023,0.8254645,1.0137833,0.06,0.12,1.3757741,4.127322,43.0,,12
2929975,2929973,39.121532,-90.69902,0.7221187,1.0754074,0.06,0.12,1.203531,3.6105933,299.0,,12
2930685,2931025,39.11557,-90.67743,0.8620192,0.99458724,0.06,0.12,1.4366986,4.310096,747.0,,12
2930683,2931025,39.11526,-90.67481,1.4790314,0.7837985,0.06,0.12,2.4650524,7.395157,659.0,,12
2931007,2930949,39.10731,-90.67338,0.55473393,1.2080871,0.06,0.12,0.92455655,2.7736695,467.0,,12
2930003,2930005,39.11332,-90.64718,1.8005388,0.7186491,0.06,0.12,3.000898,9.002694,1847.0,,13
2931091,2930027,39.106693,-90.674835,0.7444068,1.0610814,0.06,0.12,1.2406781,3.7220342,507.0,,13
2931073,2931065,39.126312,-90.68179,0.7002882,1.0900707,0.06,0.12,1.1671469,3.501441,636.0,,13
