cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,FALSE,82,880478,880484,38.963947,-90.425064,121.80407,0.11195656,0.04,0.08,203.00677,609.0203,578,127.61,1.00E-05,Grafton
FALSE,FALSE,83,880484,880486,38.963337,-90.41527,121.804306,0.11195646,0.04,0.08,203.00717,609.02155,1111,127.61,1.00E-05,
FALSE,FALSE,84,880486,880490,38.961693,-90.40423,121.804665,0.11195632,0.04,0.08,203.00778,609.0233,831,127.61,1.00E-05,
FALSE,FALSE,85,880490,882686,38.959152,-90.39393,121.804726,0.1119563,0.04,0.08,203.00787,609.0236,1028,127.61,1.00E-05,
FALSE,FALSE,86,882686,882688,38.95456,-90.3812,121.80551,0.11195598,0.04,0.08,203.00919,609.0275,1402,127.61,1.00E-05,
FALSE,FALSE,87,882688,880512,38.95091,-90.37317,121.80821,0.111954875,0.04,0.08,203.01369,609.0411,201,127.61,1.00E-05,
FALSE,FALSE,88,880512,880536,38.949547,-90.367546,121.80826,0.11195486,0.04,0.08,203.01376,609.0413,818,127.61,1.00E-05,
FALSE,FALSE,89,880536,880544,38.942513,-90.34925,121.80888,0.11195461,0.04,0.08,203.0148,609.0444,2763,127.61,7.00E-05,
FALSE,FALSE,90,880544,24745881,38.931854,-90.325745,121.81803,0.1119509,0.04,0.08,203.03004,609.09015,1960,127.43,1.00E-05,
FALSE,FALSE,91,24745881,880768,38.926437,-90.31138,121.81808,0.11195088,0.04,0.08,203.03012,609.0904,825,127.43,1.00E-05,
FALSE,FALSE,92,880768,880550,38.923412,-90.29917,121.81815,0.11195085,0.04,0.08,203.03026,609.09076,1475,127.43,1.00E-05,
FALSE,FALSE,93,880550,880814,38.924007,-90.28777,121.81875,0.111950606,0.04,0.08,203.03125,609.09375,491,127.43,1.00E-05,
FALSE,FALSE,94,880814,880562,38.92401,-90.283485,121.81877,0.1119506,0.04,0.08,203.03128,609.0939,262,127.43,1.00E-05,
FALSE,FALSE,95,880562,880580,38.921173,-90.26357,121.819046,0.11195049,0.04,0.08,203.03175,609.0952,3240,127.43,0.00012,
FALSE,FALSE,96,880580,880606,38.911232,-90.2318,121.85006,0.11193792,0.04,0.08,203.08344,609.2503,2697,127.05,1.00E-05,
FALSE,FALSE,97,880606,880608,38.89358,-90.20346,121.85418,0.11193625,0.04,0.08,203.0903,609.2709,3519,127.05,4.00E-05,
FALSE,FALSE,98,880608,880618,38.885242,-90.18647,121.85418,0.11193625,0.04,0.08,203.0903,609.2709,26,126.91,1.00E-05,
FALSE,FALSE,99,880618,880622,38.881134,-90.17753,121.854355,0.111936174,0.04,0.08,203.09059,609.2718,1779,126.91,1.00E-05,
FALSE,FALSE,100,880622,880636,38.87485,-90.163734,121.8552,0.11193583,0.04,0.08,203.092,609.276,996,126.91,1.00E-05,
FALSE,FALSE,101,880636,880648,38.869404,-90.15342,121.85643,0.11193533,0.04,0.08,203.09406,609.28217,1158,126.91,0.00335,
FALSE,FALSE,102,880648,880652,38.861874,-90.13856,121.85678,0.11193519,0.04,0.08,203.09464,609.2839,1893,123.03,1.00E-05,
FALSE,FALSE,103,880652,880666,38.855335,-90.12359,121.88737,0.1119228,0.04,0.08,203.14561,609.4368,1071,123.03,1.00E-05,
FALSE,FALSE,104,880666,882710,38.850376,-90.113556,121.88958,0.11192191,0.04,0.08,203.14929,609.4479,1055,123.03,1.00E-05,
FALSE,FALSE,105,882710,880678,38.84394,-90.10881,121.89043,0.11192156,0.04,0.08,203.15071,609.45215,650,123.03,5.00E-05,
FALSE,FALSE,106,880678,3624763,38.826557,-90.112404,121.89121,0.11192124,0.04,0.08,203.15202,609.45605,3337,123,3.00E-05,
