cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages,cumL,station_hec,elevation,av_slop,elevs
FALSE,FALSE,3,6013076,6013078,38.70528,-91.38584,174.53157,0.09552838,0.04,0.08,290.88596,872.6579,8695,152.7,0.00018,,0,0,25.55757319,0.000125,26.9923975
FALSE,FALSE,8,6013070,6013096,38.706013,-91.31227,174.54503,0.09552513,0.04,0.08,290.90836,872.7251,4916,151.09,6.00E-05,,8695,0,5.557573191,0.000125,25.9055225
FALSE,FALSE,9,6013096,6013102,38.68469,-91.28344,174.5455,0.09552501,0.04,0.08,290.90915,872.7275,5924,151.03,0.00019,,13611,290.88597,5.557811113,0.000185,25.2910225
FALSE,FALSE,12,6013110,6013118,38.63518,-91.22683,174.54785,0.095524445,0.04,0.08,290.9131,872.73926,6368,149.34,0.00018,,19535,349.063165,0,0.000155,24.1950825
FALSE,FALSE,14,6013128,6013136,38.613235,-91.198494,174.55664,0.09552232,0.04,0.08,290.92773,872.7832,4136,148.62,0.00013,,25903,523.594735,0,0.000125,23.2080425
FALSE,FALSE,16,6013150,6013148,38.59892,-91.13576,174.57619,0.095517606,0.04,0.08,290.96033,872.881,5032,147.45,0.00012,,30039,581.77193,5.558018249,0.000155,22.6910425
FALSE,FALSE,18,6013144,6013250,38.60867,-91.06001,174.5801,0.09551666,0.04,0.08,290.96683,872.9005,8761,146.54,0.00019,,35071,872.6579,5.558367215,0.000195,21.9110825
FALSE,FALSE,21,6013168,6010282,38.56324,-91.00963,174.59177,0.09551384,0.04,0.08,290.9863,872.95886,5229,145,0.0002,6935450,43832,872.6579,25.55864426,0.00035,20.2026875
FALSE,FALSE,24,6010310,6010314,38.545303,-90.96192,174.61057,0.095509306,0.04,0.08,291.0176,873.0528,4610,144.13,0.0005,,49061,,,0.00058,18.3725375
FALSE,FALSE,25,6010314,6010302,38.53496,-90.92383,174.61499,0.09550824,0.04,0.08,291.02496,873.0749,5212,143.17,0.00066,,53671,,,0.000405,15.6987375
FALSE,FALSE,28,6010286,6010276,38.557404,-90.86295,174.61679,0.09550781,0.04,0.08,291.02798,873.0839,5237,139.27,0.00015,,58883,,,0.00043,13.5878775
FALSE,FALSE,31,6010268,6010262,38.584923,-90.81345,174.62071,0.09550686,0.04,0.08,291.03452,873.1036,4072,138.52,0.00071,,64120,,,0.000485,11.3359675
FALSE,FALSE,33,6010258,6010254,38.5946,-90.774315,174.62132,0.09550671,0.04,0.08,291.03555,873.1066,4292,137.69,0.00026,,68192,,,0.000185,9.3610475
FALSE,FALSE,34,6010254,6010244,38.627365,-90.75039,174.62537,0.09550574,0.04,0.08,291.04227,873.12683,6123,137.05,0.00011,,72484,,,0.000145,8.5670275
FALSE,FALSE,38,6010216,6010208,38.676033,-90.70884,174.63464,0.0955035,0.04,0.08,291.05774,873.1732,4296,135.81,0.00018,,78607,,,0.000095,7.6791925
FALSE,FALSE,44,6010168,6010162,38.688496,-90.65893,174.63765,0.09550277,0.04,0.08,291.06274,873.18823,4362,134.84,1.00E-05,,82903,,,0.000035,7.2710725
FALSE,FALSE,49,6010182,6010196,38.68768,-90.615364,174.63826,0.09550262,0.04,0.08,291.06378,873.1913,4451,134.47,6.00E-05,,87265,,,0.000035,7.1184025
FALSE,FALSE,53,6010180,6010178,38.68196,-90.55982,174.64413,0.09550121,0.04,0.08,291.07355,873.2207,4605,132.52,1.00E-05,,91716,,,0.00005,6.9626175
FALSE,FALSE,56,6010146,6010136,38.70779,-90.53063,174.64467,0.09550108,0.04,0.08,291.07443,873.2233,5132,132.21,9.00E-05,,96321,,,0.000205,6.7323675
FALSE,FALSE,62,6010116,6010112,38.745007,-90.5032,174.64655,0.095500626,0.04,0.08,291.07758,873.2327,5766,130.37,0.00032,,101453,,,0.000165,5.6803075
FALSE,FALSE,63,6010112,6010106,38.7658,-90.48145,174.6535,0.09549895,0.04,0.08,291.08917,873.2675,4096,129.69,1.00E-05,,107219,,,0.00004,4.7289175
FALSE,FALSE,65,6010102,6010096,38.830143,-90.426506,174.6549,0.09549861,0.04,0.08,291.09152,873.27454,5417.5,128.43,7.00E-05,st. charles,111315,,,0.00007,4.5650775
FALSE,FALSE,65,6010102,6010096,38.830143,-90.426506,174.6549,0.09549861,0.04,0.08,291.09152,873.27454,5417.5,128.43,7.00E-05,,116732.5,,,0.000145,4.1858525
FALSE,FALSE,66,6010096,6010062,38.832336,-90.35698,174.65758,0.095497966,0.04,0.08,291.09595,873.28784,6224,127.88,0.00022,,122150,,,0.0002,3.400315
FALSE,FALSE,67,6010062,6010056,38.89085,-90.32173,174.65956,0.09549749,0.04,0.08,291.09927,873.29785,8390,126.54,0.00018,,128374,,,0.000185,2.155515
FALSE,FALSE,71,6010074,6010080,38.84904,-90.25028,174.66116,0.0954971,0.04,0.08,291.10193,873.30585,5590,124.12,0.00019,,136764,,,0.0001,0.603365
FALSE,FALSE,75,6010094,6010092,38.819515,-90.17576,174.66777,0.09549551,0.04,0.08,291.11295,873.3388,8873,123.19,1.00E-05,,142354,,,0.000005,0.044365
,,,,,,,,,,,,,,,,,151227,,,,0
