cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages,cumL
FALSE,FALSE,107,3624763,3624695,38.808968,-90.117004,193.29138,0.09132113,0.04,0.08,322.1523,966.4569,690,122.89,1.00E-05,Madison,0
FALSE,FALSE,108,3624695,3624701,38.80176,-90.11917,193.31769,0.09131565,0.04,0.08,322.19614,966.58844,954,122.89,1.00E-05,,690
FALSE,FALSE,109,3624701,3624705,38.794895,-90.12706,193.31772,0.09131565,0.04,0.08,322.1962,966.58856,1165,122.89,1.00E-05,,1644
FALSE,FALSE,110,3624705,3624709,38.77985,-90.152504,193.31828,0.09131553,0.04,0.08,322.1971,966.5914,4403,122.89,1.00E-05,,2809
FALSE,FALSE,111,3624709,3624711,38.762737,-90.17489,193.31973,0.091315225,0.04,0.08,322.19955,966.5987,1170,122.89,1.00E-05,,7212
FALSE,FALSE,112,3624711,3634869,38.752262,-90.17789,193.3198,0.09131521,0.04,0.08,322.19968,966.599,1183,122.89,1.00E-05,,8382
FALSE,FALSE,113,3634869,3624715,38.744812,-90.18405,193.32011,0.09131514,0.04,0.08,322.2002,966.6006,879,122.89,1.00E-05,,9565
FALSE,FALSE,114,3624715,3634823,38.73592,-90.202225,193.32034,0.0913151,0.04,0.08,322.20056,966.6017,3121,122.89,1.00E-05,,10444
FALSE,FALSE,115,3634823,3624723,38.708344,-90.21132,193.32472,0.09131418,0.04,0.08,322.2079,966.62366,3278,122.89,1.00E-05,,13565
FALSE,FALSE,116,3624723,3624727,38.68965,-90.19674,193.3252,0.091314085,0.04,0.08,322.20865,966.626,1798,122.89,1.00E-05,,16843
FALSE,FALSE,117,3624727,3624735,38.664104,-90.18267,193.32776,0.091313556,0.04,0.08,322.21292,966.63873,4535,122.89,0.00054,,18641
FALSE,FALSE,118,3624735,3624739,38.592724,-90.19774,193.3458,0.09130979,0.04,0.08,322.24298,966.729,11718,120.45,2.00E-05,St. Louis,23176
FALSE,FALSE,119,3624739,3624745,38.543095,-90.24961,193.35266,0.09130836,0.04,0.08,322.25443,966.7633,3348,120.16,1.00E-05,,34894
FALSE,FALSE,120,3624745,3624747,38.5278,-90.260475,193.36124,0.09130658,0.04,0.08,322.2687,966.80615,568,120.16,1.00E-05,,38242
FALSE,FALSE,121,3624747,3629053,38.512646,-90.26628,193.36307,0.091306195,0.04,0.08,322.2718,966.81537,2982,120.16,1.00E-05,,38810
FALSE,FALSE,122,3629053,3629055,38.494637,-90.27216,193.36313,0.09130618,0.04,0.08,322.27188,966.8157,1221,120.16,0.00122,,41792
FALSE,FALSE,123,3629055,3629059,38.485165,-90.27528,193.36328,0.09130615,0.04,0.08,322.27213,966.8164,992,118.67,0.00019,,43013
FALSE,FALSE,124,3629059,3629065,38.475807,-90.27829,193.36382,0.09130604,0.04,0.08,322.27304,966.8191,1177,118.48,0.00013,,44005
FALSE,FALSE,125,3629065,3629067,38.456142,-90.28296,193.36555,0.09130568,0.04,0.08,322.2759,966.82776,3366,118.33,5.00E-05,,45182
FALSE,FALSE,126,3629067,3629071,38.42447,-90.296844,193.3672,0.09130534,0.04,0.08,322.2787,966.83606,4139,118.15,0.00022,,48548
FALSE,FALSE,127,3629071,3629073,38.399433,-90.327614,193.36752,0.09130527,0.04,0.08,322.2792,966.83765,3831,117.25,2.00E-05,,52687
FALSE,FALSE,128,3629073,3629077,38.375076,-90.34998,193.75728,0.09122419,0.04,0.08,322.9288,968.7864,3021,117.19,4.00E-05,,56518
FALSE,FALSE,129,3629077,3629083,38.362278,-90.3559,193.75754,0.09122414,0.04,0.08,322.92923,968.78766,42,117.08,1.00E-05,,59539
FALSE,FALSE,130,3629083,3629089,38.347168,-90.36405,193.76054,0.091223516,0.04,0.08,322.93423,968.80273,3722,117.08,7.00E-05,,59581
FALSE,FALSE,131,3629089,3629097,38.32973,-90.37116,193.76323,0.09122296,0.04,0.08,322.93872,968.8161,422,116.83,1.00E-05,,63303
FALSE,FALSE,132,3629097,3629119,38.322598,-90.37145,193.77222,0.091221094,0.04,0.08,322.9537,968.8611,1168,116.83,1.00E-05,,63725
FALSE,FALSE,133,3629119,3629127,38.301132,-90.37223,193.77293,0.091220945,0.04,0.08,322.9549,968.8647,3731,116.83,1.00E-04,,64893
FALSE,FALSE,134,3629127,3629135,38.272278,-90.37057,193.77342,0.09122084,0.04,0.08,322.9557,968.86707,2857,116.45,9.00E-05,,68624
FALSE,FALSE,135,3629135,3629147,38.252308,-90.366684,193.79012,0.09121738,0.04,0.08,322.98352,968.95056,1728,116.18,0.00032,,71481
FALSE,FALSE,136,3629147,3629155,38.230373,-90.36138,193.7903,0.09121734,0.04,0.08,322.98383,968.9515,3314,115.63,0.0003,,73209
FALSE,FALSE,137,3629155,3629159,38.204582,-90.34505,193.80023,0.091215275,0.04,0.08,323.0004,969.00116,3278,114.65,6.00E-05,,76523
FALSE,FALSE,138,3629159,3629163,38.18804,-90.33039,193.8007,0.09121518,0.04,0.08,323.00116,969.00354,1298,114.45,1.00E-05,,79801
FALSE,FALSE,139,3629163,3629173,38.177647,-90.31303,193.80098,0.09121512,0.04,0.08,323.00165,969.0049,2547,114.45,1.00E-05,,81099
FALSE,FALSE,140,3629173,3629181,38.159115,-90.27743,193.80144,0.09121502,0.04,0.08,323.0024,969.0072,5483,114.45,2.00E-05,,83646
FALSE,FALSE,141,3629181,3629319,38.129982,-90.25505,193.80157,0.09121499,0.04,0.08,323.00262,969.0079,2057,114.34,1.00E-05,,89129
FALSE,FALSE,142,3629319,3629183,38.121223,-90.24879,193.80157,0.09121499,0.04,0.08,323.00262,969.0079,226,114.34,1.00E-05,,91186
FALSE,FALSE,143,3629183,3629187,38.119846,-90.24823,193.80157,0.09121499,0.04,0.08,323.00262,969.0079,97,114.34,1.00E-05,,91412
FALSE,FALSE,144,3629187,3629191,38.10908,-90.23906,193.80167,0.09121498,0.04,0.08,323.00278,969.0083,2735,114.34,1.00E-05,,91509
FALSE,FALSE,145,3629191,3629197,38.100616,-90.22703,193.80531,0.09121422,0.04,0.08,323.00885,969.02655,192,114.34,0.00286,,94244
FALSE,FALSE,146,3629197,3629203,38.09798,-90.22315,193.80542,0.091214195,0.04,0.08,323.00903,969.0271,709,113.79,0.00047,,94436
FALSE,FALSE,147,3629203,3629205,38.094242,-90.21685,193.8055,0.09121418,0.04,0.08,323.00916,969.0275,690,113.46,1.00E-05,,95145
