cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages,cumL,station_hec,elevation,av_slop,elevs
FALSE,FALSE,110,3624705,3624709,38.77985,-90.152504,193.31828,0.09131553,0.04,0.08,322.1971,966.5914,7212,122.89,1.00E-05,,0,0,25.88431888,1.00E-05,10.99958
FALSE,FALSE,114,3624715,3634823,38.73592,-90.202225,193.32034,0.0913151,0.04,0.08,322.20056,966.6017,6353,122.89,1.00E-05,,7212,0,5.884318877,1.00E-05,10.92746
FALSE,FALSE,116,3624723,3624727,38.68965,-90.19674,193.3252,0.091314085,0.04,0.08,322.20865,966.626,5076,122.89,1.00E-05,,13565,322.19715,5.884318877,2.75E-04,10.86393
FALSE,FALSE,117,3624727,3624735,38.664104,-90.18267,193.32776,0.091313556,0.04,0.08,322.21292,966.63873,4535,122.89,0.00054,,18641,386.63656,0,2.80E-04,10.81317
FALSE,FALSE,118,3624735,3624739,38.592724,-90.19774,193.3458,0.09130979,0.04,0.08,322.24298,966.729,5859,120.45,2.00E-05,,23176,579.95484,0,2.00E-05,8.36427
FALSE,FALSE,118,3624735,3624739,38.592724,-90.19774,193.3458,0.09130979,0.04,0.08,322.24298,966.729,5859,120.45,2.00E-05,,29035,644.39425,5.884318877,1.50E-05,8.24709
FALSE,FALSE,121,3624747,3629053,38.512646,-90.26628,193.36307,0.091306195,0.04,0.08,322.2718,966.81537,6898,120.16,1.00E-05,,34894,966.5914,5.884318877,3.00E-05,8.12991
FALSE,FALSE,125,3629065,3629067,38.456142,-90.28296,193.36555,0.09130568,0.04,0.08,322.2759,966.82776,6756,118.33,5.00E-05,,41792,966.5914,25.88431888,1.35E-04,8.06093
FALSE,FALSE,126,3629067,3629071,38.42447,-90.296844,193.3672,0.09130534,0.04,0.08,322.2787,966.83606,4139,118.15,0.00022,,48548,,,1.30E-04,7.72313
FALSE,FALSE,128,3629073,3629077,38.375076,-90.34998,193.75728,0.09122419,0.04,0.08,322.9288,968.7864,6852,117.19,4.00E-05,,52687,,,2.50E-05,6.81255
FALSE,FALSE,131,3629089,3629097,38.32973,-90.37116,193.76323,0.09122296,0.04,0.08,322.93872,968.8161,4186,116.83,1.00E-05,,59539,,,5.50E-05,6.53847
FALSE,FALSE,133,3629119,3629127,38.301132,-90.37223,193.77293,0.091220945,0.04,0.08,322.9549,968.8647,4899,116.83,0.0001,,63725,,,2.10E-04,6.49661
FALSE,FALSE,135,3629135,3629147,38.252308,-90.366684,193.79012,0.09121738,0.04,0.08,322.98352,968.95056,4585,116.18,0.00032,,68624,,,1.90E-04,6.00671
FALSE,FALSE,137,3629155,3629159,38.204582,-90.34505,193.80023,0.091215275,0.04,0.08,323.0004,969.00116,6592,114.65,6.00E-05,,73209,,,4.00E-05,4.53951
FALSE,FALSE,140,3629173,3629181,38.159115,-90.27743,193.80144,0.09121502,0.04,0.08,323.0024,969.0072,9328,114.45,2.00E-05,,79801,,,1.50E-05,4.14399
FALSE,FALSE,144,3629187,3629191,38.10908,-90.23906,193.80167,0.09121498,0.04,0.08,323.00278,969.0083,5115,114.34,1.00E-05,,89129,,,1.00E-05,3.95743
FALSE,FALSE,151,3629217,3629221,38.081505,-90.19678,193.81467,0.09121228,0.04,0.08,323.02444,969.0733,4111,112.93,1.00E-05,,94244,,,1.00E-05,3.90628
FALSE,FALSE,153,3629229,3629227,38.067554,-90.15753,193.81502,0.091212206,0.04,0.08,323.02502,969.0751,4351,112.93,1.00E-05,,98355,,,1.00E-05,3.86517
FALSE,FALSE,156,3629241,3629247,38.035656,-90.11451,193.8195,0.091211274,0.04,0.08,323.0325,969.09753,5651,111.79,1.00E-05,,102706,,,1.00E-05,3.82166
FALSE,FALSE,159,3629263,3629267,38.0136,-90.07601,193.83376,0.09120831,0.04,0.08,323.05627,969.16876,4716,111.51,1.00E-05,,108357,,,1.80E-04,3.76515
FALSE,FALSE,162,3630823,3630825,37.993843,-90.030716,193.83641,0.091207765,0.04,0.08,323.06067,969.182,4215,111.51,0.00035,,113073,,,2.40E-04,3.71799
FALSE,FALSE,165,3629943,5090052,37.96369,-89.97357,193.83893,0.091207236,0.04,0.08,323.06488,969.19464,8046,110.29,0.00013,,117288,,,1.55E-04,2.24274
FALSE,FALSE,171,5089888,5089890,37.959576,-89.91053,194.40767,0.09108943,0.04,0.08,324.0128,972.0383,4387,109.42,0.00018,,125334,,,1.15E-04,1.19676
FALSE,FALSE,172,5089890,5089904,37.923622,-89.88132,194.40858,0.091089234,0.04,0.08,324.0143,972.04297,8142,109.24,5.00E-05,,129721,,,5.00E-05,0.4071
,,,,,,,,,,,,,,,5.00E-05,,137863,,,,0
