cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,TRUE,0,2927547,2927551,39.66765,-91.27959,112.83224,0.11580017,0.045,0.09,188.05374,564.1612,3471,141.81,3.00E-05,Saverton
FALSE,FALSE,1,2927551,2927555,39.6547,-91.266655,112.83237,0.11580012,0.045,0.09,188.05394,564.1618,151,141.7,1.00E-05,
FALSE,FALSE,2,2927555,2927561,39.649055,-91.260735,112.83293,0.11579986,0.045,0.09,188.05489,564.1647,1445,141.7,8.00E-05,
FALSE,FALSE,3,2927561,2927567,39.64186,-91.25014,112.83569,0.11579861,0.045,0.09,188.0595,564.17847,1081,141.59,0.0018,
FALSE,FALSE,4,2927567,2927571,39.63213,-91.243004,112.83588,0.115798526,0.045,0.09,188.0598,564.1794,1404,139.64,1.00E-05,
FALSE,FALSE,5,2927571,2927581,39.625687,-91.23599,112.83613,0.115798414,0.045,0.09,188.06021,564.18066,501,139.64,0.00385,
FALSE,FALSE,6,2927581,2927589,39.61591,-91.21963,112.83778,0.11579766,0.045,0.09,188.06297,564.1889,3007,137.71,0.0003,
FALSE,FALSE,7,2927589,2927727,39.606743,-91.192314,112.838036,0.11579755,0.045,0.09,188.06339,564.1902,2274,136.8,1.00E-05,
FALSE,FALSE,8,2927727,2927713,39.600304,-91.18014,112.83812,0.11579751,0.045,0.09,188.06354,564.1906,321,136.8,1.00E-05,
FALSE,FALSE,9,2927713,2927711,39.58867,-91.173904,112.83826,0.11579745,0.045,0.09,188.06377,564.1913,2593,136.8,1.00E-05,
FALSE,FALSE,10,2927711,2927597,39.576,-91.17055,112.838615,0.11579729,0.045,0.09,188.06436,564.19305,266,136.8,1.00E-05,
FALSE,FALSE,11,2927597,2927699,39.56956,-91.17021,112.8387,0.11579725,0.045,0.09,188.0645,564.1935,1179,136.8,1.00E-05,
FALSE,FALSE,12,2927699,2927601,39.56211,-91.16629,112.84101,0.1157962,0.045,0.09,188.06834,564.2051,688,136.8,1.00E-05,
