cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
False,False,2.0,2927555.0,2927561.0,39.649055,-91.260735,112.83293,0.11579986,0.045,0.09,188.05489,564.1647,5067.0,141.7,8e-05,
False,False,6.0,2927581.0,2927589.0,39.61591,-91.21963,112.83778,0.11579766,0.045,0.09,188.06297,564.1889,5993.0,137.71,0.0003,
False,False,9.0,2927713.0,2927711.0,39.58867,-91.173904,112.83826,0.11579745,0.045,0.09,188.06377,564.1913,5188.0,136.8,1e-05,
False,False,15.0,2927689.0,2927691.0,39.544155,-91.13615,112.842,0.115795754,0.045,0.09,188.07,564.21,6933.0,136.8,1e-05,
False,False,20.0,2927667.0,2927647.0,39.53365,-91.08439,112.8436,0.11579503,0.045,0.09,188.07266,564.218,4234.0,136.8,1e-05,
False,False,24.0,2932155.0,2932159.0,39.497303,-91.06475,112.84433,0.1157947,0.045,0.09,188.07388,564.2216,4081.0,136.8,1e-05,
False,False,30.0,2932173.0,2932177.0,39.456142,-91.0466,113.65192,0.11543097,0.045,0.09,189.41986,568.2596,6324.0,136.8,1e-05,
False,False,33.0,2930505.0,2931037.0,39.42493,-90.99863,113.67613,0.115420125,0.045,0.09,189.46022,568.3807,4055.0,136.77,1e-05,
False,False,37.0,2930871.0,2930531.0,39.407368,-90.9481,113.677666,0.11541944,0.045,0.09,189.46277,568.3883,6223.0,136.77,1e-05,
False,False,43.0,2930557.0,2931045.0,39.375263,-90.90313,113.68761,0.115414985,0.045,0.09,189.47934,568.43805,4232.0,134.04,0.00132,
False,False,46.0,2931041.0,2931043.0,39.353737,-90.862404,113.68861,0.11541454,0.045,0.09,189.48102,568.44305,4553.0,133.6,1e-05,
False,False,52.0,2930905.0,2930907.0,39.331505,-90.83037,113.69037,0.11541375,0.045,0.09,189.48395,568.45184,4093.0,133.6,1e-05,
False,False,57.0,2930581.0,2938437.0,39.293816,-90.76685,113.69241,0.11541283,0.045,0.09,189.48735,568.4621,9220.0,133.6,6e-05,
False,False,60.0,2930593.0,2930601.0,39.247723,-90.72659,113.91464,0.11531345,0.045,0.09,189.85773,569.5732,5347.0,133.28,0.00015,
False,False,66.0,2930621.0,2930625.0,39.19846,-90.71774,113.9397,0.11530226,0.045,0.09,189.8995,569.6985,5205.0,132.4,4e-05,
False,False,69.0,2930639.0,2938505.0,39.165462,-90.71003,113.941826,0.1153013,0.045,0.09,189.90305,569.7091,4563.0,132.25,6e-05,
False,False,75.0,2930679.0,2938461.0,39.117535,-90.686,113.94656,0.115299195,0.045,0.09,189.91093,569.7328,4435.0,132.04,4e-05,
False,False,79.0,2930713.0,2938477.0,39.08418,-90.68599,113.94931,0.115297966,0.045,0.09,189.91553,569.7466,4192.0,131.9,0.0001,
False,False,86.0,2930749.0,2930759.0,39.045124,-90.702354,113.949974,0.11529767,0.045,0.09,189.91663,569.7499,5228.0,131.79,1e-05,
False,False,89.0,2930763.0,2930767.0,39.006416,-90.688126,113.95459,0.11529561,0.045,0.09,189.92432,569.77295,4054.0,131.52,0.00551,
False,False,94.0,2932905.0,2932873.0,38.975304,-90.67654,113.98271,0.11528306,0.045,0.09,189.97119,569.9136,4102.0,128.82,1e-05,
False,False,100.0,2932893.0,880776.0,38.933422,-90.66527,113.98374,0.1152826,0.045,0.09,189.9729,569.9187,4845.0,128.29,1e-05,
False,False,106.0,880624.0,880820.0,38.89798,-90.63221,113.98579,0.115281686,0.045,0.09,189.9763,569.92896,5138.0,128.29,1e-05,
False,False,110.0,880668.0,880818.0,38.875328,-90.59669,114.37322,0.115109235,0.045,0.09,190.62204,571.86615,4976.0,128.29,1e-05,
False,False,113.0,880654.0,880630.0,38.876175,-90.54319,114.374985,0.11510845,0.045,0.09,190.62497,571.87494,5040.0,128.29,0.00023,
False,False,115.0,880596.0,880548.0,38.919247,-90.50659,114.376656,0.115107715,0.045,0.09,190.62776,571.88324,6447.0,127.61,1e-05,
False,False,118.0,880816.0,880494.0,38.95562,-90.4584,114.42845,0.11508472,0.045,0.09,190.71408,572.1423,5271.0,127.61,1e-05,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
