cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages,cumL,station_hec,elevation,av_slope,elevs
FALSE,FALSE,2,2927555,2927561,39.649055,-91.260735,112.83293,0.11579986,0.045,0.09,188.05489,564.1647,5067,141.7,8.00E-05,,0,0,24.35534622,1.90E-04,38.898545
FALSE,FALSE,6,2927581,2927589,39.61591,-91.21963,112.83778,0.11579766,0.045,0.09,188.06297,564.1889,5993,137.71,0.0003,,5067,0,4.355346218,1.55E-04,37.935815
FALSE,FALSE,9,2927713,2927711,39.58867,-91.173904,112.83826,0.11579745,0.045,0.09,188.06377,564.1913,5188,136.8,1.00E-05,,11060,188.054905,4.355346218,1.00E-05,37.0069
FALSE,FALSE,15,2927689,2927691,39.544155,-91.13615,112.842,0.115795754,0.045,0.09,188.07,564.21,6933,136.8,1.00E-05,,16248,225.665885,0,1.00E-05,36.95502
FALSE,FALSE,20,2927667,2927647,39.53365,-91.08439,112.8436,0.11579503,0.045,0.09,188.07266,564.218,4234,136.8,1.00E-05,,23181,338.498815,0,1.00E-05,36.88569
FALSE,FALSE,24,2932155,2932159,39.497303,-91.06475,112.84433,0.1157947,0.045,0.09,188.07388,564.2216,4081,136.8,1.00E-05,,27415,376.109795,4.355346218,1.00E-05,36.84335
FALSE,FALSE,30,2932173,2932177,39.456142,-91.0466,113.65192,0.11543097,0.045,0.09,189.41986,568.2596,6324,136.8,1.00E-05,,31496,564.1647,4.355346218,1.00E-05,36.80254
FALSE,FALSE,33,2930505,2931037,39.42493,-90.99863,113.67613,0.115420125,0.045,0.09,189.46022,568.3807,4055,136.77,1.00E-05,,37820,564.1647,24.35534622,1.00E-05,36.7393
FALSE,FALSE,37,2930871,2930531,39.407368,-90.9481,113.677666,0.11541944,0.045,0.09,189.46277,568.3883,6223,136.77,1.00E-05,,41875,,,6.65E-04,36.69875
FALSE,FALSE,43,2930557,2931045,39.375263,-90.90313,113.68761,0.115414985,0.045,0.09,189.47934,568.43805,4232,134.04,0.00132,,48098,,,6.65E-04,32.560455
FALSE,FALSE,46,2931041,2931043,39.353737,-90.862404,113.68861,0.11541454,0.045,0.09,189.48102,568.44305,4553,133.6,1.00E-05,,52330,,,1.00E-05,29.746175
FALSE,FALSE,52,2930905,2930907,39.331505,-90.83037,113.69037,0.11541375,0.045,0.09,189.48395,568.45184,4093,133.6,1.00E-05,,56883,,,3.50E-05,29.700645
FALSE,FALSE,57,2930581,2938437,39.293816,-90.76685,113.69241,0.11541283,0.045,0.09,189.48735,568.4621,9220,133.6,6.00E-05,,60976,,,1.05E-04,29.55739
FALSE,FALSE,60,2930593,2930601,39.247723,-90.72659,113.91464,0.11531345,0.045,0.09,189.85773,569.5732,5347,133.28,0.00015,,70196,,,9.50E-05,28.58929
FALSE,FALSE,66,2930621,2930625,39.19846,-90.71774,113.9397,0.11530226,0.045,0.09,189.8995,569.6985,5205,132.4,4.00E-05,,75543,,,5.00E-05,28.081325
FALSE,FALSE,69,2930639,2938505,39.165462,-90.71003,113.941826,0.1153013,0.045,0.09,189.90305,569.7091,4563,132.25,6.00E-05,,80748,,,5.00E-05,27.821075
FALSE,FALSE,75,2930679,2938461,39.117535,-90.686,113.94656,0.115299195,0.045,0.09,189.91093,569.7328,4435,132.04,4.00E-05,,85311,,,7.00E-05,27.592925
FALSE,FALSE,79,2930713,2938477,39.08418,-90.68599,113.94931,0.115297966,0.045,0.09,189.91553,569.7466,4192,131.9,0.0001,,89746,,,5.50E-05,27.282475
FALSE,FALSE,86,2930749,2930759,39.045124,-90.702354,113.949974,0.11529767,0.045,0.09,189.91663,569.7499,5228,131.79,1.00E-05,,93938,,,2.76E-03,27.051915
FALSE,FALSE,89,2930763,2930767,39.006416,-90.688126,113.95459,0.11529561,0.045,0.09,189.92432,569.77295,4054,131.52,0.00551,,99166,,,2.76E-03,12.622635
FALSE,FALSE,94,2932905,2932873,38.975304,-90.67654,113.98271,0.11528306,0.045,0.09,189.97119,569.9136,4102,128.82,1.00E-05,,103220,,,1.00E-05,1.433595
FALSE,FALSE,100,2932893,880776,38.933422,-90.66527,113.98374,0.1152826,0.045,0.09,189.9729,569.9187,4845,128.29,1.00E-05,,107322,,,1.00E-05,1.392575
FALSE,FALSE,106,880624,880820,38.89798,-90.63221,113.98579,0.115281686,0.045,0.09,189.9763,569.92896,5138,128.29,1.00E-05,,112167,,,1.00E-05,1.344125
FALSE,FALSE,110,880668,880818,38.875328,-90.59669,114.37322,0.115109235,0.045,0.09,190.62204,571.86615,4976,128.29,1.00E-05,,117305,,,1.20E-04,1.292745
FALSE,FALSE,113,880654,880630,38.876175,-90.54319,114.374985,0.11510845,0.045,0.09,190.62497,571.87494,5040,128.29,0.00023,,122281,,,1.20E-04,0.695625
FALSE,FALSE,115,880596,880548,38.919247,-90.50659,114.376656,0.115107715,0.045,0.09,190.62776,571.88324,6447,127.61,1.00E-05,,127321,,,1.00E-05,0.090825
FALSE,FALSE,118,880816,880494,38.95562,-90.4584,114.42845,0.11508472,0.045,0.09,190.71408,572.1423,5271,127.61,1.00E-05,,133768,,,5.00E-06,0.026355
,,,,,,,,,,,,,,,,,139039,,,,0
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,312068,,,,
