cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,TRUE,0,3598322,3598318,39.69388,-90.644966,64.659454,0.14804243,0.045,0.09,107.76576,323.29727,1843,130.94,1.00E-05,Valley City
FALSE,FALSE,1,3598318,3598338,39.67965,-90.63706,64.66087,0.148041,0.045,0.09,107.76813,323.30438,1690,130.94,1.00E-05,
FALSE,FALSE,2,3598338,3598334,39.66606,-90.63093,64.676704,0.148025,0.045,0.09,107.79451,323.3835,1553,130.94,1.00E-05,
FALSE,FALSE,3,3598334,3598330,39.658356,-90.62679,64.70945,0.14799196,0.045,0.09,107.84909,323.54727,313,130.94,1.00E-05,
FALSE,FALSE,4,3598330,3598304,39.653564,-90.62089,64.710045,0.14799136,0.045,0.09,107.85008,323.55023,1184,130.94,1.00E-05,
FALSE,FALSE,5,3598304,3598298,39.645947,-90.61311,64.71065,0.14799075,0.045,0.09,107.85108,323.55325,984,130.94,1.00E-05,
FALSE,FALSE,6,3598298,3607116,39.638638,-90.6083,64.75609,0.14794493,0.045,0.09,107.92681,323.78046,880,130.94,2.00E-05,
FALSE,FALSE,7,3607116,3598312,39.61956,-90.604904,64.75782,0.14794318,0.045,0.09,107.9297,323.7891,3402,130.92,0.00015,
FALSE,FALSE,8,3598312,3598308,39.60146,-90.59565,64.773186,0.1479277,0.045,0.09,107.95531,323.8659,1030,130.4,1.00E-05,
FALSE,FALSE,9,3598308,3598162,39.593277,-90.59095,64.77487,0.14792599,0.045,0.09,107.95812,323.87436,979,130.4,1.00E-05,
FALSE,FALSE,10,3598162,3607112,39.58877,-90.588974,64.775116,0.14792575,0.045,0.09,107.95853,323.87558,97,130.4,1.00E-05,
FALSE,FALSE,11,3607112,3598168,39.58534,-90.58806,64.77523,0.14792563,0.045,0.09,107.95872,323.87613,685,130.4,1.00E-05,
FALSE,FALSE,12,3598168,3598170,39.580555,-90.585846,64.775604,0.14792526,0.045,0.09,107.95934,323.87802,478,130.4,1.00E-05,
FALSE,FALSE,13,3598170,3598174,39.57704,-90.58422,64.79494,0.14790578,0.045,0.09,107.99156,323.9747,349,130.4,1.00E-05,
FALSE,FALSE,14,3598174,3598184,39.56885,-90.58146,64.79641,0.1479043,0.045,0.09,107.99401,323.98203,1571,130.4,1.00E-05,
FALSE,FALSE,15,3598184,3598186,39.556458,-90.57609,64.79822,0.14790247,0.045,0.09,107.99703,323.9911,1414,130.4,1.00E-05,
FALSE,FALSE,16,3598186,3598196,39.54944,-90.57473,64.93424,0.14776571,0.045,0.09,108.22374,324.67123,177,130.4,1.00E-05,
FALSE,FALSE,17,3598196,3598204,39.53563,-90.57885,64.93616,0.14776379,0.045,0.09,108.22693,324.6808,3057,130.4,1.00E-05,
FALSE,FALSE,18,3598204,3598210,39.512886,-90.58156,64.940796,0.14775914,0.045,0.09,108.23466,324.70398,2199,130.4,1.00E-05,
FALSE,FALSE,19,3598210,3598212,39.503872,-90.58627,64.94121,0.14775872,0.045,0.09,108.235344,324.70602,34,130.4,1.00E-05,
FALSE,FALSE,20,3598212,3600996,39.502064,-90.58753,64.96419,0.14773566,0.045,0.09,108.27364,324.82095,446,130.4,1.00E-05,
FALSE,FALSE,21,3600996,3601000,39.496407,-90.58875,64.964264,0.14773558,0.045,0.09,108.27378,324.82135,812,130.4,1.00E-05,
FALSE,FALSE,22,3601000,3601006,39.48607,-90.59249,64.970566,0.14772926,0.045,0.09,108.28427,324.8528,1618,130.4,1.00E-05,
FALSE,FALSE,23,3601006,3601014,39.47431,-90.60031,64.97183,0.147728,0.045,0.09,108.28639,324.85916,1400,130.4,1.00E-05,
FALSE,FALSE,24,3601014,3601016,39.46275,-90.60797,64.9766,0.1477232,0.045,0.09,108.294334,324.88303,1525,130.4,1.00E-05,
FALSE,FALSE,25,3601016,3601022,39.455402,-90.61096,64.99762,0.14770213,0.045,0.09,108.32936,324.98807,197,130.4,1.00E-05,
FALSE,FALSE,26,3601022,3601026,39.447365,-90.61139,65.006485,0.14769325,0.045,0.09,108.34415,325.03244,1615,130.4,1.00E-05,
FALSE,FALSE,27,3601026,3601242,39.436165,-90.61363,65.007164,0.14769256,0.045,0.09,108.34527,325.0358,940,130.4,1.00E-05,
FALSE,FALSE,28,3601242,3601032,39.423527,-90.61681,65.008,0.14769171,0.045,0.09,108.34667,325.04,1981,130.4,1.00E-05,
FALSE,FALSE,29,3601032,3601030,39.412373,-90.615204,65.00806,0.14769167,0.045,0.09,108.34676,325.04028,571,130.4,1.00E-05,
FALSE,FALSE,30,3601030,3601036,39.409317,-90.61515,65.008064,0.14769165,0.045,0.09,108.34678,325.04034,101,130.4,1.00E-05,
FALSE,FALSE,31,3601036,3601040,39.407135,-90.61544,65.008095,0.14769164,0.045,0.09,108.34682,325.04047,391,130.4,1.00E-05,
FALSE,FALSE,32,3601040,3601046,39.405067,-90.615685,65.0101,0.14768963,0.045,0.09,108.35017,325.0505,76,130.4,1.00E-05,
FALSE,FALSE,33,3601046,3601050,39.403336,-90.61508,65.017395,0.14768231,0.045,0.09,108.36232,325.08694,324,130.4,1.00E-05,
FALSE,FALSE,34,3601050,3601280,39.39821,-90.6139,65.01769,0.14768201,0.045,0.09,108.36282,325.08847,855,130.4,1.00E-05,
FALSE,FALSE,35,3601280,3601054,39.390144,-90.615456,65.03458,0.1476651,0.045,0.09,108.39096,325.17288,999,130.4,1.00E-05,
FALSE,FALSE,36,3601054,3601056,39.38378,-90.617325,65.03461,0.14766507,0.045,0.09,108.39101,325.173,472,130.4,1.00E-05,
FALSE,FALSE,37,3601056,3601066,39.379574,-90.618286,65.36229,0.147338,0.045,0.09,108.93716,326.81146,550,130.4,1.00E-05,
FALSE,FALSE,38,3601066,3601070,39.3709,-90.62151,65.36303,0.14733727,0.045,0.09,108.93838,326.81512,1499,130.4,1.00E-05,
FALSE,FALSE,39,3601070,3601076,39.34847,-90.61945,65.37683,0.14732355,0.045,0.09,108.96139,326.88416,3560,130.4,0.00028,
FALSE,FALSE,40,3601076,3601082,39.32655,-90.61339,65.37849,0.1473219,0.045,0.09,108.96414,326.89243,1515,129.42,1.00E-05,
FALSE,FALSE,41,3601082,3601088,39.316635,-90.61207,65.38407,0.14731635,0.045,0.09,108.97346,326.92038,703,129.42,0.00027,
FALSE,FALSE,42,3601088,3601090,39.307407,-90.61023,65.3942,0.14730628,0.045,0.09,108.99034,326.971,1365,129.23,1.00E-05,
FALSE,FALSE,43,3601090,3601094,39.299416,-90.605965,65.416534,0.14728409,0.045,0.09,109.02755,327.08267,597,129.23,1.00E-05,
FALSE,FALSE,44,3601094,3601098,39.28878,-90.60268,65.41902,0.14728162,0.045,0.09,109.0317,327.0951,1906,129.23,0.00057,
FALSE,FALSE,45,3601098,3601102,39.270367,-90.60722,65.423904,0.14727677,0.045,0.09,109.03984,327.11954,2387,128.15,1.00E-05,
FALSE,FALSE,46,3601102,3607092,39.25509,-90.60783,65.425316,0.14727537,0.045,0.09,109.0422,327.1266,1208,128.15,1.00E-05,
FALSE,FALSE,47,3607092,3601106,39.249386,-90.60513,65.42809,0.14727262,0.045,0.09,109.04682,327.14047,160,128.15,1.00E-05,
FALSE,FALSE,48,3601106,3601284,39.23166,-90.59626,65.42897,0.14727174,0.045,0.09,109.04829,327.14487,4399,128.15,1.00E-05,
FALSE,FALSE,49,3601284,3601254,39.211136,-90.59348,65.433975,0.14726678,0.045,0.09,109.05662,327.16986,270,128.15,1.00E-05,
FALSE,FALSE,50,3601254,3601112,39.19442,-90.592865,65.43442,0.14726633,0.045,0.09,109.05736,327.1721,3515,128.15,1.00E-05,
FALSE,FALSE,51,3601112,3601206,39.178223,-90.60263,66.21185,0.14650096,0.045,0.09,110.35309,331.05927,666,128.14,9.00E-05,
FALSE,FALSE,52,3601206,3601224,39.17483,-90.60774,66.21928,0.1464937,0.045,0.09,110.36546,331.09637,532,128.08,1.00E-05,
FALSE,FALSE,53,3601224,3601218,39.165314,-90.61269,66.221436,0.1464916,0.045,0.09,110.36906,331.10718,1790,128.08,1.00E-05,
FALSE,FALSE,54,3601218,3601220,39.14743,-90.615425,66.22326,0.14648981,0.045,0.09,110.3721,331.1163,2220,128.08,1.00E-05,
FALSE,FALSE,55,3601220,3601222,39.136166,-90.612885,66.22451,0.14648859,0.045,0.09,110.37418,331.12256,391,128.08,1.00E-05,
FALSE,FALSE,56,3601222,3601238,39.13313,-90.61208,66.22529,0.14648785,0.045,0.09,110.37548,331.12643,301,128.08,1.00E-05,
FALSE,FALSE,57,3601238,3601226,39.12644,-90.6074,66.22548,0.14648765,0.045,0.09,110.37579,331.12738,1441,128.08,1.00E-05,
FALSE,FALSE,58,3601226,3601260,39.1145,-90.6033,66.24533,0.14646828,0.045,0.09,110.40888,331.22665,1340,128.08,1.00E-05,
FALSE,FALSE,59,3601260,3601198,39.100704,-90.59852,66.24889,0.14646481,0.045,0.09,110.414825,331.24448,1930,128.08,1.00E-05,
