cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
False,False,2.0,3598338.0,3598334.0,39.66606,-90.63093,64.676704,0.148025,0.045,0.09,107.79451,323.3835,5086.0,130.94,1e-05,
False,False,7.0,3607116.0,3598312.0,39.61956,-90.604904,64.75782,0.14794318,0.045,0.09,107.9297,323.7891,6763.0,130.92,0.00015,
False,False,14.0,3598174.0,3598184.0,39.56885,-90.58146,64.79641,0.1479043,0.045,0.09,107.99401,323.98203,5189.0,130.4,1e-05,
False,False,17.0,3598196.0,3598204.0,39.53563,-90.57885,64.93616,0.14776379,0.045,0.09,108.22693,324.6808,4648.0,130.4,1e-05,
False,False,22.0,3601000.0,3601006.0,39.48607,-90.59249,64.970566,0.14772926,0.045,0.09,108.28427,324.8528,5109.0,130.4,1e-05,
False,False,26.0,3601022.0,3601026.0,39.447365,-90.61139,65.006485,0.14769325,0.045,0.09,108.34415,325.03244,4737.0,130.4,1e-05,
False,False,32.0,3601040.0,3601046.0,39.405067,-90.615685,65.0101,0.14768963,0.045,0.09,108.35017,325.0505,4060.0,130.4,1e-05,
False,False,38.0,3601066.0,3601070.0,39.3709,-90.62151,65.36303,0.14733727,0.045,0.09,108.93838,326.81512,4699.0,130.4,1e-05,
False,False,40.0,3601076.0,3601082.0,39.32655,-90.61339,65.37849,0.1473219,0.045,0.09,108.96414,326.89243,5075.0,129.42,1e-05,
False,False,44.0,3601094.0,3601098.0,39.28878,-90.60268,65.41902,0.14728162,0.045,0.09,109.0317,327.0951,4571.0,129.23,0.00057,
False,False,48.0,3601106.0,3601284.0,39.23166,-90.59626,65.42897,0.14727174,0.045,0.09,109.04829,327.14487,8154.0,128.15,1e-05,
False,False,51.0,3601112.0,3601206.0,39.178223,-90.60263,66.21185,0.14650096,0.045,0.09,110.35309,331.05927,4451.0,128.14,9e-05,
False,False,54.0,3601218.0,3601220.0,39.14743,-90.615425,66.22326,0.14648981,0.045,0.09,110.3721,331.1163,4542.0,128.08,1e-05,
False,False,59.0,3601260.0,3601198.0,39.100704,-90.59852,66.24889,0.14646481,0.045,0.09,110.414825,331.24448,5403.0,128.08,1e-05,
False,False,62.0,3601296.0,3601120.0,39.062317,-90.58154,66.32058,0.14639495,0.045,0.09,110.534294,331.60287,4225.0,128.08,1e-05,
False,False,66.0,3601152.0,3602012.0,39.018436,-90.57535,66.329575,0.14638619,0.045,0.09,110.54929,331.6479,7170.0,128.08,1e-05,
False,False,69.0,3601994.0,3601976.0,38.969925,-90.5475,66.34377,0.14637236,0.045,0.09,110.57295,331.71884,4315.0,128.08,1e-05,
False,False,71.0,3601974.0,3602000.0,38.95944,-90.50578,66.37862,0.14633846,0.045,0.09,110.63102,331.89307,5472.0,128.08,1e-05,
False,False,78.0,880464.0,880468.0,38.967842,-90.451416,66.388336,0.14632902,0.045,0.09,110.647224,331.94168,4113.0,127.75,0.00023,
,,,,,,,,,,,,,,,,
