cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages,cumL,station_hec,elevation,av_slop,elevs
FALSE,FALSE,2,3598338,3598334,39.66606,-90.63093,64.676704,0.148025,0.045,0.09,107.79451,323.3835,5086,130.94,1.00E-05,,0,0,23.19125662,8.00E-05,6.046115
FALSE,FALSE,7,3607116,3598312,39.61956,-90.604904,64.75782,0.14794318,0.045,0.09,107.9297,323.7891,6763,130.92,0.00015,,5086,0,3.191256617,8.00E-05,5.639235
FALSE,FALSE,14,3598174,3598184,39.56885,-90.58146,64.79641,0.1479043,0.045,0.09,107.99401,323.98203,5189,130.4,1.00E-05,,11849,107.794495,3.191256617,1.00E-05,5.098195
FALSE,FALSE,17,3598196,3598204,39.53563,-90.57885,64.93616,0.14776379,0.045,0.09,108.22693,324.6808,4648,130.4,1.00E-05,,17038,129.353398,0,1.00E-05,5.046305
FALSE,FALSE,22,3601000,3601006,39.48607,-90.59249,64.970566,0.14772926,0.045,0.09,108.28427,324.8528,5109,130.4,1.00E-05,,21686,194.030102,0,1.00E-05,4.999825
FALSE,FALSE,26,3601022,3601026,39.447365,-90.61139,65.006485,0.14769325,0.045,0.09,108.34415,325.03244,4737,130.4,1.00E-05,,26795,215.589005,3.19125662,1.00E-05,4.948735
FALSE,FALSE,32,3601040,3601046,39.405067,-90.615685,65.0101,0.14768963,0.045,0.09,108.35017,325.0505,4060,130.4,1.00E-05,,31532,323.3835,3.19125662,1.00E-05,4.901365
FALSE,FALSE,38,3601066,3601070,39.3709,-90.62151,65.36303,0.14733727,0.045,0.09,108.93838,326.81512,4699,130.4,1.00E-05,,35592,323.3835,23.19125662,1.00E-05,4.860765
FALSE,FALSE,40,3601076,3601082,39.32655,-90.61339,65.37849,0.1473219,0.045,0.09,108.96414,326.89243,5075,129.42,1.00E-05,,40291,,,2.90E-04,4.813775
FALSE,FALSE,44,3601094,3601098,39.28878,-90.60268,65.41902,0.14728162,0.045,0.09,109.0317,327.0951,4571,129.23,0.00057,,45366,,,2.90E-04,3.342025
FALSE,FALSE,48,3601106,3601284,39.23166,-90.59626,65.42897,0.14727174,0.045,0.09,109.04829,327.14487,8154,128.15,1.00E-05,,49937,,,5.00E-05,2.016435
FALSE,FALSE,51,3601112,3601206,39.178223,-90.60263,66.21185,0.14650096,0.045,0.09,110.35309,331.05927,4451,128.14,9.00E-05,,58091,,,5.00E-05,1.608735
FALSE,FALSE,54,3601218,3601220,39.14743,-90.615425,66.22326,0.14648981,0.045,0.09,110.3721,331.1163,4542,128.08,1.00E-05,,62542,,,1.00E-05,1.386185
FALSE,FALSE,59,3601260,3601198,39.100704,-90.59852,66.24889,0.14646481,0.045,0.09,110.414825,331.24448,5403,128.08,1.00E-05,,67084,,,1.00E-05,1.340765
FALSE,FALSE,62,3601296,3601120,39.062317,-90.58154,66.32058,0.14639495,0.045,0.09,110.534294,331.60287,4225,128.08,1.00E-05,,72487,,,1.00E-05,1.286735
FALSE,FALSE,66,3601152,3602012,39.018436,-90.57535,66.329575,0.14638619,0.045,0.09,110.54929,331.6479,7170,128.08,1.00E-05,,76712,,,1.00E-05,1.244485
FALSE,FALSE,69,3601994,3601976,38.969925,-90.5475,66.34377,0.14637236,0.045,0.09,110.57295,331.71884,4315,128.08,1.00E-05,,83882,,,1.00E-05,1.172785
FALSE,FALSE,71,3601974,3602000,38.95944,-90.50578,66.37862,0.14633846,0.045,0.09,110.63102,331.89307,5472,128.08,1.00E-05,,88197,,,1.20E-04,1.129635
FALSE,FALSE,78,880464,880468,38.967842,-90.451416,66.388336,0.14632902,0.045,0.09,110.647224,331.94168,4113,127.75,0.00023,,93669,,,1.15E-04,0.472995
,,,,,,,,,,,,,,,,,97782,,,,0
