Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 04  Locations: User Defined 
                                                                                     
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 366 

 River            Reach            River Sta        Profile            Q Total 
                                                                        (m3/s) 
                                                                                     
 Mississippi      2                173029           01JAN2008 0000     3103.71 
 Mississippi      2                173029           02JAN2008 0000     2712.04 
 Mississippi      2                173029           03JAN2008 0000     2427.69 
 Mississippi      2                173029           04JAN2008 0000     2238.77 
 Mississippi      2                173029           05JAN2008 0000     2234.77 
 Mississippi      2                173029           06JAN2008 0000     2367.09 
 Mississippi      2                173029           07JAN2008 0000     2499.38 
 Mississippi      2                173029           08JAN2008 0000     3055.86 
 Mississippi      2                173029           09JAN2008 0000     4334.67 
 Mississippi      2                173029           10JAN2008 0000     5046.54 
 Mississippi      2                173029           11JAN2008 0000     4841.10 
 Mississippi      2                173029           12JAN2008 0000     5035.21 
 Mississippi      2                173029           13JAN2008 0000     4765.95 
 Mississippi      2                173029           14JAN2008 0000     4497.91 
 Mississippi      2                173029           15JAN2008 0000     4399.74 
 Mississippi      2                173029           16JAN2008 0000     4209.49 
 Mississippi      2                173029           17JAN2008 0000     3939.87 
 Mississippi      2                173029           18JAN2008 0000     3841.95 
 Mississippi      2                173029           19JAN2008 0000     3718.58 
 Mississippi      2                173029           20JAN2008 0000     3348.57 
 Mississippi      2                173029           21JAN2008 0000     2868.83 
 Mississippi      2                173029           22JAN2008 0000     2782.54 
 Mississippi      2                173029           23JAN2008 0000     3050.43 
 Mississippi      2                173029           24JAN2008 0000     3102.72 
 Mississippi      2                173029           25JAN2008 0000     3066.53 
 Mississippi      2                173029           26JAN2008 0000     2992.91 
 Mississippi      2                173029           27JAN2008 0000     2932.60 
 Mississippi      2                173029           28JAN2008 0000     2923.45 
 Mississippi      2                173029           29JAN2008 0000     2908.16 
 Mississippi      2                173029           30JAN2008 0000     2956.91 
 Mississippi      2                173029           31JAN2008 0000     2888.07 
 Mississippi      2                173029           01FEB2008 0000     2943.87 
 Mississippi      2                173029           02FEB2008 0000     3015.97 
 Mississippi      2                173029           03FEB2008 0000     3088.17 
 Mississippi      2                173029           04FEB2008 0000     3142.55 
 Mississippi      2                173029           05FEB2008 0000     3079.58 
 Mississippi      2                173029           06FEB2008 0000     3393.73 
 Mississippi      2                173029           07FEB2008 0000     3906.06 
 Mississippi      2                173029           08FEB2008 0000     3819.46 
 Mississippi      2                173029           09FEB2008 0000     3628.66 
 Mississippi      2                173029           10FEB2008 0000     3400.66 
 Mississippi      2                173029           11FEB2008 0000     3365.25 
 Mississippi      2                173029           12FEB2008 0000     3386.00 
 Mississippi      2                173029           13FEB2008 0000     3267.13 
 Mississippi      2                173029           14FEB2008 0000     3237.97 
 Mississippi      2                173029           15FEB2008 0000     3256.39 
 Mississippi      2                173029           16FEB2008 0000     3307.10 
 Mississippi      2                173029           17FEB2008 0000     3371.88 
 Mississippi      2                173029           18FEB2008 0000     3949.42 
 Mississippi      2                173029           19FEB2008 0000     4876.59 
 Mississippi      2                173029           20FEB2008 0000     4810.06 
 Mississippi      2                173029           21FEB2008 0000     4121.98 
 Mississippi      2                173029           22FEB2008 0000     3683.65 
 Mississippi      2                173029           23FEB2008 0000     3648.46 
 Mississippi      2                173029           24FEB2008 0000     3653.12 
 Mississippi      2                173029           25FEB2008 0000     3619.01 
 Mississippi      2                173029           26FEB2008 0000     3518.73 
 Mississippi      2                173029           27FEB2008 0000     3468.49 
 Mississippi      2                173029           28FEB2008 0000     3418.91 
 Mississippi      2                173029           29FEB2008 0000     3284.46 
 Mississippi      2                173029           01MAR2008 0000     3132.77 
 Mississippi      2                173029           02MAR2008 0000     3092.06 
 Mississippi      2                173029           03MAR2008 0000     3671.89 
 Mississippi      2                173029           04MAR2008 0000     5796.89 
 Mississippi      2                173029           05MAR2008 0000     7235.06 
 Mississippi      2                173029           06MAR2008 0000     7112.49 
 Mississippi      2                173029           07MAR2008 0000     6488.22 
 Mississippi      2                173029           08MAR2008 0000     6174.36 
 Mississippi      2                173029           09MAR2008 0000     5903.93 
 Mississippi      2                173029           10MAR2008 0000     5350.77 
 Mississippi      2                173029           11MAR2008 0000     4930.61 
 Mississippi      2                173029           12MAR2008 0000     4722.47 
 Mississippi      2                173029           13MAR2008 0000     4367.79 
 Mississippi      2                173029           14MAR2008 0000     4386.25 
 Mississippi      2                173029           15MAR2008 0000     4808.59 
 Mississippi      2                173029           16MAR2008 0000     5374.72 
 Mississippi      2                173029           17MAR2008 0000     5907.84 
 Mississippi      2                173029           18MAR2008 0000     6217.10 
 Mississippi      2                173029           19MAR2008 0000     6417.89 
 Mississippi      2                173029           20MAR2008 0000     6340.36 
 Mississippi      2                173029           21MAR2008 0000     6371.54 
 Mississippi      2                173029           22MAR2008 0000     6485.67 
 Mississippi      2                173029           23MAR2008 0000     6616.55 
 Mississippi      2                173029           24MAR2008 0000     6827.43 
 Mississippi      2                173029           25MAR2008 0000     6912.04 
 Mississippi      2                173029           26MAR2008 0000     6778.69 
 Mississippi      2                173029           27MAR2008 0000     6489.79 
 Mississippi      2                173029           28MAR2008 0000     6135.53 
 Mississippi      2                173029           29MAR2008 0000     5804.80 
 Mississippi      2                173029           30MAR2008 0000     5566.53 
 Mississippi      2                173029           31MAR2008 0000     5395.14 
 Mississippi      2                173029           01APR2008 0000     5241.08 
 Mississippi      2                173029           02APR2008 0000     5078.85 
 Mississippi      2                173029           03APR2008 0000     5022.99 
 Mississippi      2                173029           04APR2008 0000     5167.63 
 Mississippi      2                173029           05APR2008 0000     5362.38 
 Mississippi      2                173029           06APR2008 0000     5545.50 
 Mississippi      2                173029           07APR2008 0000     5827.89 
 Mississippi      2                173029           08APR2008 0000     6044.92 
 Mississippi      2                173029           09APR2008 0000     6207.13 
 Mississippi      2                173029           10APR2008 0000     6495.47 
 Mississippi      2                173029           11APR2008 0000     7051.28 
 Mississippi      2                173029           12APR2008 0000     7517.70 
 Mississippi      2                173029           13APR2008 0000     8011.15 
 Mississippi      2                173029           14APR2008 0000     8185.54 
 Mississippi      2                173029           15APR2008 0000     8103.60 
 Mississippi      2                173029           16APR2008 0000     8047.36 
 Mississippi      2                173029           17APR2008 0000     8170.56 
 Mississippi      2                173029           18APR2008 0000     8314.01 
 Mississippi      2                173029           19APR2008 0000     8407.54 
 Mississippi      2                173029           20APR2008 0000     8511.49 
 Mississippi      2                173029           21APR2008 0000     8730.94 
 Mississippi      2                173029           22APR2008 0000     8875.51 
 Mississippi      2                173029           23APR2008 0000     8854.27 
 Mississippi      2                173029           24APR2008 0000     8860.74 
 Mississippi      2                173029           25APR2008 0000     8919.80 
 Mississippi      2                173029           26APR2008 0000     9004.78 
 Mississippi      2                173029           27APR2008 0000     9074.45 
 Mississippi      2                173029           28APR2008 0000     9212.00 
 Mississippi      2                173029           29APR2008 0000     9242.08 
 Mississippi      2                173029           30APR2008 0000     9172.56 
 Mississippi      2                173029           01MAY2008 0000     9214.17 
 Mississippi      2                173029           02MAY2008 0000     9363.61 
 Mississippi      2                173029           03MAY2008 0000     9550.29 
 Mississippi      2                173029           04MAY2008 0000     9774.03 
 Mississippi      2                173029           05MAY2008 0000     9931.60 
 Mississippi      2                173029           06MAY2008 0000     9976.13 
 Mississippi      2                173029           07MAY2008 0000     9892.32 
 Mississippi      2                173029           08MAY2008 0000     9647.34 
 Mississippi      2                173029           09MAY2008 0000     9258.79 
 Mississippi      2                173029           10MAY2008 0000     8906.72 
 Mississippi      2                173029           11MAY2008 0000     8648.87 
 Mississippi      2                173029           12MAY2008 0000     8461.29 
 Mississippi      2                173029           13MAY2008 0000     8517.50 
 Mississippi      2                173029           14MAY2008 0000     8856.61 
 Mississippi      2                173029           15MAY2008 0000     9034.61 
 Mississippi      2                173029           16MAY2008 0000     9013.43 
 Mississippi      2                173029           17MAY2008 0000     8951.45 
 Mississippi      2                173029           18MAY2008 0000     8857.74 
 Mississippi      2                173029           19MAY2008 0000     8703.83 
 Mississippi      2                173029           20MAY2008 0000     8496.54 
 Mississippi      2                173029           21MAY2008 0000     8244.96 
 Mississippi      2                173029           22MAY2008 0000     7921.11 
 Mississippi      2                173029           23MAY2008 0000     7561.59 
 Mississippi      2                173029           24MAY2008 0000     7185.49 
 Mississippi      2                173029           25MAY2008 0000     6843.07 
 Mississippi      2                173029           26MAY2008 0000     6520.55 
 Mississippi      2                173029           27MAY2008 0000     6270.72 
 Mississippi      2                173029           28MAY2008 0000     5987.28 
 Mississippi      2                173029           29MAY2008 0000     5829.90 
 Mississippi      2                173029           30MAY2008 0000     5806.83 
 Mississippi      2                173029           31MAY2008 0000     5799.62 
 Mississippi      2                173029           01JUN2008 0000     5824.31 
 Mississippi      2                173029           02JUN2008 0000     5777.18 
 Mississippi      2                173029           03JUN2008 0000     5847.82 
 Mississippi      2                173029           04JUN2008 0000     6165.15 
 Mississippi      2                173029           05JUN2008 0000     7180.34 
 Mississippi      2                173029           06JUN2008 0000     7953.68 
 Mississippi      2                173029           07JUN2008 0000     8231.00 
 Mississippi      2                173029           08JUN2008 0000     8242.10 
 Mississippi      2                173029           09JUN2008 0000     8122.50 
 Mississippi      2                173029           10JUN2008 0000     8155.41 
 Mississippi      2                173029           11JUN2008 0000     8520.13 
 Mississippi      2                173029           12JUN2008 0000     8983.93 
 Mississippi      2                173029           13JUN2008 0000     9293.58 
 Mississippi      2                173029           14JUN2008 0000     9730.03 
 Mississippi      2                173029           15JUN2008 0000    10741.90 
 Mississippi      2                173029           16JUN2008 0000    12252.72 
 Mississippi      2                173029           17JUN2008 0000    13138.36 
 Mississippi      2                173029           18JUN2008 0000    13657.37 
 Mississippi      2                173029           19JUN2008 0000    14157.00 
 Mississippi      2                173029           20JUN2008 0000    13655.17 
 Mississippi      2                173029           21JUN2008 0000    13334.14 
 Mississippi      2                173029           22JUN2008 0000    13755.42 
