cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,TRUE,0,15022383,15022453,38.706932,-121.15799,26.178465,0.22061287,0.05,0.1,43.630775,130.89232,249,61.08,1.00E-05,
FALSE,FALSE,1,15022453,15024885,38.698902,-121.16634,26.187553,0.22057909,0.05,0.1,43.64592,130.93776,2560,61.08,0.00892,
FALSE,FALSE,2,15024885,15024891,38.682785,-121.174034,26.1924,0.22056107,0.05,0.1,43.654003,130.962,1472,38.25,1.00E-05,
FALSE,FALSE,3,15024891,15024895,38.6676,-121.1891,26.213917,0.22048119,0.05,0.1,43.68986,131.06958,3849,38.25,0.00021,
FALSE,FALSE,4,15024895,15025773,38.643433,-121.19884,26.298683,0.22016738,0.05,0.1,43.83114,131.49342,1820,37.45,0.00207,
FALSE,FALSE,5,15025773,15024897,38.639015,-121.213715,26.354374,0.219962,0.05,0.1,43.923958,131.77187,1074,33.68,1.00E-05,
FALSE,FALSE,6,15024897,15022633,38.637115,-121.21979,26.356583,0.21995388,0.05,0.1,43.92764,131.78291,92,33.68,1.00E-05,
FALSE,FALSE,7,15022633,948021150,38.637283,-121.22051,26.356586,0.21995386,0.05,0.1,43.927643,131.78293,52,33.68,1.00E-05,
FALSE,FALSE,8,948021150,948021151,38.633305,-121.23279,26.368069,0.2199116,0.05,0.1,43.94678,131.84035,2295,33.68,1.00E-05,11446500
FALSE,FALSE,9,948021151,948021149,38.636555,-121.24988,26.37494,0.21988632,0.05,0.1,43.958237,131.87471,959,33.68,0.00822,
FALSE,FALSE,10,948021149,15025015,38.637524,-121.262535,26.391436,0.21982569,0.05,0.1,43.985725,131.95717,1362,25.8,0.0017,
FALSE,FALSE,11,15025015,15025011,38.62356,-121.28203,26.456608,0.21958661,0.05,0.1,44.094345,132.28304,3300,23.49,0.0012,
FALSE,FALSE,12,15025011,15025009,38.625587,-121.302574,26.471474,0.21953219,0.05,0.1,44.119125,132.35738,3176,19.54,0.00031,
FALSE,FALSE,13,15025009,15025007,38.60696,-121.31014,26.490093,0.21946411,0.05,0.1,44.150158,132.45047,1526,18.54,0.00142,
FALSE,FALSE,14,15025007,15024997,38.602135,-121.321686,26.492373,0.21945578,0.05,0.1,44.153954,132.46187,854,16.37,0.00207,
FALSE,FALSE,15,15024997,15024993,38.591236,-121.33072,26.5302,0.21931769,0.05,0.1,44.217,132.65099,2862,14.6,0.00082,
FALSE,FALSE,16,15024993,15024987,38.579544,-121.34107,26.537102,0.2192925,0.05,0.1,44.228504,132.68552,2241,12.26,0.00056,
FALSE,FALSE,17,15024987,15024989,38.5738,-121.35188,26.53714,0.21929237,0.05,0.1,44.228565,132.6857,49,11,1.00E-05,
FALSE,FALSE,18,15024989,15024983,38.573902,-121.35602,26.538128,0.21928877,0.05,0.1,44.230213,132.69064,758,11,1.00E-05,
FALSE,FALSE,19,15024983,15024985,38.571438,-121.35989,26.538319,0.21928808,0.05,0.1,44.23053,132.69159,132,11,0.00174,
FALSE,FALSE,20,15024985,15024969,38.570534,-121.36055,26.53834,0.219288,0.05,0.1,44.230564,132.6917,95,10.77,1.00E-05,
FALSE,FALSE,21,15024969,15024967,38.567505,-121.37545,26.556772,0.21922083,0.05,0.1,44.261288,132.78386,2597,10.77,0.00089,
FALSE,FALSE,22,15024967,15024971,38.564713,-121.39202,26.557085,0.2192197,0.05,0.1,44.26181,132.78543,384,8.47,3.00E-05,
FALSE,FALSE,23,15024971,948021146,38.56371,-121.3939,26.557085,0.2192197,0.05,0.1,44.26181,132.78543,34,8.46,1.00E-05,
FALSE,FALSE,24,948021146,948021147,38.561394,-121.399025,26.55756,0.21921797,0.05,0.1,44.2626,132.7878,1089,8.46,8.00E-05,
FALSE,FALSE,25,948021147,948021148,38.55991,-121.40538,26.557579,0.2192179,0.05,0.1,44.262634,132.7879,92,8.37,1.00E-05,
FALSE,FALSE,26,948021148,948021144,38.560135,-121.40649,26.557648,0.21921764,0.05,0.1,44.262745,132.78824,105,8.37,0.002,
FALSE,FALSE,27,948021144,15024957,38.5657,-121.42243,26.566011,0.2191872,0.05,0.1,44.276684,132.83005,3747,8.16,0.00034,
FALSE,FALSE,28,15024957,15024955,38.582775,-121.422615,26.632977,0.21894388,0.05,0.1,44.388294,133.16489,101,6.88,1.00E-05,
FALSE,FALSE,29,15024955,15024941,38.5829,-121.42341,26.633003,0.21894379,0.05,0.1,44.388336,133.16501,38,6.88,1.00E-05,
FALSE,FALSE,30,15024941,15024947,38.582108,-121.438545,26.646198,0.21889596,0.05,0.1,44.41033,133.23099,2797,6.88,1.00E-05,
FALSE,FALSE,31,15024947,15024943,38.59059,-121.45146,27.514593,0.2158207,0.05,0.1,45.857655,137.57297,67,6.88,1.00E-05,
FALSE,FALSE,32,15024943,15022717,38.590992,-121.451866,27.5146,0.21582067,0.05,0.1,45.85767,137.57301,61,6.88,1.00E-05,
FALSE,FALSE,33,15022717,15024951,38.59124,-121.452805,27.51468,0.21582039,0.05,0.1,45.857803,137.57341,140,6.88,1.00E-05,
FALSE,FALSE,34,15024951,15024939,38.590954,-121.453964,27.514729,0.21582022,0.05,0.1,45.85788,137.57364,77,6.88,1.00E-05,
FALSE,FALSE,35,15024939,15024937,38.588604,-121.4664,27.51589,0.21581621,0.05,0.1,45.859818,137.57945,2284,6.88,1.00E-05,
FALSE,FALSE,36,15024937,15024935,38.597004,-121.47746,27.515963,0.21581596,0.05,0.1,45.859936,137.57982,337,6.88,1.00E-05,
FALSE,FALSE,37,15024935,15024919,38.60076,-121.48232,27.516378,0.21581452,0.05,0.1,45.86063,137.5819,854,6.88,1.00E-05,
FALSE,FALSE,38,15024919,15024889,38.60223,-121.49806,27.517794,0.21580963,0.05,0.1,45.862988,137.58897,2027,6.88,0.00029,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
