cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
False,False,1.0,15022453.0,15024885.0,38.698902,-121.16634,26.187553,0.22057909,0.05,0.1,43.64592,130.93776,2809.0,61.08,0.00892,
False,False,3.0,15024891.0,15024895.0,38.6676,-121.1891,26.213917,0.22048119,0.05,0.1,43.68986,131.06958,2660.5,38.25,0.00021,
False,False,3.0,15024891.0,15024895.0,38.6676,-121.1891,26.213917,0.22048119,0.05,0.1,43.68986,131.06958,2660.5,38.25,0.00021,
False,False,5.0,15025773.0,15024897.0,38.639015,-121.213715,26.354374,0.219962,0.05,0.1,43.923958,131.77187,2894.0,33.68,1e-05,
False,False,8.0,948021150.0,948021151.0,38.633305,-121.23279,26.368069,0.2199116,0.05,0.1,43.94678,131.84035,2439.0,33.68,1e-05,11446500.0
False,False,10.0,948021149.0,15025015.0,38.637524,-121.262535,26.391436,0.21982569,0.05,0.1,43.985725,131.95717,2321.0,25.8,0.0017,
False,False,11.0,15025015.0,15025011.0,38.62356,-121.28203,26.456608,0.21958661,0.05,0.1,44.094345,132.28304,3300.0,23.49,0.0012,
False,False,12.0,15025011.0,15025009.0,38.625587,-121.302574,26.471474,0.21953219,0.05,0.1,44.119125,132.35738,3176.0,19.54,0.00031,
False,False,14.0,15025007.0,15024997.0,38.602135,-121.321686,26.492373,0.21945578,0.05,0.1,44.153954,132.46187,2380.0,16.37,0.00207,
False,False,15.0,15024997.0,15024993.0,38.591236,-121.33072,26.5302,0.21931769,0.05,0.1,44.217,132.65099,2862.0,14.6,0.00082,
False,False,16.0,15024993.0,15024987.0,38.579544,-121.34107,26.537102,0.2192925,0.05,0.1,44.228504,132.68552,2241.0,12.26,0.00056,
False,False,21.0,15024969.0,15024967.0,38.567505,-121.37545,26.556772,0.21922083,0.05,0.1,44.261288,132.78386,3631.0,10.77,0.00089,
False,False,27.0,948021144.0,15024957.0,38.5657,-121.42243,26.566011,0.2191872,0.05,0.1,44.276684,132.83005,2725.5,8.16,0.00034,
False,False,27.0,948021144.0,15024957.0,38.5657,-121.42243,26.566011,0.2191872,0.05,0.1,44.276684,132.83005,2725.5,8.16,0.00034,
False,False,30.0,15024941.0,15024947.0,38.582108,-121.438545,26.646198,0.21889596,0.05,0.1,44.41033,133.23099,2936.0,6.88,1e-05,
False,False,35.0,15024939.0,15024937.0,38.588604,-121.4664,27.51589,0.21581621,0.05,0.1,45.859818,137.57945,2629.0,6.88,1e-05,
False,False,38.0,15024919.0,15024889.0,38.60223,-121.49806,27.517794,0.21580963,0.05,0.1,45.862988,137.58897,3218.0,6.88,0.00029,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
