# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2026-01-27 22:59:26 EST       (caww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11447650 SACRAMENTO R A FREEPORT CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11447650
#            TS   parameter     statistic     Description
#         11009       72137     00003     Discharge, tidally filtered, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	11009_72137_00003	11009_72137_00003_cd
5s	15s	20d	14n	10s
USGS	11447650	2017-01-01	24800	A
USGS	11447650	2017-01-02	22500	A
USGS	11447650	2017-01-03	21000	A
USGS	11447650	2017-01-04	23500	A
USGS	11447650	2017-01-05	33600	A
USGS	11447650	2017-01-06	49100	A
USGS	11447650	2017-01-07	60400	A
USGS	11447650	2017-01-08	70500	A
USGS	11447650	2017-01-09	82000	A
USGS	11447650	2017-01-10	90200	A
USGS	11447650	2017-01-11	91900	A
USGS	11447650	2017-01-12	89500	A
USGS	11447650	2017-01-13	86000	A
USGS	11447650	2017-01-14	82500	A
USGS	11447650	2017-01-15	80200	A
USGS	11447650	2017-01-16	80200	A
USGS	11447650	2017-01-17	78500	A
USGS	11447650	2017-01-18	78500	A
USGS	11447650	2017-01-19	79700	A
USGS	11447650	2017-01-20	79700	A
USGS	11447650	2017-01-21	78400	A
USGS	11447650	2017-01-22	76000	A
USGS	11447650	2017-01-23	74900	A
USGS	11447650	2017-01-24	73400	A
USGS	11447650	2017-01-25	72600	A
