cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,FALSE,1,15022453,15024885,38.698902,-121.16634,26.187553,0.22057909,0.05,0.1,43.64592,130.93776,2809,61.08,0.00892,
FALSE,FALSE,3,15024891,15024895,38.6676,-121.1891,26.213917,0.22048119,0.05,0.1,43.68986,131.06958,2660.5,38.25,0.00021,
FALSE,FALSE,3,15024891,15024895,38.6676,-121.1891,26.213917,0.22048119,0.05,0.1,43.68986,131.06958,2660.5,38.25,0.00021,
FALSE,FALSE,5,15025773,15024897,38.639015,-121.213715,26.354374,0.219962,0.05,0.1,43.923958,131.77187,2894,33.68,1.00E-05,
FALSE,FALSE,8,948021150,948021151,38.633305,-121.23279,26.368069,0.2199116,0.05,0.1,43.94678,131.84035,2439,33.68,1.00E-05,11446500
FALSE,FALSE,10,948021149,15025015,38.637524,-121.262535,26.391436,0.21982569,0.05,0.1,43.985725,131.95717,2321,25.8,0.0017,
FALSE,FALSE,11,15025015,15025011,38.62356,-121.28203,26.456608,0.21958661,0.05,0.1,44.094345,132.28304,3300,23.49,0.0012,
FALSE,FALSE,12,15025011,15025009,38.625587,-121.302574,26.471474,0.21953219,0.05,0.1,44.119125,132.35738,3176,19.54,0.00031,
FALSE,FALSE,14,15025007,15024997,38.602135,-121.321686,26.492373,0.21945578,0.05,0.1,44.153954,132.46187,2380,16.37,0.00207,
FALSE,FALSE,15,15024997,15024993,38.591236,-121.33072,26.5302,0.21931769,0.05,0.1,44.217,132.65099,2862,14.6,0.00082,
FALSE,FALSE,16,15024993,15024987,38.579544,-121.34107,26.537102,0.2192925,0.05,0.1,44.228504,132.68552,2241,12.26,0.00056,
FALSE,FALSE,21,15024969,15024967,38.567505,-121.37545,26.556772,0.21922083,0.05,0.1,44.261288,132.78386,3631,10.77,0.00089,
FALSE,FALSE,27,948021144,15024957,38.5657,-121.42243,26.566011,0.2191872,0.05,0.1,44.276684,132.83005,2725.5,8.16,0.00034,
FALSE,FALSE,27,948021144,15024957,38.5657,-121.42243,26.566011,0.2191872,0.05,0.1,44.276684,132.83005,2725.5,8.16,0.00034,
FALSE,FALSE,30,15024941,15024947,38.582108,-121.438545,26.646198,0.21889596,0.05,0.1,44.41033,133.23099,2936,6.88,1.00E-05,
FALSE,FALSE,35,15024939,15024937,38.588604,-121.4664,27.51589,0.21581621,0.05,0.1,45.859818,137.57945,2629,6.88,1.00E-05,
FALSE,FALSE,38,15024919,15024889,38.60223,-121.49806,27.517794,0.21580963,0.05,0.1,45.862988,137.58897,3218,6.88,0.00029,
FALSE,FALSE,1,15039173,15039309,38.577824,-121.5098,61.455177,0.15139954,0.045,0.09,102.42529,307.27588,4394,5.67,4.00E-05,
FALSE,FALSE,3,15039157,15048349,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
FALSE,FALSE,3,15039157,15048349,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
FALSE,FALSE,3,15039157,15048349,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
FALSE,FALSE,3,15039157,15048349,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
FALSE,FALSE,4,15048349,15048089,38.474285,-121.52227,61.525726,0.15132292,0.045,0.09,102.54288,307.62863,4991.5,3.53,5.00E-05,11447650
FALSE,FALSE,4,15048349,15048089,38.474285,-121.52227,61.525726,0.15132292,0.045,0.09,102.54288,307.62863,4991.5,3.53,5.00E-05,11447650
FALSE,FALSE,5,15048089,15048095,38.434753,-121.519135,61.66562,0.15117137,0.045,0.09,102.77603,308.3281,2991,3.08,1.00E-05,
FALSE,FALSE,6,15048095,15048129,38.421906,-121.52688,61.67432,0.15116197,0.045,0.09,102.790535,308.37158,2032,3.08,1.00E-05,
FALSE,FALSE,7,15048129,15048143,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1.00E-05,
FALSE,FALSE,7,15048129,15048143,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1.00E-05,
FALSE,FALSE,7,15048129,15048143,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1.00E-05,
FALSE,FALSE,7,15048129,15048143,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1.00E-05,
FALSE,FALSE,8,15048143,15048149,38.315666,-121.57782,61.6764,0.15115972,0.045,0.09,102.794,308.38202,2556,3.08,0.00013,
FALSE,FALSE,10,15059765,15059767,38.27578,-121.54126,61.689465,0.15114559,0.045,0.09,102.81577,308.44733,4309,2.76,0.00017,11447890
FALSE,FALSE,10,15059765,15059767,38.27578,-121.54126,61.689465,0.15114559,0.045,0.09,102.81577,308.44733,4309,2.76,0.00017,11447890
