cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
False,False,1.0,15039173.0,15039309.0,38.577824,-121.5098,61.455177,0.15139954,0.045,0.09,102.42529,307.27588,4394.0,5.67,4e-05,
False,False,3.0,15039157.0,15048349.0,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
False,False,3.0,15039157.0,15048349.0,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
False,False,3.0,15039157.0,15048349.0,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
False,False,3.0,15039157.0,15048349.0,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,2547.75,5.48,0.0002,
False,False,4.0,15048349.0,15048089.0,38.474285,-121.52227,61.525726,0.15132292,0.045,0.09,102.54288,307.62863,4991.5,3.53,5e-05,11447650.0
False,False,4.0,15048349.0,15048089.0,38.474285,-121.52227,61.525726,0.15132292,0.045,0.09,102.54288,307.62863,4991.5,3.53,5e-05,11447650.0
False,False,5.0,15048089.0,15048095.0,38.434753,-121.519135,61.66562,0.15117137,0.045,0.09,102.77603,308.3281,2991.0,3.08,1e-05,
False,False,6.0,15048095.0,15048129.0,38.421906,-121.52688,61.67432,0.15116197,0.045,0.09,102.790535,308.37158,2032.0,3.08,1e-05,
False,False,7.0,15048129.0,15048143.0,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1e-05,
False,False,7.0,15048129.0,15048143.0,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1e-05,
False,False,7.0,15048129.0,15048143.0,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1e-05,
False,False,7.0,15048129.0,15048143.0,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,3199.75,3.08,1e-05,
False,False,8.0,15048143.0,15048149.0,38.315666,-121.57782,61.6764,0.15115972,0.045,0.09,102.794,308.38202,2556.0,3.08,0.00013,
False,False,10.0,15059765.0,15059767.0,38.27578,-121.54126,61.689465,0.15114559,0.045,0.09,102.81577,308.44733,4309.0,2.76,0.00017,11447890.0
False,False,10.0,15059765.0,15059767.0,38.27578,-121.54126,61.689465,0.15114559,0.045,0.09,102.81577,308.44733,4309.0,2.76,0.00017,11447890.0
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
