# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database 
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://waterdata.usgs.gov/provisional-data-statement/
#
# Contact:   gs-w_waterdata_support@usgs.gov
# retrieved: 2026-01-25 00:15:05 EST       (vaww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 11426000 SACRAMENTO WEIR SPILL TO YOLO BYPASS NR SAC CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 11426000
#            TS   parameter     statistic     Description
#        217498       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
# 
agency_cd	site_no	datetime	217498_00060_00003	217498_00060_00003_cd
5s	15s	20d	14n	10s
USGS	11426000	2017-02-01	0.00	A
USGS	11426000	2017-02-02	0.00	A
USGS	11426000	2017-02-03	0.00	A
USGS	11426000	2017-02-04	0.00	A
USGS	11426000	2017-02-05	0.00	A
USGS	11426000	2017-02-06	0.00	A
USGS	11426000	2017-02-07	0.00	A
USGS	11426000	2017-02-08	4990	A
USGS	11426000	2017-02-09	32600	A
USGS	11426000	2017-02-10	67100	A
USGS	11426000	2017-02-11	62600	A
USGS	11426000	2017-02-12	58000	A
USGS	11426000	2017-02-13	43300	A
USGS	11426000	2017-02-14	36300	A
USGS	11426000	2017-02-15	36700	A
USGS	11426000	2017-02-16	36600	A
USGS	11426000	2017-02-17	36600	A
USGS	11426000	2017-02-18	36500	A
USGS	11426000	2017-02-19	36400	A
USGS	11426000	2017-02-20	36600	A
USGS	11426000	2017-02-21	37300	A
USGS	11426000	2017-02-22	37000	A
USGS	11426000	2017-02-23	36900	A
USGS	11426000	2017-02-24	36900	A
USGS	11426000	2017-02-25	36900	A
