cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,TRUE,0,15024889,15039173,38.59749,-121.50845,27.517801,0.2158096,0.05,0.1,45.863003,137.589,98,6.29,0.00633,
FALSE,FALSE,1,15039173,15039309,38.577824,-121.5098,61.455177,0.15139954,0.045,0.09,102.42529,307.27588,4296,5.67,4.00E-05,
FALSE,FALSE,2,15039309,15039157,38.56127,-121.5186,61.4769,0.15137593,0.045,0.09,102.461494,307.3845,398,5.5,5.00E-05,
FALSE,FALSE,3,15039157,15048349,38.524174,-121.52686,61.50773,0.15134245,0.045,0.09,102.51288,307.53864,9793,5.48,0.0002,
FALSE,FALSE,4,15048349,15048089,38.474285,-121.52227,61.525726,0.15132292,0.045,0.09,102.54288,307.62863,9983,3.53,5.00E-05,11447650
FALSE,FALSE,5,15048089,15048095,38.434753,-121.519135,61.66562,0.15117137,0.045,0.09,102.77603,308.3281,2991,3.08,1.00E-05,
FALSE,FALSE,6,15048095,15048129,38.421906,-121.52688,61.67432,0.15116197,0.045,0.09,102.790535,308.37158,2032,3.08,1.00E-05,
FALSE,FALSE,7,15048129,15048143,38.359715,-121.5237,61.67598,0.15116017,0.045,0.09,102.7933,308.37988,12799,3.08,1.00E-05,
FALSE,FALSE,8,15048143,15048149,38.315666,-121.57782,61.6764,0.15115972,0.045,0.09,102.794,308.38202,2556,3.08,0.00013,
FALSE,FALSE,9,15048149,15059765,38.304996,-121.57311,61.67641,0.1511597,0.045,0.09,102.79402,308.38205,104,2.76,1.00E-05,
FALSE,FALSE,10,15059765,15059767,38.27578,-121.54126,61.689465,0.15114559,0.045,0.09,102.81577,308.44733,8514,2.76,0.00017,11447890
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
