link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,gages,level
19088319,19086929,30.462051,-91.19692,230.02011,0.08457441,0.04,0.08,383.36685,1150.1006,8048.0,07374000,0
19086923,19088319,30.499401,-91.196846,4.853785,0.46399346,0.06,0.12,8.089642,24.268925,253.0,,1
19086925,19088319,30.499264,-91.197075,230.01897,0.084574595,0.04,0.08,383.36493,1150.0948,226.0,,1
19085521,19086923,30.50116,-91.19483,4.8519473,0.46407098,0.06,0.12,8.086579,24.259737,312.0,,2
938070165,19086925,30.514172,-91.199104,230.01897,0.084574595,0.04,0.08,383.36493,1150.0948,3028.0,,2
938070087,938070165,30.532217,-91.20919,3.504487,0.5356967,0.06,0.12,5.8408117,17.522434,2177.0,,3
19085301,19085521,30.503588,-91.17979,4.842784,0.4644582,0.06,0.12,8.071306,24.213919,3056.0,,3
938070166,938070165,30.522123,-91.21195,230.01852,0.08457466,0.04,0.08,383.3642,1150.0925,564.0,,3
19053476,19085301,30.501534,-91.16705,1.613514,0.75427556,0.06,0.12,2.68919,8.06757,340.0,,4
938070086,938070087,30.541702,-91.20314,2.3581269,0.63800865,0.06,0.12,3.9302115,11.790634,760.0,,4
19053474,19085301,30.503582,-91.16207,3.6080654,0.5288568,0.06,0.12,6.013442,18.040327,1244.0,,4
19085503,938070166,30.521563,-91.216896,6.7209272,0.4019316,0.06,0.12,11.201546,33.604637,450.0,,4
19085505,938070166,30.520573,-91.216415,230.0161,0.08457506,0.04,0.08,383.36017,1150.0806,357.0,,4
19053456,938070086,30.545424,-91.2008,2.2864203,0.64676017,0.06,0.12,3.8107004,11.432101,362.0,,5
19053472,19053474,30.511356,-91.15583,3.518179,0.5347759,0.06,0.12,5.8636312,17.590895,2143.0,,5
19085507,19085505,30.518335,-91.21942,1.8476021,0.7105147,0.06,0.12,3.079337,9.23801,472.0,,5
19085395,19085503,30.543673,-91.22411,6.716693,0.40204337,0.06,0.12,11.194489,33.583466,6470.0,,5
19085513,19085505,30.515007,-91.23225,230.01605,0.084575064,0.04,0.08,383.36008,1150.0802,2945.0,,5
19053454,19053456,30.549831,-91.18966,1.717423,0.7337906,0.06,0.12,2.8623714,8.587114,2040.0,,6
19053458,19053456,30.545187,-91.18994,1.7213573,0.73305017,0.06,0.12,2.868929,8.606787,1954.0,,6
19053470,19053472,30.524307,-91.17038,2.4573698,0.6265101,0.06,0.12,4.0956163,12.286849,2542.0,,6
19053468,19053472,30.522108,-91.15915,2.5349617,0.61797625,0.06,0.12,4.224936,12.6748085,570.0,,6
19085295,19085507,30.514914,-91.220184,1.7993388,0.7188605,0.06,0.12,2.998898,8.996695,400.0,,6
25471631,19085395,30.570793,-91.237495,6.2472906,0.4151012,0.06,0.12,10.412151,31.236454,817.0,,6
19085519,19085513,30.504032,-91.26707,230.01599,0.08457507,0.04,0.08,383.36,1150.08,4247.0,,6
19053462,19053470,30.535517,-91.18391,1.4803479,0.7834909,0.06,0.12,2.4672463,7.401739,1306.0,,7
19053464,19053468,30.531946,-91.15912,2.3600786,0.63777584,0.06,0.12,3.9334645,11.800393,1656.0,,7
19085517,19085519,30.512714,-91.28688,3.686507,0.5238624,0.06,0.12,6.1441784,18.432535,561.0,,7
19085509,19085295,30.512684,-91.22415,1.774081,0.7233579,0.06,0.12,2.9568017,8.870404,522.0,,7
19053658,25471631,30.581907,-91.24652,6.173955,0.41726932,0.06,0.12,10.289926,30.869776,2505.0,,7
19085515,19085519,30.536083,-91.244064,230.01546,0.08457516,0.04,0.08,383.3591,1150.0773,10111.0,,7
19053460,19053464,30.542448,-91.16765,1.8470317,0.7106115,0.06,0.12,3.078386,9.235158,1710.0,,8
19053656,19053658,30.59162,-91.24789,2.1199372,0.6686955,0.06,0.12,3.5332289,10.599687,909.0,,8
19085297,19085517,30.523964,-91.28944,3.6595364,0.5255622,0.06,0.12,6.0992274,18.297682,2504.0,,8
19085511,19085509,30.511522,-91.22697,1.7075094,0.73566705,0.06,0.12,2.845849,8.537547,81.0,,8
19053440,19053658,30.590107,-91.2395,6.0014873,0.42251775,0.06,0.12,10.002479,30.007435,1388.0,,8
19085557,19085515,30.57334,-91.26408,4.8910723,0.46242955,0.055,0.11,8.151787,30.0,489.0,,8
19088315,19085515,30.57179,-91.26849,230.01414,0.08457537,0.04,0.08,383.3569,1150.0707,917.0,,8
19053438,19053440,30.598997,-91.23045,2.5533507,0.61600876,0.06,0.12,4.2555842,12.766753,3219.0,,9
19085539,19085297,30.529137,-91.28393,3.5609615,0.5319318,0.06,0.12,5.934936,17.804808,569.0,,9
19085299,19085511,30.511036,-91.22824,1.691073,0.7388131,0.06,0.12,2.818455,8.455365,185.0,,9
19053446,19053440,30.584349,-91.2287,5.792222,0.42918557,0.06,0.12,9.653703,28.96111,1980.0,,9
19085501,19088315,30.571934,-91.29883,230.01387,0.084575415,0.04,0.08,383.35648,1150.0693,5094.0,,9
19085555,19085557,30.576563,-91.26451,4.87638,0.46304375,0.055,0.11,8.127299,30.0,232.0,,9
19085499,19088315,30.574078,-91.27509,3.0921733,0.566111,0.06,0.12,5.153622,15.460866,538.0,,9
