xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth,usgs_url,field_27,,maindepth
0,19088319,19088319,FALSE,19086929,-91.1969223,30.46205139,4.96999979,10,0,3600,0.200000003,8048,0.039999999,7.00000018696301e-05,0.084574409,230.0201111,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b'0' b'7' b'3' b'7' b'4' b'0' b'0'
 b'0']""",FALSE,608188,0.079999998,1150.100586,383.3668518,"""https://waterdata.usgs.gov/monitoring-location/07374000/#parameterCode=00060","00065""",153.3467407,12.96920994
1,19086929,19086929,FALSE,19086933,-91.22332764,30.38656425,4.429999828,10,0,3600,0.200000003,10250,0.039999999,2.99999992421363e-05,0.084574342,230.0204773,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,655217,0.079999998,1150.102417,383.3674622,,,153.3469849,12.96922031
2,19086933,19086933,FALSE,19086935,-91.23401642,30.34148407,4.090000153,10,0,3600,0.200000003,1180,0.039999999,4.99999987368938e-05,0.084574342,230.0205231,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585005,0.079999998,1150.102661,383.3675537,,,153.3470306,12.96922418
3,19086935,19086935,FALSE,19086939,-91.18173218,30.34696007,4.03000021,10,0,3600,0.200000003,9560,0.039999999,2.99999992421363e-05,0.084574282,230.0208893,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,683157,0.079999998,1150.104492,383.3681641,,,153.3472748,12.96923569
4,19086939,19086939,FALSE,19086947,-91.16149139,30.31509972,3.75,10,0,3600,0.200000003,5111,0.039999999,2.99999992421363e-05,0.084574245,230.0210724,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539956,0.079999998,1150.105347,383.3684692,,,153.3473969,12.9692403
5,19086947,19086947,FALSE,19086949,-91.23004913,30.29418182,3.579999924,10,0,3600,0.200000003,11605,0.039999999,9.99999974737875e-06,0.084574133,230.0217743,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,680585,0.079999998,1150.108887,383.3696289,,,153.3478546,12.96926188
6,19086949,19086949,FALSE,19088289,-91.11234283,30.25869942,3.579999924,10,0,3600,0.200000003,14098,0.039999999,9.99999974737875e-06,0.084574051,230.0222931,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585007,0.079999998,1150.11145,383.3704834,,,153.3481903,12.9692777
7,19086953,19086953,FALSE,25732008,-91.16539764,30.19890976,3.579999924,10,0,3600,0.200000003,3807,0.039999999,9.99999974737875e-06,0.084574036,230.0223999,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539961,0.079999998,1150.111938,383.3706665,,,153.3482666,12.96928187
8,25732008,25732008,FALSE,19086167,-91.07141113,30.21218109,3.579999924,10,0,3600,0.200000003,19709,0.039999999,9.99999974737875e-06,0.084573917,230.0231476,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,685356,0.079999998,1150.115723,383.3718872,,,153.3487396,12.96930359
9,19086167,19086167,FALSE,25732010,-90.99944305,30.15127563,3.579999924,10,0,3600,0.200000003,1458,0.039999999,9.99999974737875e-06,0.084573902,230.0231934,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539966,0.079999998,1150.115967,383.3719788,,,153.3487854,12.96930518
10,25732010,25732010,FALSE,25732012,-91.01321411,30.13431549,3.579999924,10,0,3600,0.200000003,3433,0.039999999,9.99999974737875e-06,0.084573887,230.0233154,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,675759,0.079999998,1150.116577,383.3721924,,,153.348877,12.96931064
