xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth,trapDepth,my_id,Locs,hecLoc,elevs,#VALUE!,,
1,19086929,19086929,FALSE,19086933,-91.22332764,30.38656425,4.429999828,10,0,3600,0.200000003,10250,0.039999999,3.00E-05,0.084574342,230.0204773,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,655217,0.079999998,1150.102417,383.3674622,12.96922031,0,0,249637,7.489109811,76.84587806,,
2,19086933,19086933,FALSE,19086935,-91.23401642,30.34148407,4.090000153,10,0,3600,0.200000003,1180,0.039999999,5.00E-05,0.084574342,230.0205231,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585005,0.079999998,1150.102661,383.3675537,12.96922418,1,10250,239387,11.9693497,69.35676825,,
3,19086935,19086935,FALSE,19086939,-91.18173218,30.34696007,4.03000021,10,0,3600,0.200000003,9560,0.039999999,3.00E-05,0.084574282,230.0208893,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,683157,0.079999998,1150.104492,383.3681641,12.96923569,2,11430,238207,7.146209819,57.38741855,,
4,19086939,19086939,FALSE,19086947,-91.16149139,30.31509972,3.75,10,0,3600,0.200000003,5111,0.039999999,3.00E-05,0.084574245,230.0210724,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539956,0.079999998,1150.105347,383.3684692,12.9692403,3,20990,228647,6.859409827,50.24120873,,
5,19086947,19086947,FALSE,19086949,-91.23004913,30.29418182,3.579999924,10,0,3600,0.200000003,11605,0.039999999,1.00E-05,0.084574133,230.0217743,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,680585,0.079999998,1150.108887,383.3696289,12.96926188,4,26101,223536,2.235359944,43.3817989,,
6,19086949,19086949,FALSE,19088289,-91.11234283,30.25869942,3.579999924,10,0,3600,0.200000003,14098,0.039999999,1.00E-05,0.084574051,230.0222931,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,585007,0.079999998,1150.11145,383.3704834,12.9692777,5,37706,211931,2.119309946,41.14643896,,
8,19086953,19086953,FALSE,25732008,-91.16539764,30.19890976,3.579999924,10,0,3600,0.200000003,3807,0.039999999,1.00E-05,0.084574036,230.0223999,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539961,0.079999998,1150.111938,383.3706665,12.96928187,6,51804,197833,1.97832995,39.02712901,,
9,25732008,25732008,FALSE,19086167,-91.07141113,30.21218109,3.579999924,10,0,3600,0.200000003,19709,0.039999999,1.00E-05,0.084573917,230.0231476,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,685356,0.079999998,1150.115723,383.3718872,12.96930359,7,55611,194026,1.940259951,37.04879906,,
10,19086167,19086167,FALSE,25732010,-90.99944305,30.15127563,3.579999924,10,0,3600,0.200000003,1458,0.039999999,1.00E-05,0.084573902,230.0231934,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,539966,0.079999998,1150.115967,383.3719788,12.96930518,8,75320,174317,1.743169956,35.10853911,,
11,25732010,25732010,FALSE,25732012,-91.01321411,30.13431549,3.579999924,10,0,3600,0.200000003,3433,0.039999999,1.00E-05,0.084573887,230.0233154,-9999,0,"""[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']""",FALSE,675759,0.079999998,1150.116577,383.3721924,12.96931064,9,76778,172859,1.728589956,33.36536916,,
