Historic Data For Mississippi River at Empire (01440) ,
Stream Name: Mississippi River,Longitude: -89.59646380
Gage Zero: 0 Ft. GAGE,Latitude: 29.38937220
Record High Stage: 14.39 Ft.,
,River Mile: 29.5
,Record High Stage Date: 08/29/2005
Location of Gage:,
,
Located at the entrance to Empire Lock at river mile 29.5.,
,
"Gage reset to NAVD88 (2004.65) on 29Nov2005. All prior historic stage data is relative to NGVD29.  To adjust the historic data (from 24Feb1987 to 29Nov2005 only) to NAVD88 (2004.65), subtract 0.79 feet.",
,
"Gage reset to NAVD88 (2009.55) on 01Jul2015. To adjust NAVD88 (2004.65) data to NAVD88 (2009.55), subtract 0.6 feet.",
,
"Gage data from 26Sep18 to present diverged, so subtract 0.12 feet to adjust to NAVD88 (2009.55).",
,
" To adjust NAVD88 (2009.55) values to 2007 Low Water Reference Plane (LWRP) datum relative to NAVD88, subtract 0.2 ft.",
,
"** Raw data, subject to change **",
,
08:00 Central,
Date / Time,Stage (Ft)
1.01.2011 08:00,0.78
1.02.2011 08:00,0.87
1.03.2011 08:00,0.53
1.04.2011 08:00,0.7
1.05.2011 08:00,0.7
1.06.2011 08:00,0.92
1.07.2011 08:00,0.72
1.08.2011 08:00,0.74
1.09.2011 08:00,1.15
1.10.2011 08:00,1.52
1.11.2011 08:00,0.91
1.12.2011 08:00,0.53
01/13/2011 08:00,0.46
01/14/2011 08:00,0.49
01/15/2011 08:00,0.84
01/16/2011 08:00,0.67
01/17/2011 08:00,0.81
01/18/2011 08:00,0.92
01/19/2011 08:00,0.86
01/20/2011 08:00,0.93
01/21/2011 08:00,1.02
01/22/2011 08:00,1.25
01/23/2011 08:00,0.92
01/24/2011 08:00,1.08
01/25/2011 08:00,1.01
01/26/2011 08:00,0.56
01/27/2011 08:00,0.1
01/28/2011 08:00,0.07
01/29/2011 08:00,-0.07
01/30/2011 08:00,0.03
01/31/2011 08:00,0.24
2.01.2011 08:00,0.5
2.02.2011 08:00,0.35
2.03.2011 08:00,0.7
2.04.2011 08:00,0.77
2.05.2011 08:00,0.61
2.06.2011 08:00,0.57
2.07.2011 08:00,0.85
2.08.2011 08:00,0.35
2.09.2011 08:00,0.3
2.10.2011 08:00,0.49
2.11.2011 08:00,0.34
2.12.2011 08:00,0.13
02/13/2011 08:00,-0.21
02/14/2011 08:00,0.07
02/15/2011 08:00,0.27
02/16/2011 08:00,0.47
02/17/2011 08:00,0.66
02/18/2011 08:00,0.81
02/19/2011 08:00,0.68
02/20/2011 08:00,0.86
02/21/2011 08:00,1.02
02/22/2011 08:00,0.83
02/23/2011 08:00,0.53
02/24/2011 08:00,0.47
02/25/2011 08:00,0.49
02/26/2011 08:00,0.16
02/27/2011 08:00,0.34
02/28/2011 08:00,1.16
3.01.2011 08:00,0.68
3.02.2011 08:00,1.42
3.03.2011 08:00,1.99
3.04.2011 08:00,2.18
3.05.2011 08:00,2.69
3.06.2011 08:00,3.07
3.07.2011 08:00,2.74
3.08.2011 08:00,2.99
3.09.2011 08:00,3.09
3.10.2011 08:00,2.99
3.11.2011 08:00,3.18
3.12.2011 08:00,3.24
03/13/2011 08:00,3.23
03/14/2011 08:00,3.27
03/15/2011 08:00,3.5
03/16/2011 08:00,3.58
03/17/2011 08:00,3.69
03/18/2011 08:00,3.97
03/19/2011 08:00,4.05
03/20/2011 08:00,3.84
03/21/2011 08:00,4.1
03/22/2011 08:00,4.11
03/23/2011 08:00,4.25
03/24/2011 08:00,4.12
03/25/2011 08:00,4.05
03/26/2011 08:00,4.18
03/27/2011 08:00,4.21
03/28/2011 08:00,4.28
03/29/2011 08:00,4.46
03/30/2011 08:00,4.72
03/31/2011 08:00,4.73
4.01.2011 08:00,4.79
4.02.2011 08:00,4.64
4.03.2011 08:00,4.62
4.04.2011 08:00,4.63
4.05.2011 08:00,4.5
4.06.2011 08:00,4.57
4.07.2011 08:00,4.32
4.08.2011 08:00,4.63
4.09.2011 08:00,4.38
4.10.2011 08:00,4.27
4.11.2011 08:00,4.09
4.12.2011 08:00,4.04
04/13/2011 08:00,3.91
04/14/2011 08:00,3.93
04/15/2011 08:00,4.07
04/16/2011 08:00,4.01
04/17/2011 08:00,3.93
04/18/2011 08:00,3.9
04/19/2011 08:00,3.94
04/20/2011 08:00,3.95
04/21/2011 08:00,3.81
04/22/2011 08:00,3.67
04/23/2011 08:00,3.82
04/24/2011 08:00,3.8
04/25/2011 08:00,3.94
04/26/2011 08:00,4.09
04/27/2011 08:00,4.46
04/28/2011 08:00,4.34
04/29/2011 08:00,4.39
04/30/2011 08:00,4.67
5.01.2011 08:00,4.59
5.02.2011 08:00,5.01
5.03.2011 08:00,4.72
5.04.2011 08:00,5.05
5.05.2011 08:00,4.95
5.06.2011 08:00,5.04
5.07.2011 08:00,5.09
5.08.2011 08:00,5.16
5.09.2011 08:00,5.37
5.10.2011 08:00,5.38
5.11.2011 08:00,5.57
5.12.2011 08:00,5.56
05/13/2011 08:00,5.64
05/14/2011 08:00,5.64
05/15/2011 08:00,5.74
05/16/2011 08:00,5.76
05/17/2011 08:00,5.74
05/18/2011 08:00,5.65
05/19/2011 08:00,5.78
05/20/2011 08:00,5.67
05/21/2011 08:00,5.56
05/22/2011 08:00,5.56
05/23/2011 08:00,5.61
05/24/2011 08:00,5.61
05/25/2011 08:00,5.56
05/26/2011 08:00,5.63
05/27/2011 08:00,5.63
05/28/2011 08:00,5.71
05/29/2011 08:00,5.68
05/30/2011 08:00,5.7
05/31/2011 08:00,5.62
6.01.2011 08:00,5.6
6.02.2011 08:00,5.61
6.03.2011 08:00,5.55
6.04.2011 08:00,5.51
6.05.2011 08:00,5.36
6.06.2011 08:00,5.34
6.07.2011 08:00,5.27
6.08.2011 08:00,5.42
6.09.2011 08:00,5.48
6.10.2011 08:00,5.17
6.11.2011 08:00,5.56
6.12.2011 08:00,5.43
06/13/2011 08:00,5.47
06/14/2011 08:00,5.36
06/15/2011 08:00,5.36
06/16/2011 08:00,5.06
06/17/2011 08:00,5.03
06/18/2011 08:00,4.88
06/19/2011 08:00,4.81
06/20/2011 08:00,4.79
06/21/2011 08:00,4.84
06/22/2011 08:00,4.81
06/23/2011 08:00,4.74
06/24/2011 08:00,4.71
06/25/2011 08:00,4.43
06/26/2011 08:00,4.46
06/27/2011 08:00,4.6
06/28/2011 08:00,4.62
06/29/2011 08:00,4.47
06/30/2011 08:00,4.28
7.01.2011 08:00,4.44
7.02.2011 08:00,4.04
7.03.2011 08:00,4.01
7.04.2011 08:00,3.85
7.05.2011 08:00,4.08
7.06.2011 08:00,4
7.07.2011 08:00,4.16
7.08.2011 08:00,4.34
7.09.2011 08:00,4.4
7.10.2011 08:00,4.41
