,cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt - m,So,laterals / gages,nodes,RM
0,FALSE,FALSE,1,19269466,19269468,30.995188,-91.64857,229.96443,0.08458344,0.04,0.08,383.27405,1149.8221,2787,13.06,0.00019,Tarbert Landing (RM 306),0,306.3
1,FALSE,FALSE,3,19085399,19085403,30.975103,-91.66336,229.96458,0.08458342,0.04,0.08,383.27432,1149.8229,3159,12.51,1.00E-05,,2787,304.5678682
2,FALSE,FALSE,4,19085403,19085409,30.935993,-91.6495,229.96507,0.084583335,0.04,0.08,383.27512,1149.8254,6007,12.51,1.00E-05,,5946,302.604537
3,FALSE,FALSE,5,19085409,19085411,30.917345,-91.616295,229.9654,0.08458328,0.04,0.08,383.27567,1149.827,1992,12.51,1.00E-05,,11953,298.8711622
4,FALSE,FALSE,6,19085411,19085407,30.915415,-91.58616,229.96797,0.084582865,0.04,0.08,383.27994,1149.8398,3823,12.51,8.00E-05,,13945,297.6331262
5,FALSE,FALSE,8,19085415,19085427,30.915237,-91.55222,229.96834,0.084582806,0.04,0.08,383.28058,1149.8417,2451,12.21,4.00E-05,,17768,295.2571162
6,FALSE,FALSE,9,19085427,938070168,30.905947,-91.53402,229.96957,0.084582604,0.04,0.08,383.28262,1149.8479,2050,12.12,5.00E-05,,20219,293.7338098
7,FALSE,FALSE,11,938070169,938070167,30.883133,-91.51868,229.96994,0.084582545,0.04,0.08,383.28323,1149.8497,3143,11.99,5.00E-05,,22269,292.4597265
8,FALSE,FALSE,12,938070167,19085455,30.860008,-91.51727,229.9709,0.08458239,0.04,0.08,383.28482,1149.8545,2860,11.88,3.00E-05,,25412,290.5063393
9,FALSE,FALSE,13,19085455,19085477,30.801857,-91.53575,229.97153,0.084582284,0.04,0.08,383.2859,1149.8577,5144.5,11.79,3.00E-05,,28272,288.7288378
10,FALSE,FALSE,13,19085455,19085477,30.801857,-91.53575,229.97153,0.084582284,0.04,0.08,383.2859,1149.8577,5144.5,11.79,3.00E-05,,33416.5,285.5315103
11,FALSE,FALSE,14,19085477,19088297,30.73611,-91.573494,229.97299,0.08458205,0.04,0.08,383.28833,1149.865,6543,11.53,0.00019,Morganza Spillway (RM 282),38561,282.3341827
12,FALSE,FALSE,14,19085477,19088297,30.73611,-91.573494,229.97299,0.08458205,0.04,0.08,383.28833,1149.865,6543,11.53,0.00019,,45104,278.2676818
13,FALSE,FALSE,15,19088297,19085467,30.743513,-91.50206,229.97304,0.084582046,0.04,0.08,383.2884,1149.8651,1668,9.07,1.00E-05,,51647,274.2011809
14,FALSE,FALSE,16,19085467,19085465,30.743473,-91.475426,229.97401,0.08458188,0.04,0.08,383.29,1149.8701,3590,9.07,1.00E-05,,53315,273.1645121
15,FALSE,FALSE,17,19085465,19085461,30.735767,-91.45051,229.97427,0.084581845,0.04,0.08,383.29047,1149.8713,1628,9.07,0.00017,,56905,270.9333126
16,FALSE,FALSE,18,19085461,19088329,30.742691,-91.42712,229.97685,0.08458143,0.04,0.08,383.29474,1149.8843,3153,8.8,0.00016,,58533,269.921504
17,FALSE,FALSE,19,19088329,19085457,30.754604,-91.405426,229.97694,0.08458141,0.04,0.08,383.2949,1149.8846,1742,8.31,0.00015,,61686,267.9619018
18,FALSE,FALSE,21,19085479,19085559,30.736948,-91.35971,229.98973,0.08457933,0.04,0.08,383.31622,1149.9486,9388,8,0.00016,,63428,266.8792418
19,FALSE,FALSE,22,19085559,19085481,30.662725,-91.338486,229.99014,0.08457927,0.04,0.08,383.3169,1149.9507,7305,6.59,0.00016,,72816,261.0445618
20,FALSE,FALSE,24,19085485,19085497,30.631887,-91.29339,230.01352,0.084575474,0.04,0.08,383.35587,1150.0676,5049,5.4,2.00E-05,,80121,256.5044748
21,FALSE,FALSE,25,19085497,19085501,30.600718,-91.31214,230.01373,0.08457544,0.04,0.08,383.35623,1150.0686,3439,5.32,2.00E-05,,85170,253.3665009
22,FALSE,FALSE,26,19085501,19088315,30.571934,-91.29883,230.01387,0.084575415,0.04,0.08,383.35648,1150.0693,5094,5.24,3.00E-05,,88609,251.2291485
23,FALSE,FALSE,28,19085515,19085519,30.536083,-91.244064,230.01546,0.08457516,0.04,0.08,383.3591,1150.0773,5514,5.06,1.00E-05,,93703,248.063207
24,FALSE,FALSE,28,19085515,19085519,30.536083,-91.244064,230.01546,0.08457516,0.04,0.08,383.3591,1150.0773,5514,5.06,1.00E-05,,99217,244.6362337
