Historic Data For Mississippi River at Head of Passes (01545) ,
Stream Name: Mississippi River,Longitude: -89.24652770
Gage Zero: 0 Ft. NAVD88,Latitude: 29.13377700
Record High Stage: 12.03 Ft.,
,River Mile: -0.6
,Record High Stage Date: 08/17/1969
Location of Gage:,
,
Located on Mississippi River 0.6 mile downstream from the zero (0) mile point. ,
,
,
,
Gage inspection from 1/15/08 showed new gage was set to the same water surface elevation as the existing gage; gage adjustment from NAVD88 (2004.65) to NGVD29 (1983) assumed to = 0.0',
,
Adjustment for vertical datum NAVD88 (2009.55): -0.018 ft. as of 30Sep2015 (add -0.018' to gage data to adjust to NAVD88 2009.55),
,
,
,
,
"** Raw data, subject to change **",
,
,
,
08:00 Central,
Date / Time,Stage (Ft)
1.01.2011 08:00,0.67
1.02.2011 08:00,0.38
1.03.2011 08:00,0.11
1.04.2011 08:00,0.26
1.05.2011 08:00,0.35
1.06.2011 08:00,0.61
1.07.2011 08:00,0.48
1.08.2011 08:00,0.54
1.09.2011 08:00,1
1.10.2011 08:00,1.25
1.11.2011 08:00,0.9
1.12.2011 08:00,0.5
01/13/2011 08:00,0.36
01/14/2011 08:00,0.19
01/15/2011 08:00,0.21
01/16/2011 08:00,0.28
01/17/2011 08:00,0.32
01/18/2011 08:00,0.42
01/19/2011 08:00,0.22
01/20/2011 08:00,0.41
01/21/2011 08:00,0.41
01/22/2011 08:00,0.77
01/23/2011 08:00,0.58
01/24/2011 08:00,0.9
01/25/2011 08:00,1.01
01/26/2011 08:00,M
01/27/2011 08:00,0.27
01/28/2011 08:00,0.14
01/29/2011 08:00,0
01/30/2011 08:00,0.01
01/31/2011 08:00,0.16
2.01.2011 08:00,0.4
2.02.2011 08:00,0.43
2.03.2011 08:00,0.49
2.04.2011 08:00,0.86
2.05.2011 08:00,0.65
2.06.2011 08:00,0.67
2.07.2011 08:00,1.02
2.08.2011 08:00,0.59
2.09.2011 08:00,0.61
2.10.2011 08:00,0.9
2.11.2011 08:00,0.59
2.12.2011 08:00,0.4
02/13/2011 08:00,0.15
02/14/2011 08:00,0.29
02/15/2011 08:00,0.2
02/16/2011 08:00,0.3
02/17/2011 08:00,0.51
02/18/2011 08:00,0.71
02/19/2011 08:00,0.63
