Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	31Dec2010 2400	16.58	8381.79
1	01Jan2011 2400	16.59	8393.67
2	02Jan2011 2400	16.59	8386.54
3	03Jan2011 2400	16.54	8319.76
4	04Jan2011 2400	16.45	8192.17
5	05Jan2011 2400	16.35	8032.34
6	06Jan2011 2400	16.21	7842.06
7	07Jan2011 2400	16.08	7654.70
8	08Jan2011 2400	16.00	7536.97
9	09Jan2011 2400	16.03	7587.36
10	10Jan2011 2400	16.17	7781.32
11	11Jan2011 2400	16.40	8117.54
12	12Jan2011 2400	16.74	8616.61
13	13Jan2011 2400	17.13	9228.64
14	14Jan2011 2400	17.51	9837.31
15	15Jan2011 2400	17.81	10322.80
16	16Jan2011 2400	17.99	10633.80
17	17Jan2011 2400	18.05	10741.79
18	18Jan2011 2400	18.03	10697.76
19	19Jan2011 2400	17.93	10533.59
20	20Jan2011 2400	17.76	10253.59
21	21Jan2011 2400	17.53	9866.98
22	22Jan2011 2400	17.25	9416.64
23	23Jan2011 2400	16.97	8978.74
24	24Jan2011 2400	16.74	8623.74
25	25Jan2011 2400	16.57	8359.86
26	26Jan2011 2400	16.45	8184.85
27	27Jan2011 2400	16.38	8088.17
28	28Jan2011 2400	16.34	8025.27
29	29Jan2011 2400	16.30	7970.50
30	30Jan2011 2400	16.26	7915.43
31	31Jan2011 2400	16.24	7877.19
32	01Feb2011 2400	16.23	7863.27
33	02Feb2011 2400	16.22	7857.06
34	03Feb2011 2400	16.24	7875.36
35	04Feb2011 2400	16.26	7910.31
36	05Feb2011 2400	16.31	7978.10
37	06Feb2011 2400	16.38	8088.62
38	07Feb2011 2400	16.46	8197.97
39	08Feb2011 2400	16.52	8291.85
40	09Feb2011 2400	16.59	8389.15
41	10Feb2011 2400	16.68	8525.91
42	11Feb2011 2400	16.81	8731.46
43	12Feb2011 2400	16.99	9003.55
44	13Feb2011 2400	17.20	9335.08
45	14Feb2011 2400	17.41	9673.79
46	15Feb2011 2400	17.57	9931.63
47	16Feb2011 2400	17.64	10045.84
48	17Feb2011 2400	17.62	10016.05
49	18Feb2011 2400	17.54	9875.30
50	19Feb2011 2400	17.41	9673.21
51	20Feb2011 2400	17.28	9454.36
52	21Feb2011 2400	17.13	9221.58
53	22Feb2011 2400	16.95	8946.61
