Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	31Dec2010 2400	17.19	8381.79
1	01Jan2011 2400	17.20	8391.45
2	02Jan2011 2400	17.20	8387.05
3	03Jan2011 2400	17.15	8332.20
4	04Jan2011 2400	17.06	8220.37
5	05Jan2011 2400	16.94	8073.50
6	06Jan2011 2400	16.78	7892.35
7	07Jan2011 2400	16.63	7708.01
8	08Jan2011 2400	16.52	7579.85
9	09Jan2011 2400	16.53	7593.75
10	10Jan2011 2400	16.66	7745.71
11	11Jan2011 2400	16.91	8039.75
12	12Jan2011 2400	17.28	8490.80
13	13Jan2011 2400	17.74	9062.24
14	14Jan2011 2400	18.20	9656.50
15	15Jan2011 2400	18.58	10160.70
16	16Jan2011 2400	18.84	10512.35
17	17Jan2011 2400	18.96	10674.67
18	18Jan2011 2400	18.96	10679.79
19	19Jan2011 2400	18.87	10557.31
20	20Jan2011 2400	18.69	10314.90
21	21Jan2011 2400	18.43	9963.19
22	22Jan2011 2400	18.11	9540.31
23	23Jan2011 2400	17.78	9110.07
24	24Jan2011 2400	17.48	8741.58
25	25Jan2011 2400	17.25	8456.75
26	26Jan2011 2400	17.09	8257.27
27	27Jan2011 2400	16.99	8136.07
28	28Jan2011 2400	16.92	8056.89
29	29Jan2011 2400	16.87	7993.83
30	30Jan2011 2400	16.82	7935.29
31	31Jan2011 2400	16.78	7892.38
32	01Feb2011 2400	16.77	7872.00
33	02Feb2011 2400	16.76	7861.82
34	03Feb2011 2400	16.77	7874.15
35	04Feb2011 2400	16.79	7903.77
36	05Feb2011 2400	16.84	7963.28
37	06Feb2011 2400	16.93	8062.60
38	07Feb2011 2400	17.02	8167.65
39	08Feb2011 2400	17.09	8262.82
40	09Feb2011 2400	17.17	8359.53
41	10Feb2011 2400	17.28	8488.75
42	11Feb2011 2400	17.43	8675.87
43	12Feb2011 2400	17.63	8929.01
44	13Feb2011 2400	17.88	9242.23
45	14Feb2011 2400	18.14	9572.22
46	15Feb2011 2400	18.34	9843.73
47	16Feb2011 2400	18.45	9989.71
48	17Feb2011 2400	18.46	9999.83
49	18Feb2011 2400	18.38	9895.79
50	19Feb2011 2400	18.25	9718.62
51	20Feb2011 2400	18.09	9513.28
52	21Feb2011 2400	17.92	9288.95
53	22Feb2011 2400	17.71	9025.67
54	23Feb2011 2400	17.48	8738.99
55	24Feb2011 2400	17.27	8482.36
56	25Feb2011 2400	17.14	8318.28
57	26Feb2011 2400	17.16	8345.63
58	27Feb2011 2400	17.44	8690.27
59	28Feb2011 2400	18.01	9412.42
60	01Mar2011 2400	18.81	10473.74
61	02Mar2011 2400	19.71	11745.69
62	03Mar2011 2400	20.62	13088.18
63	04Mar2011 2400	21.46	14391.40
64	05Mar2011 2400	22.18	15569.05
65	06Mar2011 2400	22.76	16536.48
66	07Mar2011 2400	23.21	17299.19
67	08Mar2011 2400	23.61	17992.54
68	09Mar2011 2400	24.02	18725.26
69	10Mar2011 2400	24.40	19407.14
70	11Mar2011 2400	24.72	19983.47
71	12Mar2011 2400	25.04	20578.86
72	13Mar2011 2400	25.35	21155.87
73	14Mar2011 2400	25.63	21695.00
74	15Mar2011 2400	25.89	22182.30
75	16Mar2011 2400	26.12	22618.56
76	17Mar2011 2400	26.32	23021.60
77	18Mar2011 2400	26.52	23406.79
78	19Mar2011 2400	26.71	23775.21
79	20Mar2011 2400	26.89	24130.84
80	21Mar2011 2400	27.05	24461.88
81	22Mar2011 2400	27.21	24779.45
82	23Mar2011 2400	27.37	25102.13
83	24Mar2011 2400	27.53	25424.54
84	25Mar2011 2400	27.67	25716.43
85	26Mar2011 2400	27.81	25996.13
86	27Mar2011 2400	27.95	26275.62
87	28Mar2011 2400	28.08	26557.19
88	29Mar2011 2400	28.26	26922.53
89	30Mar2011 2400	28.44	27307.93
90	31Mar2011 2400	28.61	27651.59
91	01Apr2011 2400	28.73	27915.86
92	02Apr2011 2400	28.80	28062.31
93	03Apr2011 2400	28.81	28091.97
94	04Apr2011 2400	28.78	28018.38
95	05Apr2011 2400	28.70	27842.09
96	06Apr2011 2400	28.58	27587.75
97	07Apr2011 2400	28.43	27278.86
98	08Apr2011 2400	28.25	26911.74
99	09Apr2011 2400	28.03	26439.95
100	10Apr2011 2400	27.72	25812.71
101	11Apr2011 2400	27.35	25067.05
102	12Apr2011 2400	26.93	24222.40
103	13Apr2011 2400	26.50	23372.31
104	14Apr2011 2400	26.13	22641.14
105	15Apr2011 2400	25.81	22036.38
106	16Apr2011 2400	25.55	21530.15
107	17Apr2011 2400	25.35	21155.54
108	18Apr2011 2400	25.23	20931.35
109	19Apr2011 2400	25.17	20825.90
110	20Apr2011 2400	25.17	20815.01
111	21Apr2011 2400	25.20	20882.94
112	22Apr2011 2400	25.28	21019.00
113	23Apr2011 2400	25.38	21217.21
114	24Apr2011 2400	25.52	21483.92
115	25Apr2011 2400	25.72	21859.38
116	26Apr2011 2400	25.96	22312.40
117	27Apr2011 2400	26.20	22777.52
118	28Apr2011 2400	26.44	23247.48
119	29Apr2011 2400	26.72	23801.46
120	30Apr2011 2400	27.07	24506.07
121	01May2011 2400	27.50	25359.61
122	02May2011 2400	27.98	26355.95
123	03May2011 2400	28.51	27440.74
124	04May2011 2400	29.04	28566.94
125	05May2011 2400	29.57	29709.80
126	06May2011 2400	30.05	30760.11
127	07May2011 2400	30.62	32005.76
128	08May2011 2400	31.25	33378.34
129	09May2011 2400	31.90	34791.25
130	10May2011 2400	32.46	36011.51
131	11May2011 2400	32.94	37047.67
132	12May2011 2400	33.32	37879.63
133	13May2011 2400	33.69	38673.62
134	14May2011 2400	33.97	39285.23
135	15May2011 2400	34.18	39734.02
136	16May2011 2400	34.29	39990.64
137	17May2011 2400	34.40	40215.28
138	18May2011 2400	34.46	40360.43
139	19May2011 2400	34.45	40333.27
140	20May2011 2400	34.42	40276.80
141	21May2011 2400	34.36	40139.99
142	22May2011 2400	34.31	40032.33
143	23May2011 2400	34.24	39873.17
144	24May2011 2400	34.14	39655.11
145	25May2011 2400	34.02	39401.94
146	26May2011 2400	33.99	39333.08
147	27May2011 2400	33.95	39235.96
148	28May2011 2400	33.86	39056.46
149	29May2011 2400	33.80	38922.26
150	30May2011 2400	33.72	38750.59
151	31May2011 2400	33.67	38627.46
152	01Jun2011 2400	33.59	38462.24
153	02Jun2011 2400	33.44	38141.85
154	03Jun2011 2400	33.24	37697.20
155	04Jun2011 2400	33.00	37185.65
156	05Jun2011 2400	32.71	36543.70
157	06Jun2011 2400	32.41	35896.99
158	07Jun2011 2400	32.13	35283.90
159	08Jun2011 2400	31.91	34794.04
160	09Jun2011 2400	31.68	34309.93
161	10Jun2011 2400	31.49	33890.13
162	11Jun2011 2400	31.28	33438.76
163	12Jun2011 2400	31.05	32935.30
164	13Jun2011 2400	30.81	32399.14
165	14Jun2011 2400	30.55	31846.76
166	15Jun2011 2400	30.29	31287.29
167	16Jun2011 2400	30.04	30725.21
168	17Jun2011 2400	29.73	30067.29
169	18Jun2011 2400	29.43	29413.12
170	19Jun2011 2400	29.10	28696.36
171	20Jun2011 2400	28.76	27974.12
172	21Jun2011 2400	28.43	27280.40
173	22Jun2011 2400	28.08	26558.01
174	23Jun2011 2400	27.70	25770.37
175	24Jun2011 2400	27.29	24940.27
176	25Jun2011 2400	26.87	24099.08
177	26Jun2011 2400	26.47	23302.07
178	27Jun2011 2400	26.11	22601.32
179	28Jun2011 2400	25.81	22022.78
180	29Jun2011 2400	25.57	21576.95
181	30Jun2011 2400	25.40	21242.77
182	01Jul2011 2400	25.26	20987.32
183	02Jul2011 2400	25.15	20777.45
184	03Jul2011 2400	25.05	20598.48
185	04Jul2011 2400	24.97	20454.97
186	05Jul2011 2400	24.95	20410.69
187	06Jul2011 2400	24.96	20423.87
188	07Jul2011 2400	24.96	20437.67
189	08Jul2011 2400	24.97	20443.13
190	09Jul2011 2400	24.97	20452.53
191	10Jul2011 2400	24.97	20445.82
192	11Jul2011 2400	24.95	20417.91
193	12Jul2011 2400	24.93	20367.32
194	13Jul2011 2400	24.88	20276.25
195	14Jul2011 2400	24.80	20133.25
196	15Jul2011 2400	24.69	19934.76
197	16Jul2011 2400	24.56	19695.86
198	17Jul2011 2400	24.43	19449.48
199	18Jul2011 2400	24.30	19225.63
200	19Jul2011 2400	24.18	19003.20
201	20Jul2011 2400	24.04	18747.69
202	21Jul2011 2400	23.87	18455.87
203	22Jul2011 2400	23.69	18126.95
204	23Jul2011 2400	23.47	17746.34
205	24Jul2011 2400	23.21	17301.41
206	25Jul2011 2400	22.94	16833.84
207	26Jul2011 2400	22.70	16425.43
208	27Jul2011 2400	22.49	16078.77
209	28Jul2011 2400	22.29	15748.52
210	29Jul2011 2400	22.06	15362.44
211	30Jul2011 2400	21.78	14914.12
212	31Jul2011 2400	21.49	14446.17
213	01Aug2011 2400	21.22	14014.14
214	02Aug2011 2400	20.98	13642.06
215	03Aug2011 2400	20.79	13354.33
216	04Aug2011 2400	20.67	13161.20
217	05Aug2011 2400	20.58	13023.31
218	06Aug2011 2400	20.50	12906.78
219	07Aug2011 2400	20.42	12795.12
220	08Aug2011 2400	20.35	12676.80
221	09Aug2011 2400	20.27	12556.39
222	10Aug2011 2400	20.19	12450.62
223	11Aug2011 2400	20.14	12370.01
224	12Aug2011 2400	20.11	12324.07
225	13Aug2011 2400	20.10	12315.46
226	14Aug2011 2400	20.13	12348.33
227	15Aug2011 2400	20.16	12397.29
228	16Aug2011 2400	20.18	12431.20
229	17Aug2011 2400	20.17	12410.61
230	18Aug2011 2400	20.11	12324.84
231	19Aug2011 2400	20.02	12188.84
232	20Aug2011 2400	19.90	12010.47
233	21Aug2011 2400	19.75	11800.12
234	22Aug2011 2400	19.59	11563.38
235	23Aug2011 2400	19.42	11319.19
236	24Aug2011 2400	19.26	11102.67
237	25Aug2011 2400	19.14	10936.17
238	26Aug2011 2400	19.05	10803.30
239	27Aug2011 2400	18.96	10686.19
240	28Aug2011 2400	18.88	10567.64
241	29Aug2011 2400	18.78	10436.20
242	30Aug2011 2400	18.67	10285.70
243	31Aug2011 2400	18.56	10133.60
244	01Sep2011 2400	18.48	10030.58
245	02Sep2011 2400	18.52	10077.32
246	03Sep2011 2400	18.64	10248.15
247	04Sep2011 2400	18.85	10527.10
248	05Sep2011 2400	18.97	10700.52
249	06Sep2011 2400	18.96	10686.57
250	07Sep2011 2400	18.85	10524.87
251	08Sep2011 2400	18.66	10271.02
252	09Sep2011 2400	18.44	9971.44
253	10Sep2011 2400	18.20	9658.87
254	11Sep2011 2400	17.98	9366.61
255	12Sep2011 2400	17.78	9116.27
256	13Sep2011 2400	17.64	8939.38
257	14Sep2011 2400	17.58	8857.50
258	15Sep2011 2400	17.59	8873.16
259	16Sep2011 2400	17.66	8960.93
260	17Sep2011 2400	17.76	9086.33
261	18Sep2011 2400	17.86	9210.91
262	19Sep2011 2400	17.93	9301.09
263	20Sep2011 2400	17.95	9331.94
264	21Sep2011 2400	17.92	9296.23
265	22Sep2011 2400	17.86	9210.83
266	23Sep2011 2400	17.75	9076.93
267	24Sep2011 2400	17.60	8892.71
268	25Sep2011 2400	17.43	8675.29
269	26Sep2011 2400	17.25	8454.71
