Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 02  Locations: User Defined 
                                                                                     
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 731 

 River            Reach            River Sta        Profile            Q Total 
                                                                        (m3/s) 
                                                                                     
 1                1                404330.*         01JAN2011 0000     7900.40 
 1                1                404330.*         01JAN2011 1200     7929.83 
 1                1                404330.*         02JAN2011 0000     8009.39 
 1                1                404330.*         02JAN2011 1200     8054.88 
 1                1                404330.*         03JAN2011 0000     8018.31 
 1                1                404330.*         03JAN2011 1200     7962.27 
 1                1                404330.*         04JAN2011 0000     7908.47 
 1                1                404330.*         04JAN2011 1200     7853.74 
 1                1                404330.*         05JAN2011 0000     7800.91 
 1                1                404330.*         05JAN2011 1200     7745.29 
 1                1                404330.*         06JAN2011 0000     7684.01 
 1                1                404330.*         06JAN2011 1200     7619.49 
 1                1                404330.*         07JAN2011 0000     7554.47 
 1                1                404330.*         07JAN2011 1200     7493.36 
 1                1                404330.*         08JAN2011 0000     7436.54 
 1                1                404330.*         08JAN2011 1200     7403.05 
 1                1                404330.*         09JAN2011 0000     7406.64 
 1                1                404330.*         09JAN2011 1200     7440.85 
 1                1                404330.*         10JAN2011 0000     7512.84 
 1                1                404330.*         10JAN2011 1200     7632.44 
 1                1                404330.*         11JAN2011 0000     7815.38 
 1                1                404330.*         11JAN2011 1200     8045.05 
 1                1                404330.*         12JAN2011 0000     8319.00 
 1                1                404330.*         12JAN2011 1200     8601.52 
 1                1                404330.*         13JAN2011 0000     8872.51 
 1                1                404330.*         13JAN2011 1200     9185.10 
 1                1                404330.*         14JAN2011 0000     9570.85 
 1                1                404330.*         14JAN2011 1200     9913.65 
 1                1                404330.*         15JAN2011 0000    10151.10 
 1                1                404330.*         15JAN2011 1200    10317.92 
 1                1                404330.*         16JAN2011 0000    10415.35 
 1                1                404330.*         16JAN2011 1200    10469.22 
 1                1                404330.*         17JAN2011 0000    10485.92 
 1                1                404330.*         17JAN2011 1200    10433.29 
 1                1                404330.*         18JAN2011 0000    10294.22 
 1                1                404330.*         18JAN2011 1200    10160.48 
 1                1                404330.*         19JAN2011 0000    10065.68 
 1                1                404330.*         19JAN2011 1200     9952.41 
 1                1                404330.*         20JAN2011 0000     9800.78 
 1                1                404330.*         20JAN2011 1200     9622.22 
 1                1                404330.*         21JAN2011 0000     9420.03 
 1                1                404330.*         21JAN2011 1200     9207.08 
 1                1                404330.*         22JAN2011 0000     8986.28 
 1                1                404330.*         22JAN2011 1200     8768.62 
 1                1                404330.*         23JAN2011 0000     8562.33 
 1                1                404330.*         23JAN2011 1200     8383.30 
 1                1                404330.*         24JAN2011 0000     8237.42 
 1                1                404330.*         24JAN2011 1200     8101.44 
 1                1                404330.*         25JAN2011 0000     7971.22 
 1                1                404330.*         25JAN2011 1200     7873.25 
 1                1                404330.*         26JAN2011 0000     7822.90 
 1                1                404330.*         26JAN2011 1200     7799.95 
 1                1                404330.*         27JAN2011 0000     7798.22 
 1                1                404330.*         27JAN2011 1200     7804.45 
 1                1                404330.*         28JAN2011 0000     7812.06 
 1                1                404330.*         28JAN2011 1200     7800.90 
 1                1                404330.*         29JAN2011 0000     7758.18 
 1                1                404330.*         29JAN2011 1200     7710.09 
 1                1                404330.*         30JAN2011 0000     7665.97 
 1                1                404330.*         30JAN2011 1200     7625.02 
 1                1                404330.*         31JAN2011 0000     7588.48 
 1                1                404330.*         31JAN2011 1200     7547.55 
 1                1                404330.*         01FEB2011 0000     7497.61 
 1                1                404330.*         01FEB2011 1200     7458.43 
 1                1                404330.*         02FEB2011 0000     7442.53 
 1                1                404330.*         02FEB2011 1200     7442.62 
 1                1                404330.*         03FEB2011 0000     7457.82 
 1                1                404330.*         03FEB2011 1200     7477.33 
 1                1                404330.*         04FEB2011 0000     7495.27 
 1                1                404330.*         04FEB2011 1200     7521.06 
 1                1                404330.*         05FEB2011 0000     7564.14 
 1                1                404330.*         05FEB2011 1200     7628.99 
 1                1                404330.*         06FEB2011 0000     7718.45 
 1                1                404330.*         06FEB2011 1200     7812.42 
 1                1                404330.*         07FEB2011 0000     7901.53 
 1                1                404330.*         07FEB2011 1200     7968.92 
 1                1                404330.*         08FEB2011 0000     8004.97 
 1                1                404330.*         08FEB2011 1200     8035.10 
 1                1                404330.*         09FEB2011 0000     8063.78 
 1                1                404330.*         09FEB2011 1200     8097.19 
 1                1                404330.*         10FEB2011 0000     8141.58 
 1                1                404330.*         10FEB2011 1200     8206.64 
 1                1                404330.*         11FEB2011 0000     8304.86 
 1                1                404330.*         11FEB2011 1200     8491.35 
 1                1                404330.*         12FEB2011 0000     8805.71 
 1                1                404330.*         12FEB2011 1200     9114.54 
 1                1                404330.*         13FEB2011 0000     9353.34 
 1                1                404330.*         13FEB2011 1200     9570.64 
 1                1                404330.*         14FEB2011 0000     9779.54 
 1                1                404330.*         14FEB2011 1200     9946.87 
 1                1                404330.*         15FEB2011 0000    10057.54 
 1                1                404330.*         15FEB2011 1200    10129.21 
 1                1                404330.*         16FEB2011 0000    10164.07 
 1                1                404330.*         16FEB2011 1200    10161.03 
 1                1                404330.*         17FEB2011 0000    10117.01 
 1                1                404330.*         17FEB2011 1200    10006.66 
 1                1                404330.*         18FEB2011 0000     9816.27 
 1                1                404330.*         18FEB2011 1200     9647.28 
 1                1                404330.*         19FEB2011 0000     9538.01 
 1                1                404330.*         19FEB2011 1200     9429.31 
 1                1                404330.*         20FEB2011 0000     9301.47 
 1                1                404330.*         20FEB2011 1200     9174.84 
 1                1                404330.*         21FEB2011 0000     9058.12 
 1                1                404330.*         21FEB2011 1200     8934.51 
 1                1                404330.*         22FEB2011 0000     8798.72 
 1                1                404330.*         22FEB2011 1200     8646.79 
 1                1                404330.*         23FEB2011 0000     8473.87 
 1                1                404330.*         23FEB2011 1200     8305.28 
 1                1                404330.*         24FEB2011 0000     8149.76 
 1                1                404330.*         24FEB2011 1200     8030.78 
 1                1                404330.*         25FEB2011 0000     7964.84 
 1                1                404330.*         25FEB2011 1200     8001.91 
 1                1                404330.*         26FEB2011 0000     8181.60 
 1                1                404330.*         26FEB2011 1200     8441.77 
 1                1                404330.*         27FEB2011 0000     8766.48 
 1                1                404330.*         27FEB2011 1200     9162.82 
 1                1                404330.*         28FEB2011 0000     9644.46 
 1                1                404330.*         28FEB2011 1200    10214.67 
 1                1                404330.*         01MAR2011 0000    10892.07 
 1                1                404330.*         01MAR2011 1200    11573.92 
 1                1                404330.*         02MAR2011 0000    12203.62 
 1                1                404330.*         02MAR2011 1200    12814.74 
 1                1                404330.*         03MAR2011 0000    13417.56 
 1                1                404330.*         03MAR2011 1200    14057.88 
 1                1                404330.*         04MAR2011 0000    14754.01 
 1                1                404330.*         04MAR2011 1200    15392.87 
 1                1                404330.*         05MAR2011 0000    15937.55 
 1                1                404330.*         05MAR2011 1200    16585.56 
 1                1                404330.*         06MAR2011 0000    17387.38 
 1                1                404330.*         06MAR2011 1200    18051.44 
 1                1                404330.*         07MAR2011 0000    18516.98 
 1                1                404330.*         07MAR2011 1200    18888.46 
 1                1                404330.*         08MAR2011 0000    19194.19 
 1                1                404330.*         08MAR2011 1200    19602.58 
 1                1                404330.*         09MAR2011 0000    20133.89 
 1                1                404330.*         09MAR2011 1200    20752.30 
 1                1                404330.*         10MAR2011 0000    21442.24 
 1                1                404330.*         10MAR2011 1200    22005.22 
 1                1                404330.*         11MAR2011 0000    22426.86 
 1                1                404330.*         11MAR2011 1200    22751.34 
 1                1                404330.*         12MAR2011 0000    23002.93 
 1                1                404330.*         12MAR2011 1200    23216.85 
 1                1                404330.*         13MAR2011 0000    23404.29 
 1                1                404330.*         13MAR2011 1200    23603.12 
 1                1                404330.*         14MAR2011 0000    23815.74 
 1                1                404330.*         14MAR2011 1200    23922.30 
 1                1                404330.*         15MAR2011 0000    23932.01 
 1                1                404330.*         15MAR2011 1200    24007.38 
 1                1                404330.*         16MAR2011 0000    24151.11 
 1                1                404330.*         16MAR2011 1200    24319.65 
 1                1                404330.*         17MAR2011 0000    24502.70 
 1                1                404330.*         17MAR2011 1200    24583.59 
 1                1                404330.*         18MAR2011 0000    24572.61 
 1                1                404330.*         18MAR2011 1200    24648.15 
 1                1                404330.*         19MAR2011 0000    24809.30 
 1                1                404330.*         19MAR2011 1200    24970.21 
 1                1                404330.*         20MAR2011 0000    25121.84 
 1                1                404330.*         20MAR2011 1200    25289.52 
 1                1                404330.*         21MAR2011 0000    25471.94 
 1                1                404330.*         21MAR2011 1200    25561.33 
 1                1                404330.*         22MAR2011 0000    25569.69 
 1                1                404330.*         22MAR2011 1200    25637.41 
 1                1                404330.*         23MAR2011 0000    25763.35 
 1                1                404330.*         23MAR2011 1200    25896.93 
 1                1                404330.*         24MAR2011 0000    26031.99 
 1                1                404330.*         24MAR2011 1200    26174.73 
 1                1                404330.*         25MAR2011 0000    26322.95 
 1                1                404330.*         25MAR2011 1200    26473.03 
 1                1                404330.*         26MAR2011 0000    26624.44 
 1                1                404330.*         26MAR2011 1200    26749.25 
 1                1                404330.*         27MAR2011 0000    26851.70 
 1                1                404330.*         27MAR2011 1200    26981.20 
 1                1                404330.*         28MAR2011 0000    27135.37 
 1                1                404330.*         28MAR2011 1200    27162.41 
 1                1                404330.*         29MAR2011 0000    27081.28 
 1                1                404330.*         29MAR2011 1200    27097.79 
 1                1                404330.*         30MAR2011 0000    27207.15 
 1                1                404330.*         30MAR2011 1200    27338.57 
 1                1                404330.*         31MAR2011 0000    27474.30 
 1                1                404330.*         31MAR2011 1200    27605.90 
 1                1                404330.*         01APR2011 0000    27738.41 
 1                1                404330.*         01APR2011 1200    27835.00 
 1                1                404330.*         02APR2011 0000    27899.83 
 1                1                404330.*         02APR2011 1200    28001.19 
 1                1                404330.*         03APR2011 0000    28135.50 
 1                1                404330.*         03APR2011 1200    28137.46 
