Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 02  Locations: User Defined 
                                                                                     
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 731 

 River            Reach            River Sta        Profile            Q Total 
                                                                        (m3/s) 
                                                                                     
 1                1                159930.*         01JAN2011 0000     7900.40 
 1                1                159930.*         01JAN2011 1200     7924.62 
 1                1                159930.*         02JAN2011 0000     7963.96 
 1                1                159930.*         02JAN2011 1200     8003.15 
 1                1                159930.*         03JAN2011 0000     8040.18 
 1                1                159930.*         03JAN2011 1200     8038.84 
 1                1                159930.*         04JAN2011 0000     8008.82 
 1                1                159930.*         04JAN2011 1200     7976.31 
 1                1                159930.*         05JAN2011 0000     7940.92 
 1                1                159930.*         05JAN2011 1200     7891.19 
 1                1                159930.*         06JAN2011 0000     7832.97 
 1                1                159930.*         06JAN2011 1200     7798.51 
 1                1                159930.*         07JAN2011 0000     7773.31 
 1                1                159930.*         07JAN2011 1200     7727.06 
 1                1                159930.*         08JAN2011 0000     7669.22 
 1                1                159930.*         08JAN2011 1200     7585.23 
 1                1                159930.*         09JAN2011 0000     7493.86 
 1                1                159930.*         09JAN2011 1200     7436.69 
 1                1                159930.*         10JAN2011 0000     7408.05 
 1                1                159930.*         10JAN2011 1200     7444.41 
 1                1                159930.*         11JAN2011 0000     7522.57 
 1                1                159930.*         11JAN2011 1200     7624.63 
 1                1                159930.*         12JAN2011 0000     7754.77 
 1                1                159930.*         12JAN2011 1200     7898.81 
 1                1                159930.*         13JAN2011 0000     8063.79 
 1                1                159930.*         13JAN2011 1200     8255.74 
 1                1                159930.*         14JAN2011 0000     8474.98 
 1                1                159930.*         14JAN2011 1200     8720.08 
 1                1                159930.*         15JAN2011 0000     8984.20 
 1                1                159930.*         15JAN2011 1200     9244.41 
 1                1                159930.*         16JAN2011 0000     9484.44 
 1                1                159930.*         16JAN2011 1200     9694.83 
 1                1                159930.*         17JAN2011 0000     9870.84 
 1                1                159930.*         17JAN2011 1200    10007.78 
 1                1                159930.*         18JAN2011 0000    10100.10 
 1                1                159930.*         18JAN2011 1200    10153.00 
 1                1                159930.*         19JAN2011 0000    10172.20 
 1                1                159930.*         19JAN2011 1200    10147.79 
 1                1                159930.*         20JAN2011 0000    10089.46 
 1                1                159930.*         20JAN2011 1200    10017.88 
 1                1                159930.*         21JAN2011 0000     9929.01 
 1                1                159930.*         21JAN2011 1200     9798.57 
 1                1                159930.*         22JAN2011 0000     9635.50 
 1                1                159930.*         22JAN2011 1200     9485.03 
 1                1                159930.*         23JAN2011 0000     9340.50 
 1                1                159930.*         23JAN2011 1200     9158.08 
 1                1                159930.*         24JAN2011 0000     8955.71 
 1                1                159930.*         24JAN2011 1200     8775.20 
 1                1                159930.*         25JAN2011 0000     8612.56 
 1                1                159930.*         25JAN2011 1200     8485.15 
 1                1                159930.*         26JAN2011 0000     8383.53 
 1                1                159930.*         26JAN2011 1200     8293.31 
 1                1                159930.*         27JAN2011 0000     8217.90 
 1                1                159930.*         27JAN2011 1200     8145.09 
 1                1                159930.*         28JAN2011 0000     8080.30 
 1                1                159930.*         28JAN2011 1200     8032.39 
 1                1                159930.*         29JAN2011 0000     7994.12 
 1                1                159930.*         29JAN2011 1200     7947.32 
 1                1                159930.*         30JAN2011 0000     7894.35 
 1                1                159930.*         30JAN2011 1200     7834.73 
 1                1                159930.*         31JAN2011 0000     7773.22 
 1                1                159930.*         31JAN2011 1200     7711.37 
 1                1                159930.*         01FEB2011 0000     7650.41 
 1                1                159930.*         01FEB2011 1200     7605.55 
 1                1                159930.*         02FEB2011 0000     7570.21 
 1                1                159930.*         02FEB2011 1200     7536.54 
 1                1                159930.*         03FEB2011 0000     7508.61 
 1                1                159930.*         03FEB2011 1200     7469.02 
 1                1                159930.*         04FEB2011 0000     7429.18 
 1                1                159930.*         04FEB2011 1200     7442.82 
 1                1                159930.*         05FEB2011 0000     7482.98 
 1                1                159930.*         05FEB2011 1200     7507.48 
 1                1                159930.*         06FEB2011 0000     7530.71 
 1                1                159930.*         06FEB2011 1200     7545.99 
 1                1                159930.*         07FEB2011 0000     7565.53 
 1                1                159930.*         07FEB2011 1200     7654.82 
 1                1                159930.*         08FEB2011 0000     7770.75 
 1                1                159930.*         08FEB2011 1200     7839.92 
 1                1                159930.*         09FEB2011 0000     7881.88 
 1                1                159930.*         09FEB2011 1200     7903.92 
 1                1                159930.*         10FEB2011 0000     7917.41 
 1                1                159930.*         10FEB2011 1200     7975.59 
 1                1                159930.*         11FEB2011 0000     8058.03 
 1                1                159930.*         11FEB2011 1200     8135.59 
 1                1                159930.*         12FEB2011 0000     8229.54 
 1                1                159930.*         12FEB2011 1200     8372.64 
 1                1                159930.*         13FEB2011 0000     8556.45 
 1                1                159930.*         13FEB2011 1200     8734.61 
 1                1                159930.*         14FEB2011 0000     8908.74 
 1                1                159930.*         14FEB2011 1200     9103.38 
 1                1                159930.*         15FEB2011 0000     9302.04 
 1                1                159930.*         15FEB2011 1200     9473.04 
 1                1                159930.*         16FEB2011 0000     9615.47 
 1                1                159930.*         16FEB2011 1200     9728.61 
 1                1                159930.*         17FEB2011 0000     9811.77 
 1                1                159930.*         17FEB2011 1200     9866.27 
 1                1                159930.*         18FEB2011 0000     9884.11 
 1                1                159930.*         18FEB2011 1200     9868.12 
 1                1                159930.*         19FEB2011 0000     9826.12 
 1                1                159930.*         19FEB2011 1200     9746.69 
 1                1                159930.*         20FEB2011 0000     9643.35 
 1                1                159930.*         20FEB2011 1200     9538.48 
 1                1                159930.*         21FEB2011 0000     9431.77 
 1                1                159930.*         21FEB2011 1200     9341.43 
 1                1                159930.*         22FEB2011 0000     9257.91 
 1                1                159930.*         22FEB2011 1200     9168.64 
 1                1                159930.*         23FEB2011 0000     9069.74 
 1                1                159930.*         23FEB2011 1200     8941.19 
 1                1                159930.*         24FEB2011 0000     8793.32 
 1                1                159930.*         24FEB2011 1200     8645.57 
 1                1                159930.*         25FEB2011 0000     8505.12 
 1                1                159930.*         25FEB2011 1200     8403.54 
 1                1                159930.*         26FEB2011 0000     8346.51 
 1                1                159930.*         26FEB2011 1200     8309.73 
 1                1                159930.*         27FEB2011 0000     8317.00 
 1                1                159930.*         27FEB2011 1200     8373.03 
 1                1                159930.*         28FEB2011 0000     8491.64 
 1                1                159930.*         28FEB2011 1200     8761.19 
 1                1                159930.*         01MAR2011 0000     9139.74 
 1                1                159930.*         01MAR2011 1200     9529.03 
 1                1                159930.*         02MAR2011 0000     9954.09 
 1                1                159930.*         02MAR2011 1200    10440.61 
 1                1                159930.*         03MAR2011 0000    10968.80 
 1                1                159930.*         03MAR2011 1200    11543.92 
 1                1                159930.*         04MAR2011 0000    12156.42 
 1                1                159930.*         04MAR2011 1200    12778.69 
 1                1                159930.*         05MAR2011 0000    13400.54 
 1                1                159930.*         05MAR2011 1200    14038.10 
 1                1                159930.*         06MAR2011 0000    14706.83 
 1                1                159930.*         06MAR2011 1200    15406.92 
 1                1                159930.*         07MAR2011 0000    16095.28 
 1                1                159930.*         07MAR2011 1200    16724.08 
 1                1                159930.*         08MAR2011 0000    17282.74 
 1                1                159930.*         08MAR2011 1200    17783.58 
 1                1                159930.*         09MAR2011 0000    18273.05 
 1                1                159930.*         09MAR2011 1200    18798.86 
 1                1                159930.*         10MAR2011 0000    19373.92 
 1                1                159930.*         10MAR2011 1200    19974.94 
 1                1                159930.*         11MAR2011 0000    20552.59 
 1                1                159930.*         11MAR2011 1200    21089.43 
 1                1                159930.*         12MAR2011 0000    21569.74 
 1                1                159930.*         12MAR2011 1200    21980.85 
 1                1                159930.*         13MAR2011 0000    22331.57 
 1                1                159930.*         13MAR2011 1200    22636.09 
 1                1                159930.*         14MAR2011 0000    22912.40 
 1                1                159930.*         14MAR2011 1200    23172.78 
 1                1                159930.*         15MAR2011 0000    23385.83 
 1                1                159930.*         15MAR2011 1200    23539.50 
 1                1                159930.*         16MAR2011 0000    23676.23 
 1                1                159930.*         16MAR2011 1200    23818.08 
 1                1                159930.*         17MAR2011 0000    23969.09 
 1                1                159930.*         17MAR2011 1200    24123.50 
 1                1                159930.*         18MAR2011 0000    24244.54 
 1                1                159930.*         18MAR2011 1200    24329.78 
 1                1                159930.*         19MAR2011 0000    24423.79 
 1                1                159930.*         19MAR2011 1200    24540.74 
 1                1                159930.*         20MAR2011 0000    24669.80 
 1                1                159930.*         20MAR2011 1200    24805.14 
 1                1                159930.*         21MAR2011 0000    24950.74 
 1                1                159930.*         21MAR2011 1200    25107.39 
 1                1                159930.*         22MAR2011 0000    25239.32 
 1                1                159930.*         22MAR2011 1200    25333.61 
 1                1                159930.*         23MAR2011 0000    25425.30 
 1                1                159930.*         23MAR2011 1200    25534.23 
 1                1                159930.*         24MAR2011 0000    25655.72 
 1                1                159930.*         24MAR2011 1200    25779.06 
 1                1                159930.*         25MAR2011 0000    25905.52 
 1                1                159930.*         25MAR2011 1200    26038.36 
 1                1                159930.*         26MAR2011 0000    26176.43 
 1                1                159930.*         26MAR2011 1200    26317.87 
 1                1                159930.*         27MAR2011 0000    26452.31 
 1                1                159930.*         27MAR2011 1200    26577.35 
 1                1                159930.*         28MAR2011 0000    26706.40 
 1                1                159930.*         28MAR2011 1200    26839.92 
 1                1                159930.*         29MAR2011 0000    26927.72 
 1                1                159930.*         29MAR2011 1200    26986.86 
 1                1                159930.*         30MAR2011 0000    27059.81 
 1                1                159930.*         30MAR2011 1200    27115.48 
 1                1                159930.*         31MAR2011 0000    27165.79 
 1                1                159930.*         31MAR2011 1200    27257.01 
 1                1                159930.*         01APR2011 0000    27375.40 
 1                1                159930.*         01APR2011 1200    27484.64 
 1                1                159930.*         02APR2011 0000    27585.95 
 1                1                159930.*         02APR2011 1200    27679.45 
 1                1                159930.*         03APR2011 0000    27777.97 
 1                1                159930.*         03APR2011 1200    27889.47 
