Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 02   River: 1   Reach: 1 - Error Loading Profile Table. Too many rows for this table, reduce the number of reaches or profiles requested.
                                                                   
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 119 
# Plans             = 1 
# Profiles          = 731 

 Reach            River Sta        Profile            Q Total 
                                                       (m3/s) 
                                                                   
 1                516330           01JAN2011 0000     7900.40 
 1                516330           01JAN2011 1200     8041.98 
 1                516330           02JAN2011 0000     8183.57 
 1                516330           02JAN2011 1200     8056.14 
 1                516330           03JAN2011 0000     7928.71 
 1                516330           03JAN2011 1200     7857.92 
 1                516330           04JAN2011 0000     7787.13 
 1                516330           04JAN2011 1200     7730.50 
 1                516330           05JAN2011 0000     7673.86 
 1                516330           05JAN2011 1200     7603.07 
 1                516330           06JAN2011 0000     7532.28 
 1                516330           06JAN2011 1200     7461.49 
 1                516330           07JAN2011 0000     7390.69 
 1                516330           07JAN2011 1200     7334.06 
 1                516330           08JAN2011 0000     7277.43 
 1                516330           08JAN2011 1200     7334.06 
 1                516330           09JAN2011 0000     7390.69 
 1                516330           09JAN2011 1200     7532.28 
 1                516330           10JAN2011 0000     7673.86 
 1                516330           10JAN2011 1200     7957.03 
 1                516330           11JAN2011 0000     8240.20 
 1                516330           11JAN2011 1200     8594.16 
 1                516330           12JAN2011 0000     8948.12 
 1                516330           12JAN2011 1200     9231.29 
 1                516330           13JAN2011 0000     9514.46 
 1                516330           13JAN2011 1200     9995.84 
 1                516330           14JAN2011 0000    10477.23 
 1                516330           14JAN2011 1200    10618.81 
 1                516330           15JAN2011 0000    10760.40 
 1                516330           15JAN2011 1200    10760.40 
 1                516330           16JAN2011 0000    10760.40 
 1                516330           16JAN2011 1200    10703.77 
 1                516330           17JAN2011 0000    10647.13 
 1                516330           17JAN2011 1200    10378.12 
 1                516330           18JAN2011 0000    10109.11 
 1                516330           18JAN2011 1200    10010.00 
 1                516330           19JAN2011 0000     9910.89 
 1                516330           19JAN2011 1200     9698.52 
 1                516330           20JAN2011 0000     9486.14 
 1                516330           20JAN2011 1200     9231.29 
 1                516330           21JAN2011 0000     8976.44 
 1                516330           21JAN2011 1200     8721.59 
 1                516330           22JAN2011 0000     8466.73 
 1                516330           22JAN2011 1200     8254.36 
 1                516330           23JAN2011 0000     8041.98 
 1                516330           23JAN2011 1200     7928.71 
 1                516330           24JAN2011 0000     7815.45 
 1                516330           24JAN2011 1200     7702.18 
 1                516330           25JAN2011 0000     7588.91 
 1                516330           25JAN2011 1200     7603.07 
 1                516330           26JAN2011 0000     7617.23 
 1                516330           26JAN2011 1200     7659.70 
 1                516330           27JAN2011 0000     7702.18 
 1                516330           27JAN2011 1200     7730.50 
 1                516330           28JAN2011 0000     7758.81 
 1                516330           28JAN2011 1200     7688.02 
 1                516330           29JAN2011 0000     7617.23 
 1                516330           29JAN2011 1200     7574.75 
 1                516330           30JAN2011 0000     7532.28 
 1                516330           30JAN2011 1200     7503.96 
 1                516330           31JAN2011 0000     7475.65 
 1                516330           31JAN2011 1200     7419.01 
 1                516330           01FEB2011 0000     7362.38 
 1                516330           01FEB2011 1200     7376.54 
 1                516330           02FEB2011 0000     7390.69 
 1                516330           02FEB2011 1200     7433.17 
 1                516330           03FEB2011 0000     7475.65 
 1                516330           03FEB2011 1200     7503.96 
 1                516330           04FEB2011 0000     7532.28 
 1                516330           04FEB2011 1200     7603.07 
 1                516330           05FEB2011 0000     7673.86 
 1                516330           05FEB2011 1200     7801.29 
 1                516330           06FEB2011 0000     7928.71 
 1                516330           06FEB2011 1200     8027.82 
 1                516330           07FEB2011 0000     8126.93 
 1                516330           07FEB2011 1200     8126.93 
 1                516330           08FEB2011 0000     8126.93 
 1                516330           08FEB2011 1200     8141.09 
 1                516330           09FEB2011 0000     8155.25 
 1                516330           09FEB2011 1200     8211.88 
 1                516330           10FEB2011 0000     8268.52 
 1                516330           10FEB2011 1200     8410.10 
 1                516330           11FEB2011 0000     8551.69 
 1                516330           11FEB2011 1200     9033.07 
 1                516330           12FEB2011 0000     9514.46 
 1                516330           12FEB2011 1200     9712.68 
 1                516330           13FEB2011 0000     9910.89 
 1                516330           13FEB2011 1200    10109.11 
 1                516330           14FEB2011 0000    10307.33 
 1                516330           14FEB2011 1200    10349.80 
 1                516330           15FEB2011 0000    10392.28 
 1                516330           15FEB2011 1200    10363.96 
 1                516330           16FEB2011 0000    10335.65 
 1                516330           16FEB2011 1200    10222.38 
 1                516330           17FEB2011 0000    10109.11 
 1                516330           17FEB2011 1200     9797.63 
 1                516330           18FEB2011 0000     9486.14 
 1                516330           18FEB2011 1200     9401.19 
 1                516330           19FEB2011 0000     9316.24 
 1                516330           19FEB2011 1200     9160.50 
 1                516330           20FEB2011 0000     9004.76 
 1                516330           20FEB2011 1200     8891.49 
 1                516330           21FEB2011 0000     8778.22 
 1                516330           21FEB2011 1200     8622.48 
 1                516330           22FEB2011 0000     8466.73 
 1                516330           22FEB2011 1200     8254.36 
 1                516330           23FEB2011 0000     8041.98 
 1                516330           23FEB2011 1200     7886.24 
 1                516330           24FEB2011 0000     7730.50 
 1                516330           24FEB2011 1200     7730.50 
 1                516330           25FEB2011 0000     7730.50 
 1                516330           25FEB2011 1200     8112.77 
 1                516330           26FEB2011 0000     8495.05 
 1                516330           26FEB2011 1200     8962.28 
 1                516330           27FEB2011 0000     9429.51 
 1                516330           27FEB2011 1200    10066.64 
 1                516330           28FEB2011 0000    10703.77 
