cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt - m,So,gages
FALSE,TRUE,0,19269180,19269466,31.00054,-91.63567,229.96434,0.084583454,0.04,0.08,383.2739,1149.8218,149,13.07,7.00E-05,
FALSE,FALSE,1,19269466,19269468,30.995188,-91.64857,229.96443,0.08458344,0.04,0.08,383.27405,1149.8221,2638,13.06,0.00019,
FALSE,FALSE,2,19269468,19085399,30.988024,-91.66013,229.96443,0.08458344,0.04,0.08,383.27408,1149.8221,153,12.56,0.00033,
FALSE,FALSE,3,19085399,19085403,30.975103,-91.66336,229.96458,0.08458342,0.04,0.08,383.27432,1149.8229,3006,12.51,1.00E-05,
FALSE,FALSE,4,19085403,19085409,30.935993,-91.6495,229.96507,0.084583335,0.04,0.08,383.27512,1149.8254,6007,12.51,1.00E-05,
FALSE,FALSE,5,19085409,19085411,30.917345,-91.616295,229.9654,0.08458328,0.04,0.08,383.27567,1149.827,1992,12.51,1.00E-05,
FALSE,FALSE,6,19085411,19085407,30.915415,-91.58616,229.96797,0.084582865,0.04,0.08,383.27994,1149.8398,3823,12.51,8.00E-05,
FALSE,FALSE,7,19085407,19085415,30.91716,-91.56462,229.96823,0.08458282,0.04,0.08,383.2804,1149.8412,368,12.21,1.00E-05,
FALSE,FALSE,8,19085415,19085427,30.915237,-91.55222,229.96834,0.084582806,0.04,0.08,383.28058,1149.8417,2083,12.21,4.00E-05,
FALSE,FALSE,9,19085427,938070168,30.905947,-91.53402,229.96957,0.084582604,0.04,0.08,383.28262,1149.8479,2050,12.12,5.00E-05,
FALSE,FALSE,10,938070168,938070169,30.89643,-91.52406,229.96971,0.08458258,0.04,0.08,383.28284,1149.8485,818,12.02,4.00E-05,
FALSE,FALSE,11,938070169,938070167,30.883133,-91.51868,229.96994,0.084582545,0.04,0.08,383.28323,1149.8497,2325,11.99,5.00E-05,
FALSE,FALSE,12,938070167,19085455,30.860008,-91.51727,229.9709,0.08458239,0.04,0.08,383.28482,1149.8545,2860,11.88,3.00E-05,
FALSE,FALSE,13,19085455,19085477,30.801857,-91.53575,229.97153,0.084582284,0.04,0.08,383.2859,1149.8577,10289,11.79,3.00E-05,
FALSE,FALSE,14,19085477,19088297,30.73611,-91.573494,229.97299,0.08458205,0.04,0.08,383.28833,1149.865,13086,11.53,0.00019,
FALSE,FALSE,15,19088297,19085467,30.743513,-91.50206,229.97304,0.084582046,0.04,0.08,383.2884,1149.8651,1668,9.07,1.00E-05,
FALSE,FALSE,16,19085467,19085465,30.743473,-91.475426,229.97401,0.08458188,0.04,0.08,383.29,1149.8701,3590,9.07,1.00E-05,
FALSE,FALSE,17,19085465,19085461,30.735767,-91.45051,229.97427,0.084581845,0.04,0.08,383.29047,1149.8713,1628,9.07,0.00017,
FALSE,FALSE,18,19085461,19088329,30.742691,-91.42712,229.97685,0.08458143,0.04,0.08,383.29474,1149.8843,3153,8.8,0.00016,
FALSE,FALSE,19,19088329,19085457,30.754604,-91.405426,229.97694,0.08458141,0.04,0.08,383.2949,1149.8846,1742,8.31,0.00015,
FALSE,FALSE,20,19085457,19085479,30.75778,-91.3954,229.97723,0.08458136,0.04,0.08,383.29538,1149.8862,330,8.04,0.00012,
FALSE,FALSE,21,19085479,19085559,30.736948,-91.35971,229.98973,0.08457933,0.04,0.08,383.31622,1149.9486,9058,8,0.00016,
FALSE,FALSE,22,19085559,19085481,30.662725,-91.338486,229.99014,0.08457927,0.04,0.08,383.3169,1149.9507,7305,6.59,0.00016,
FALSE,FALSE,23,19085481,19085485,30.651127,-91.30384,230.0132,0.08457553,0.04,0.08,383.35532,1150.066,442,5.41,2.00E-05,
FALSE,FALSE,24,19085485,19085497,30.631887,-91.29339,230.01352,0.084575474,0.04,0.08,383.35587,1150.0676,4607,5.4,2.00E-05,
FALSE,FALSE,25,19085497,19085501,30.600718,-91.31214,230.01373,0.08457544,0.04,0.08,383.35623,1150.0686,3439,5.32,2.00E-05,
FALSE,FALSE,26,19085501,19088315,30.571934,-91.29883,230.01387,0.084575415,0.04,0.08,383.35648,1150.0693,5094,5.24,3.00E-05,
FALSE,FALSE,27,19088315,19085515,30.57179,-91.26849,230.01414,0.08457537,0.04,0.08,383.3569,1150.0707,917,5.08,2.00E-05,
FALSE,FALSE,28,19085515,19085519,30.536083,-91.244064,230.01546,0.08457516,0.04,0.08,383.3591,1150.0773,10111,5.06,1.00E-05,
FALSE,FALSE,29,19085519,19085513,30.504032,-91.26707,230.01599,0.08457507,0.04,0.08,383.36,1150.08,4247,5.01,1.00E-05,
FALSE,FALSE,30,19085513,19085505,30.515007,-91.23225,230.01605,0.084575064,0.04,0.08,383.36008,1150.0802,2945,5.01,1.00E-05,
FALSE,FALSE,31,19085505,938070166,30.520573,-91.216415,230.0161,0.08457506,0.04,0.08,383.36017,1150.0806,357,5.01,1.00E-05,
FALSE,FALSE,32,938070166,938070165,30.522123,-91.21195,230.01852,0.08457466,0.04,0.08,383.3642,1150.0925,564,5.01,1.00E-05,
FALSE,FALSE,33,938070165,19086925,30.514172,-91.199104,230.01897,0.084574595,0.04,0.08,383.36493,1150.0948,3028,5.01,1.00E-05,
FALSE,FALSE,34,19086925,19088319,30.499264,-91.197075,230.01897,0.084574595,0.04,0.08,383.36493,1150.0948,226,4.97,1.00E-05,
FALSE,FALSE,35,19088319,19086929,30.462051,-91.19692,230.02011,0.08457441,0.04,0.08,383.36685,1150.1006,8048,4.97,7.00E-05,7374000
FALSE,FALSE,36,19086929,19086933,30.386564,-91.22333,230.02048,0.08457434,0.04,0.08,383.36746,1150.1024,10250,4.43,3.00E-05,
FALSE,FALSE,37,19086933,19086935,30.341484,-91.23402,230.02052,0.08457434,0.04,0.08,383.36755,1150.1027,1180,4.09,5.00E-05,
FALSE,FALSE,38,19086935,19086939,30.34696,-91.18173,230.02089,0.08457428,0.04,0.08,383.36816,1150.1045,9560,4.03,3.00E-05,
FALSE,FALSE,39,19086939,19086947,30.3151,-91.16149,230.02107,0.084574245,0.04,0.08,383.36847,1150.1053,5111,3.75,3.00E-05,
FALSE,FALSE,40,19086947,19086949,30.294182,-91.23005,230.02177,0.08457413,0.04,0.08,383.36963,1150.1089,11605,3.58,1.00E-05,
FALSE,FALSE,41,19086949,19088289,30.2587,-91.11234,230.0223,0.08457405,0.04,0.08,383.37048,1150.1115,14098,3.58,1.00E-05,
FALSE,FALSE,42,19088289,19086953,30.213427,-91.15611,230.0223,0.08457405,0.04,0.08,383.3705,1150.1115,8,3.58,1.00E-05,
FALSE,FALSE,43,19086953,25732008,30.19891,-91.1654,230.0224,0.08457404,0.04,0.08,383.37067,1150.1119,3807,3.58,1.00E-05,
FALSE,FALSE,44,25732008,19086167,30.212181,-91.07141,230.02315,0.08457392,0.04,0.08,383.3719,1150.1157,19709,3.58,1.00E-05,
FALSE,FALSE,45,19086167,25732010,30.151276,-90.99944,230.0232,0.0845739,0.04,0.08,383.37198,1150.116,1458,3.58,1.00E-05,
FALSE,FALSE,46,25732010,25732012,30.134315,-91.013214,230.02332,0.08457389,0.04,0.08,383.3722,1150.1166,3433,3.58,1.00E-05,
FALSE,FALSE,47,25732012,25732014,30.123922,-91.03007,230.02336,0.08457388,0.04,0.08,383.37228,1150.1168,672,3.58,1.00E-05,
FALSE,FALSE,48,25732014,19086169,30.1143,-91.017296,230.0235,0.08457386,0.04,0.08,383.3725,1150.1176,3385,3.58,1.00E-05,
FALSE,FALSE,49,19086169,19086175,30.114103,-90.999084,230.02351,0.08457386,0.04,0.08,383.3725,1150.1176,195,3.58,1.00E-05,
FALSE,FALSE,50,19086175,19086171,30.108847,-90.972786,230.02368,0.08457383,0.04,0.08,383.3728,1150.1184,5047,3.58,1.00E-05,
FALSE,FALSE,51,19086171,19086177,30.135998,-90.93991,230.02385,0.0845738,0.04,0.08,383.37308,1150.1193,6098,3.58,1.00E-05,
FALSE,FALSE,52,19086177,19086181,30.094728,-90.91179,230.024,0.084573776,0.04,0.08,383.37332,1150.12,6071,3.58,1.00E-05,
FALSE,FALSE,53,19086181,19086193,30.063501,-90.87185,230.02417,0.084573746,0.04,0.08,383.3736,1150.1208,6136,3.58,1.00E-05,
FALSE,FALSE,54,19086193,19088125,30.027403,-90.836235,230.02432,0.08457372,0.04,0.08,383.37387,1150.1216,6101,3.58,1.00E-05,
FALSE,FALSE,55,19088125,19088123,29.989168,-90.82834,230.0244,0.08457371,0.04,0.08,383.374,1150.122,2484,3.58,1.00E-05,
FALSE,FALSE,56,19088123,19086191,29.989336,-90.80755,230.0245,0.08457369,0.04,0.08,383.37418,1150.1226,3348,3.58,1.00E-05,
FALSE,FALSE,57,19086191,19086189,30.008991,-90.78422,230.0246,0.08457368,0.04,0.08,383.37433,1150.1229,2848,3.58,1.00E-05,
FALSE,FALSE,58,19086189,19086187,30.014553,-90.739784,230.02481,0.08457364,0.04,0.08,383.37466,1150.124,6104,3.58,1.00E-05,
FALSE,FALSE,59,19086187,19086185,30.038595,-90.68529,230.02496,0.08457362,0.04,0.08,383.37494,1150.1249,6151,3.58,1.00E-05,
FALSE,FALSE,60,19086185,19086183,30.037745,-90.63129,230.02519,0.08457358,0.04,0.08,383.37534,1150.126,6109,3.58,1.00E-05,
