xs_id,feature_id,link,from,to,lon,lat,alt,order,Qi,MusK,MusX,Length,n,So,ChSlp,BtmWdth,NHDWaterbodyComID,time,gages,Kchan,ascendingIndex,nCC,TopWdthCC,TopWdth
0,19088319,19088319,0,19086929,-91.1969223022461,30.462051391601562,4.96999979019165,10,0.0,3600.0,0.20000000298023224,8048.0,0.03999999910593033,7.000000186963007e-05,0.08457440882921219,230.02011108398438,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b'0' b'7' b'3' b'7' b'4' b'0' b'0'
 b'0']",0,608188,0.07999999821186066,1150.1005859375,383.3668518066406
1,19086929,19086929,0,19086933,-91.22332763671875,30.386564254760742,4.429999828338623,10,0.0,3600.0,0.20000000298023224,10250.0,0.03999999910593033,2.9999999242136255e-05,0.08457434177398682,230.02047729492188,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,655217,0.07999999821186066,1150.1024169921875,383.3674621582031
2,19086933,19086933,0,19086935,-91.23401641845703,30.34148406982422,4.090000152587891,10,0.0,3600.0,0.20000000298023224,1180.0,0.03999999910593033,4.999999873689376e-05,0.08457434177398682,230.02052307128906,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585005,0.07999999821186066,1150.1026611328125,383.3675537109375
3,19086935,19086935,0,19086939,-91.18173217773438,30.346960067749023,4.03000020980835,10,0.0,3600.0,0.20000000298023224,9560.0,0.03999999910593033,2.9999999242136255e-05,0.08457428216934204,230.02088928222656,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,683157,0.07999999821186066,1150.1044921875,383.3681640625
4,19086939,19086939,0,19086947,-91.16149139404297,30.315099716186523,3.75,10,0.0,3600.0,0.20000000298023224,5111.0,0.03999999910593033,2.9999999242136255e-05,0.08457424491643906,230.0210723876953,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539956,0.07999999821186066,1150.1053466796875,383.36846923828125
5,19086947,19086947,0,19086949,-91.23004913330078,30.29418182373047,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,11605.0,0.03999999910593033,9.999999747378752e-06,0.0845741331577301,230.0217742919922,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,680585,0.07999999821186066,1150.10888671875,383.36962890625
6,19086949,19086949,0,19088289,-91.11234283447266,30.258699417114258,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,14098.0,0.03999999910593033,9.999999747378752e-06,0.08457405120134354,230.0222930908203,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,585007,0.07999999821186066,1150.1114501953125,383.3704833984375
7,19088289,19088289,0,19086953,-91.15611267089844,30.21342658996582,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,8.0,0.03999999910593033,9.999999747378752e-06,0.08457405120134354,230.0222930908203,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,684300,0.07999999821186066,1150.1114501953125,383.3705139160156
8,19086953,19086953,0,25732008,-91.16539764404297,30.198909759521484,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,3807.0,0.03999999910593033,9.999999747378752e-06,0.08457403630018234,230.02239990234375,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,539961,0.07999999821186066,1150.1119384765625,383.37066650390625
9,25732008,25732008,0,19086167,-91.0714111328125,30.212181091308594,3.5799999237060547,10,0.0,3600.0,0.20000000298023224,19709.0,0.03999999910593033,9.999999747378752e-06,0.08457391709089279,230.0231475830078,-9999,0.0,"[b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' ' b' '
 b' ']",0,685356,0.07999999821186066,1150.11572265625,383.37188720703125
