cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
false,true,"0","2507307","2507315",39.009697,-90.979454,20.668797,0.24485464,0.05,0.1,34.447994,103.34398,323,140.23,0.00012,
false,false,"1","2507315","2507373",39.014946,-90.96421,20.687332,0.24475783,0.05,0.1,34.478886,103.43666,3115,140.19,1e-05,"5514500"
false,false,"2","2507373","2507319",39.01455,-90.94505,20.69954,0.24469414,0.05,0.1,34.499233,103.497696,1897,140.19,1e-05,
false,false,"3","2507319","2507383",39.005226,-90.946754,20.70212,0.24468069,0.05,0.1,34.503532,103.5106,106,140.19,0.00226,
false,false,"4","2507383","2510979",39.00254,-90.949135,20.706503,0.24465783,0.05,0.1,34.510838,103.53252,670,139.95,0.00022,
false,false,"5","2510979","2510991",38.9923,-90.9491,20.710152,0.24463882,0.05,0.1,34.51692,103.55076,2045,139.8,0.00057,
false,false,"6","2510991","2510993",38.979847,-90.94082,20.976568,0.24326316,0.05,0.1,34.960945,104.88284,2410,138.63,0.00058,
false,false,"7","2510993","2511011",38.97951,-90.933624,20.982533,0.24323264,0.05,0.1,34.97089,104.91267,528,137.24,0.00028,
false,false,"8","2511011","2511015",38.97379,-90.92847,21.032717,0.24297643,0.05,0.1,35.054527,105.16359,3143,137.09,0.00066,
false,false,"9","2511015","2511021",38.9654,-90.92618,21.067017,0.24280183,0.05,0.1,35.111694,105.33508,515,135.01,0.0008,
false,false,"10","2511021","2511031",38.96358,-90.91854,21.072014,0.24277642,0.05,0.1,35.12002,105.36006,902,134.6,1e-05,
false,false,"11","2511031","2511045",38.95895,-90.914894,21.098679,0.242641,0.05,0.1,35.164463,105.49339,988,134.6,0.00033,
false,false,"12","2511045","2511067",38.94482,-90.90661,21.119787,0.24253398,0.05,0.1,35.199646,105.59893,2987,134.27,1e-05,
false,false,"13","2511067","2511069",38.936745,-90.885735,21.128183,0.24249147,0.05,0.1,35.21364,105.640915,1598,134.27,0.00021,
false,false,"14","2511069","2511091",38.93353,-90.87398,21.27022,0.24177572,0.05,0.1,35.450367,106.3511,650,133.94,5e-05,
false,false,"15","2511091","2511113",38.93087,-90.86665,21.309248,0.24158028,0.05,0.1,35.51541,106.546234,2252,133.91,1e-05,
false,false,"16","2511113","2511115",38.922096,-90.85446,21.31294,0.2415618,0.05,0.1,35.52157,106.5647,1490,133.91,1e-05,
false,false,"17","2511115","2511141",38.914043,-90.84411,21.361435,0.24131972,0.05,0.1,35.602394,106.807175,1061,133.91,1e-05,
false,false,"18","2511141","2511165",38.9095,-90.84417,21.380615,0.24122418,0.05,0.1,35.634357,106.903076,1416,133.91,1e-05,
false,false,"19","2511165","2511177",38.89914,-90.83406,21.388575,0.24118458,0.05,0.1,35.647625,106.94287,1649,133.91,1e-05,
false,false,"20","2511177","2511225",38.892265,-90.834755,21.395508,0.2411501,0.05,0.1,35.65918,106.97754,1522,133.91,0.00018,
false,false,"21","2511225","2511239",38.88596,-90.829025,21.407608,0.24108994,0.05,0.1,35.679348,107.03805,2614,133.63,1e-05,
false,false,"22","2511239","2511241",38.877254,-90.82463,22.57672,0.23550013,0.05,0.1,37.627865,112.88359,479,133.63,1e-05,
false,false,"23","2511241","2511233",38.877827,-90.81534,22.590052,0.2354388,0.05,0.1,37.650085,112.95026,1414,133.63,1e-05,
false,false,"24","2511233","2511167",38.88546,-90.81027,22.613993,0.2353288,0.05,0.1,37.689987,113.06996,2230,133.63,1e-05,
false,false,"25","2511167","2511145",38.90164,-90.80592,22.623974,0.23528299,0.05,0.1,37.706623,113.119865,1540,133.63,1e-05,
false,false,"26","2511145","2511129",38.906597,-90.79872,22.668058,0.23508102,0.05,0.1,37.780098,113.340294,983,133.63,0.00099,
false,false,"27","2511129","2511119",38.909927,-90.80379,22.672558,0.23506042,0.05,0.1,37.787598,113.36279,250,132.66,0.0012,
false,false,"28","2511119","2511101",38.91769,-90.792015,22.686386,0.2349972,0.05,0.1,37.810642,113.43193,2624,132.36,2e-05,
false,false,"29","2511101","2511103",38.92256,-90.777985,22.70548,0.23491,0.05,0.1,37.84247,113.5274,293,132.32,1e-05,
false,false,"30","2511103","2511407",38.920788,-90.76307,22.739876,0.23475318,0.05,0.1,37.899796,113.69938,2433,132.32,0.00039,
false,false,"31","2511407","2511137",38.93056,-90.741455,22.75193,0.2346983,0.05,0.1,37.919884,113.75965,2221,131.38,0.00105,
false,false,"32","2511137","2511121",38.91411,-90.72333,22.784573,0.2345499,0.05,0.1,37.97429,113.92287,7439,129.04,1e-05,
false,false,"33","2511121","2511445",38.919632,-90.700584,22.876696,0.23413272,0.05,0.1,38.127827,114.38348,7735,129.04,5e-05,
false,false,"34","2511445","2515899",38.931694,-90.697655,22.876743,0.23413251,0.05,0.1,38.127903,114.38371,128,128.62,8e-05,
false,false,"35","2515899","2511463",38.93377,-90.69433,22.881332,0.23411179,0.05,0.1,38.135555,114.40666,617,128.61,1e-05,
false,false,"36","2511463","2515907",38.93422,-90.68916,22.923975,0.23391956,0.05,0.1,38.206627,114.61988,307,128.61,1e-05,
false,false,"37","2515907","880588",38.934055,-90.687004,22.923996,0.23391947,0.05,0.1,38.206657,114.61997,67,128.61,1e-05,
false,false,"38","880588","880600",38.921677,-90.68044,23.325314,0.23213528,0.05,0.1,38.875523,116.62657,2850,128.61,1e-05,
false,false,"39","880600","882726",38.911343,-90.66244,23.334406,0.23209538,0.05,0.1,38.890675,116.67203,1218,128.61,1e-05,
false,false,"40","882726","880808",38.90797,-90.656624,23.334406,0.23209538,0.05,0.1,38.890675,116.67203,37,128.61,1e-05,
false,false,"41","880808","880758",38.906307,-90.65586,23.337334,0.23208253,0.05,0.1,38.895557,116.68667,374,128.61,1e-05,
