cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,TRUE,0,5017066,5017084,40.014977,-91.62587,16.405798,0.2711229,0.055,0.11,27.342995,82.028984,3337,158.3,0.00013,5497150
FALSE,FALSE,1,5017084,5018702,40.002174,-91.6138,16.41606,0.27104813,0.055,0.11,27.360098,82.0803,952,157.88,0.00129,
FALSE,FALSE,2,5018702,5017082,39.997177,-91.6144,16.422304,0.27100265,0.055,0.11,27.370506,82.11152,1008,156.65,1.00E-05,
FALSE,FALSE,3,5017082,5018706,40.00406,-91.6036,16.436161,0.27090183,0.055,0.11,27.393602,82.1808,1477,156.65,0.0008,
FALSE,FALSE,4,5018706,5018718,39.99222,-91.61238,16.442678,0.27085444,0.055,0.11,27.404463,82.21339,2641,155.47,0.00125,
FALSE,FALSE,5,5018718,5018744,39.982384,-91.59132,16.479313,0.27058864,0.055,0.11,27.46552,82.39656,4029,152.17,0.00047,
FALSE,FALSE,6,5018744,5018754,39.959476,-91.566795,20.461458,0.24594618,0.05,0.1,34.10243,102.30729,5515,150.29,0.00029,
FALSE,FALSE,7,5018754,5018760,39.942898,-91.55532,20.494274,0.24577236,0.05,0.1,34.157124,102.47137,1316,148.69,1.00E-05,
FALSE,FALSE,8,5018760,5018762,39.94043,-91.54279,20.500711,0.24573831,0.05,0.1,34.167854,102.503555,983,148.69,1.00E-05,
FALSE,FALSE,9,5018762,5018776,39.939507,-91.53229,20.50839,0.2456977,0.05,0.1,34.180653,102.541954,1041,148.69,0.0011,
FALSE,FALSE,10,5018776,5018810,39.930695,-91.52217,20.550446,0.24547575,0.05,0.1,34.250744,102.75223,2925,147.55,0.00132,
FALSE,FALSE,11,5018810,4989603,39.90655,-91.51455,20.562685,0.24541129,0.05,0.1,34.27114,102.81342,2550,143.68,0.00017,
FALSE,FALSE,12,4989603,4989861,39.899513,-91.50283,24.50801,0.22712474,0.05,0.1,40.846684,122.540054,455,143.25,4.00E-05,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
