cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
false,true,"0","2925489","2925495",39.81676,-91.54689,14.876188,0.2830862,0.05,0.1,24.793648,74.38094,30,146.28,1e-05,
false,false,"1","2925495","2927219",39.82044,-91.53011,14.916619,0.28274745,0.05,0.1,24.861032,74.5831,3200,146.28,1e-05,"5501000"
false,false,"2","2927219","2925441",39.82027,-91.50697,14.967067,0.2823266,0.05,0.1,24.945112,74.835335,1352,146.28,0.00042,
false,false,"3","2925441","2925435",39.82399,-91.496574,14.975942,0.28225276,0.05,0.1,24.959904,74.87971,596,145.71,0.0007,
false,false,"4","2925435","2925265",39.83159,-91.49439,14.996707,0.2820803,0.05,0.1,24.994513,74.983536,2495,145.29,6e-05,
false,false,"5","2925265","2925287",39.84308,-91.48884,15.092455,0.28128937,0.05,0.1,25.15409,75.46227,666,145.14,0.00032,
false,false,"6","2925287","2925225",39.84098,-91.4742,15.108665,0.28115618,0.05,0.1,25.181108,75.54333,2224,144.93,0.00069,
false,false,"7","2925225","2927795",39.84909,-91.45311,15.132268,0.28096262,0.05,0.1,25.220448,75.66134,4197,143.39,0.0002,
false,false,"8","2927795","2927419",39.85604,-91.44449,15.132282,0.2809625,0.05,0.1,25.22047,75.661415,62,142.56,1e-05,
false,false,"9","2927419","2927423",39.85603,-91.441444,15.259745,0.27992472,0.05,0.1,25.432909,76.29872,492,142.56,1e-05,
