cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
false,true,"0","4867481","4867475",39.611683,-91.40805,28.896345,0.21120536,0.05,0.1,48.160576,144.48172,195,151.98,1e-05,
false,false,"1","4867475","4867473",39.61312,-91.40252,28.90436,0.21117952,0.05,0.1,48.173935,144.5218,799,151.98,0.00466,
false,false,"2","4867473","4867491",39.61422,-91.38983,28.91038,0.21116012,0.05,0.1,48.183964,144.5519,1453,148.26,0.00116,"5508000"
false,false,"3","4867491","4867539",39.612167,-91.379585,28.91683,0.21113934,0.05,0.1,48.194717,144.58415,791,146.57,1e-05,
false,false,"4","4867539","4867543",39.601837,-91.37235,28.941164,0.211061,0.05,0.1,48.23527,144.70583,2180,146.57,0.00013,
false,false,"5","4867543","4867557",39.59184,-91.37397,28.954472,0.21101819,0.05,0.1,48.257454,144.77237,606,146.28,1e-05,
false,false,"6","4867557","4867563",39.5842,-91.36538,28.967764,0.21097547,0.05,0.1,48.279606,144.83882,2549,146.28,1e-05,
false,false,"7","4867563","4867565",39.58458,-91.34398,28.973757,0.21095622,0.05,0.1,48.289593,144.86879,1358,146.28,1e-05,
false,false,"8","4867565","4867587",39.577908,-91.33949,28.999159,0.21087468,0.05,0.1,48.331932,144.99579,577,146.28,1e-05,
false,false,"9","4867587","4867601",39.57004,-91.339806,29.003923,0.21085939,0.05,0.1,48.339874,145.01962,1266,146.28,1e-05,
false,false,"10","4867601","4867613",39.561184,-91.3399,29.006739,0.21085036,0.05,0.1,48.344563,145.03369,745,146.28,0.00028,
false,false,"11","4867613","4867611",39.554752,-91.336624,29.007082,0.21084926,0.05,0.1,48.34514,145.03542,901,146.07,1e-05,
false,false,"12","4867611","4867591",39.56665,-91.32722,29.853613,0.20819032,0.05,0.1,49.756023,149.26807,3411,146.07,1e-05,
false,false,"13","4867591","4867583",39.56441,-91.30324,29.860264,0.20816986,0.05,0.1,49.767105,149.30132,1981,146.07,0.00094,
false,false,"14","4867583","4867627",39.566013,-91.29171,29.874933,0.20812476,0.05,0.1,49.791553,149.37466,106,144.21,1e-05,
false,false,"15","4867627","4867659",39.556522,-91.28941,29.882433,0.2081017,0.05,0.1,49.804054,149.41217,2957,144.21,0.00097,
false,false,"16","4867659","4867671",39.545803,-91.27659,29.886986,0.20808773,0.05,0.1,49.81164,149.43494,691,141.34,1e-05,
false,false,"17","4867671","4867669",39.539803,-91.272385,29.897333,0.20805594,0.05,0.1,49.828888,149.48666,823,141.34,0.00018,
false,false,"18","4867669","4867607",39.544888,-91.25803,30.125477,0.20735934,0.05,0.1,50.209126,150.62738,2584,141.19,0.00043,
false,false,"19","4867607","4867595",39.55425,-91.23908,30.136642,0.20732544,0.05,0.1,50.227737,150.68321,1324,140.08,1e-05,
false,false,"20","4867595","4867635",39.55679,-91.22774,30.140572,0.20731352,0.05,0.1,50.234283,150.70285,814,140.08,1e-05,
false,false,"21","4867635","4867667",39.55262,-91.210335,30.147102,0.2072937,0.05,0.1,50.24517,150.7355,3239,140.08,1e-05,
false,false,"22","4867667","4867683",39.539326,-91.2042,30.152454,0.20727748,0.05,0.1,50.254093,150.76227,695,140.08,1e-05,
false,false,"23","4867683","4867707",39.529976,-91.20566,30.157774,0.20726134,0.05,0.1,50.262955,150.78886,1671,140.08,0.00133,
false,false,"24","4867707","4867715",39.522774,-91.2039,30.182497,0.20718642,0.05,0.1,50.30416,150.91249,2430,137.85,1e-05,
false,false,"25","4867715","4867703",39.51617,-91.19032,30.191416,0.20715943,0.05,0.1,50.319023,150.95708,1716,137.85,8e-05,
false,false,"26","4867703","4867705",39.520683,-91.179726,30.196995,0.20714253,0.05,0.1,50.328323,150.98497,1624,137.71,1e-05,
false,false,"27","4867705","4867739",39.51623,-91.17643,30.19741,0.20714128,0.05,0.1,50.329018,150.98706,921,137.71,1e-05,
false,false,"28","4867739","4869769",39.508926,-91.160545,30.2048,0.20711891,0.05,0.1,50.34133,151.024,3125,137.71,1e-05,
false,false,"29","4869769","4869767",39.499207,-91.1695,30.204924,0.20711854,0.05,0.1,50.341537,151.02461,242,137.68,1e-05,
false,false,"30","4869767","4867737",39.49878,-91.16553,30.268208,0.20692739,0.05,0.1,50.44701,151.34103,533,137.68,1e-05,
false,false,"31","4867737","4869775",39.500954,-91.15938,30.268602,0.2069262,0.05,0.1,50.44767,151.343,651,137.68,1e-05,
false,false,"32","4869775","4869773",39.49714,-91.15323,30.269129,0.2069246,0.05,0.1,50.448547,151.34564,859,137.68,1e-05,
false,false,"33","4869773","4867735",39.4955,-91.14767,30.27407,0.2069097,0.05,0.1,50.456783,151.37036,974,137.68,1e-05,
false,false,"34","4867735","4869763",39.50673,-91.14515,30.277243,0.20690015,0.05,0.1,50.46207,151.38622,2049,137.68,1e-05,
false,false,"35","4869763","4869861",39.498695,-91.13497,30.27775,0.20689861,0.05,0.1,50.462917,151.38875,674,137.68,1e-05,
false,false,"36","4869861","4869865",39.498394,-91.12814,30.278257,0.20689708,0.05,0.1,50.463764,151.3913,544,137.68,1e-05,
false,false,"37","4869865","4869867",39.498035,-91.12494,30.291046,0.20685853,0.05,0.1,50.485077,151.45523,19,137.68,1e-05,
false,false,"38","4869867","4869765",39.498016,-91.124466,30.291162,0.20685819,0.05,0.1,50.48527,151.45581,63,137.68,0.00206,
false,false,"39","4869765","4867731",39.497627,-91.11757,30.300436,0.20683026,0.05,0.1,50.500725,151.50218,1163,137.55,0.00046,
false,false,"40","4867731","4869783",39.502377,-91.10908,30.30089,0.20682889,0.05,0.1,50.501484,151.50446,754,137.02,1e-05,
false,false,"41","4869783","4869785",39.493248,-91.105644,30.30427,0.20681871,0.05,0.1,50.50712,151.52135,1547,137.02,1e-05,
false,false,"42","4869785","4869791",39.48459,-91.096924,30.305925,0.20681372,0.05,0.1,50.509876,151.52963,1039,137.02,0.00017,
