cycle_detected,is_initial,step,link,to,lat,lon,B,z,n,nCC,Tw,TwCC,Length,alt,So,gages
FALSE,TRUE,0,4989635,4989627,39.90432,-91.565895,17.870655,0.26108357,0.05,0.1,29.784426,89.35328,9087,152.39,0.00068,5500000
FALSE,FALSE,1,4989627,4989611,39.892048,-91.55356,17.916086,0.26079127,0.05,0.1,29.860144,89.58044,1507,146.19,0.00015,
FALSE,FALSE,2,4989611,4989601,39.900852,-91.54251,17.921919,0.26075384,0.05,0.1,29.869864,89.60959,1125,145.97,1.00E-05,
FALSE,FALSE,3,4989601,4989615,39.901875,-91.53289,17.963306,0.26048863,0.05,0.1,29.938843,89.81653,693,145.97,1.00E-05,
FALSE,FALSE,4,4989615,4989613,39.900352,-91.52254,17.985987,0.26034364,0.05,0.1,29.976643,89.92993,1808,145.97,0.0007,
FALSE,FALSE,5,4989613,4989603,39.898087,-91.509834,17.99627,0.26027802,0.05,0.1,29.993782,89.981346,797,144.7,0.00182,
FALSE,FALSE,6,4989603,4989861,39.899513,-91.50283,24.50801,0.22712474,0.05,0.1,40.846684,122.540054,455,143.25,4.00E-05,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
