Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	02Oct2025 2400	4.00	20.00
1	03Oct2025 0010	4.00	20.00
2	03Oct2025 0020	4.00	20.00
3	03Oct2025 0030	4.00	20.00
4	03Oct2025 0040	4.00	20.00
5	03Oct2025 0050	4.00	20.00
6	03Oct2025 0100	4.00	20.00
7	03Oct2025 0110	4.00	20.00
8	03Oct2025 0120	4.00	20.00
9	03Oct2025 0130	4.00	20.00
10	03Oct2025 0140	4.00	20.00
11	03Oct2025 0150	4.00	20.00
12	03Oct2025 0200	4.00	20.00
13	03Oct2025 0210	4.00	20.00
14	03Oct2025 0220	4.00	20.00
15	03Oct2025 0230	4.00	20.00
16	03Oct2025 0240	4.00	20.00
17	03Oct2025 0250	4.00	20.00
18	03Oct2025 0300	4.00	20.00
19	03Oct2025 0310	4.00	20.00
20	03Oct2025 0320	4.00	20.01
21	03Oct2025 0330	4.00	20.02
22	03Oct2025 0340	4.00	20.04
23	03Oct2025 0350	4.01	20.06
24	03Oct2025 0400	4.01	20.10
25	03Oct2025 0410	4.02	20.14
26	03Oct2025 0420	4.02	20.18
27	03Oct2025 0430	4.03	20.22
28	03Oct2025 0440	4.03	20.27
29	03Oct2025 0450	4.04	20.31
30	03Oct2025 0500	4.04	20.34
31	03Oct2025 0510	4.05	20.37
32	03Oct2025 0520	4.05	20.40
33	03Oct2025 0530	4.05	20.42
34	03Oct2025 0540	4.05	20.43
35	03Oct2025 0550	4.05	20.45
36	03Oct2025 0600	4.06	20.46
37	03Oct2025 0610	4.06	20.46
38	03Oct2025 0620	4.06	20.47
39	03Oct2025 0630	4.06	20.47
40	03Oct2025 0640	4.06	20.47
41	03Oct2025 0650	4.06	20.47
42	03Oct2025 0700	4.06	20.47
43	03Oct2025 0710	4.06	20.46
44	03Oct2025 0720	4.06	20.46
45	03Oct2025 0730	4.05	20.45
46	03Oct2025 0740	4.05	20.45
47	03Oct2025 0750	4.05	20.44
48	03Oct2025 0800	4.05	20.43
49	03Oct2025 0810	4.05	20.43
50	03Oct2025 0820	4.05	20.42
51	03Oct2025 0830	4.05	20.41
52	03Oct2025 0840	4.05	20.40
53	03Oct2025 0850	4.05	20.40
54	03Oct2025 0900	4.05	20.39
55	03Oct2025 0910	4.05	20.38
56	03Oct2025 0920	4.05	20.37
57	03Oct2025 0930	4.04	20.37
58	03Oct2025 0940	4.04	20.36
59	03Oct2025 0950	4.04	20.35
60	03Oct2025 1000	4.04	20.35
61	03Oct2025 1010	4.04	20.34
62	03Oct2025 1020	4.04	20.33
63	03Oct2025 1030	4.04	20.32
64	03Oct2025 1040	4.04	20.32
65	03Oct2025 1050	4.04	20.31
66	03Oct2025 1100	4.04	20.30
67	03Oct2025 1110	4.04	20.30
68	03Oct2025 1120	4.04	20.29
69	03Oct2025 1130	4.03	20.29
70	03Oct2025 1140	4.03	20.28
71	03Oct2025 1150	4.03	20.27
72	03Oct2025 1200	4.03	20.27
73	03Oct2025 1210	4.03	20.26
74	03Oct2025 1220	4.03	20.26
75	03Oct2025 1230	4.03	20.25
76	03Oct2025 1240	4.03	20.25
77	03Oct2025 1250	4.03	20.24
78	03Oct2025 1300	4.03	20.23
79	03Oct2025 1310	4.03	20.23
80	03Oct2025 1320	4.03	20.22
81	03Oct2025 1330	4.03	20.22
82	03Oct2025 1340	4.03	20.22
83	03Oct2025 1350	4.02	20.21
84	03Oct2025 1400	4.02	20.21
85	03Oct2025 1410	4.02	20.20
86	03Oct2025 1420	4.02	20.20
87	03Oct2025 1430	4.02	20.19
88	03Oct2025 1440	4.02	20.19
89	03Oct2025 1450	4.02	20.18
90	03Oct2025 1500	4.02	20.18
91	03Oct2025 1510	4.02	20.18
92	03Oct2025 1520	4.02	20.17
93	03Oct2025 1530	4.02	20.17
94	03Oct2025 1540	4.02	20.17
95	03Oct2025 1550	4.02	20.16
96	03Oct2025 1600	4.02	20.16
97	03Oct2025 1610	4.02	20.15
98	03Oct2025 1620	4.02	20.15
99	03Oct2025 1630	4.02	20.15
100	03Oct2025 1640	4.02	20.15
101	03Oct2025 1650	4.02	20.14
102	03Oct2025 1700	4.02	20.14
103	03Oct2025 1710	4.02	20.14
104	03Oct2025 1720	4.02	20.13
105	03Oct2025 1730	4.01	20.13
106	03Oct2025 1740	4.01	20.13
107	03Oct2025 1750	4.01	20.12
108	03Oct2025 1800	4.01	20.12
109	03Oct2025 1810	4.01	20.12
110	03Oct2025 1820	4.01	20.12
111	03Oct2025 1830	4.01	20.11
112	03Oct2025 1840	4.01	20.11
113	03Oct2025 1850	4.01	20.11
114	03Oct2025 1900	4.01	20.11
115	03Oct2025 1910	4.01	20.10
116	03Oct2025 1920	4.01	20.10
117	03Oct2025 1930	4.01	20.10
118	03Oct2025 1940	4.01	20.10
119	03Oct2025 1950	4.01	20.10
120	03Oct2025 2000	4.01	20.09
121	03Oct2025 2010	4.01	20.09
122	03Oct2025 2020	4.01	20.09
123	03Oct2025 2030	4.01	20.09
124	03Oct2025 2040	4.01	20.09
125	03Oct2025 2050	4.01	20.08
126	03Oct2025 2100	4.01	20.08
127	03Oct2025 2110	4.01	20.08
128	03Oct2025 2120	4.01	20.08
