Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.00       2.00       3.82 
 1                1                20000                20.83       2.00       3.83 
 1                1                20000                21.67       2.00       3.86 
 1                1                20000                22.50       2.00       3.88 
 1                1                20000                23.33       2.00       3.91 
 1                1                20000                24.17       2.00       3.94 
 1                1                20000                25.00       2.00       3.97 
 1                1                20000                24.17       2.00       3.97 
 1                1                20000                23.33       2.00       3.96 
 1                1                20000                22.50       2.00       3.95 
 1                1                20000                21.67       2.00       3.93 
 1                1                20000                20.83       2.00       3.91 
 1                1                20000                20.00       2.00       3.88 
 1                1                20000                20.00       2.00       3.87 
 1                1                20000                20.00       2.00       3.86 
 1                1                20000                20.00       2.00       3.86 
 1                1                20000                20.00       2.00       3.85 
 1                1                20000                20.00       2.00       3.85 
 1                1                20000                20.00       2.00       3.84 
 1                1                20000                20.00       2.00       3.84 
 1                1                20000                20.00       2.00       3.84 
 1                1                20000                20.00       2.00       3.84 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.83 
 1                1                20000                20.00       2.00       3.82 
