Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 3 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.000000   2.000098   3.817010 
 1                1                20000            20.833330   2.000098   3.834080 
 1                1                20000            21.666660   2.000098   3.856025 
 1                1                20000            22.499990   2.000098   3.881628 
 1                1                20000            23.333330   2.000098   3.909365 
 1                1                20000            24.166660   2.000098   3.939540 
 1                1                20000            24.999990   2.000098   3.970934 
 1                1                20000            24.166660   2.000098   3.970934 
 1                1                20000            23.333330   2.000098   3.963010 
 1                1                20000            22.499990   2.000098   3.948989 
 1                1                20000            21.666660   2.000098   3.930091 
 1                1                20000            20.833330   2.000098   3.907841 
 1                1                20000            20.000000   2.000098   3.882238 
 1                1                20000            20.000000   2.000098   3.871265 
 1                1                20000            20.000000   2.000098   3.862731 
 1                1                20000            20.000000   2.000098   3.856330 
 1                1                20000            20.000000   2.000098   3.851148 
 1                1                20000            20.000000   2.000098   3.846881 
 1                1                20000            20.000000   2.000098   3.843528 
 1                1                20000            20.000000   2.000098   3.840480 
 1                1                20000            20.000000   2.000098   3.838042 
 1                1                20000            20.000000   2.000098   3.835908 
 1                1                20000            20.000000   2.000098   3.834080 
 1                1                20000            20.000000   2.000098   3.832555 
 1                1                20000            20.000000   2.000098   3.831031 
 1                1                20000            20.000000   2.000098   3.829812 
 1                1                20000            20.000000   2.000098   3.828593 
