Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 09   River: 1   Reach: 1
                                                 
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 145 

 Reach            River Sta          Q Total 
                                      (m3/s) 
                                                 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.83 
 1                20000                21.67 
 1                20000                22.50 
 1                20000                23.33 
 1                20000                24.17 
 1                20000                25.00 
 1                20000                24.17 
 1                20000                23.33 
 1                20000                22.50 
 1                20000                21.67 
 1                20000                20.83 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
 1                20000                20.00 
                                             
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.01 
 1                0                    20.05 
 1                0                    20.13 
 1                0                    20.25 
 1                0                    20.40 
 1                0                    20.60 
 1                0                    20.80 
 1                0                    20.98 
 1                0                    21.12 
 1                0                    21.22 
 1                0                    21.27 
 1                0                    21.28 
 1                0                    21.26 
 1                0                    21.22 
 1                0                    21.18 
 1                0                    21.13 
 1                0                    21.08 
 1                0                    21.02 
 1                0                    20.97 
 1                0                    20.92 
 1                0                    20.86 
 1                0                    20.81 
 1                0                    20.76 
 1                0                    20.71 
 1                0                    20.67 
 1                0                    20.63 
 1                0                    20.59 
 1                0                    20.55 
 1                0                    20.51 
 1                0                    20.48 
 1                0                    20.45 
 1                0                    20.42 
 1                0                    20.39 
 1                0                    20.36 
 1                0                    20.34 
 1                0                    20.31 
 1                0                    20.29 
 1                0                    20.27 
 1                0                    20.26 
 1                0                    20.24 
 1                0                    20.22 
 1                0                    20.21 
 1                0                    20.19 
 1                0                    20.18 
 1                0                    20.17 
 1                0                    20.16 
 1                0                    20.14 
 1                0                    20.13 
 1                0                    20.13 
 1                0                    20.12 
 1                0                    20.11 
 1                0                    20.10 
 1                0                    20.09 
 1                0                    20.09 
 1                0                    20.08 
 1                0                    20.08 
 1                0                    20.07 
 1                0                    20.07 
 1                0                    20.06 
 1                0                    20.06 
 1                0                    20.05 
 1                0                    20.05 
 1                0                    20.05 
 1                0                    20.04 
 1                0                    20.04 
 1                0                    20.04 
 1                0                    20.03 
 1                0                    20.03 
 1                0                    20.03 
 1                0                    20.03 
 1                0                    20.03 
 1                0                    20.02 
 1                0                    20.02 
 1                0                    20.02 
 1                0                    20.02 
 1                0                    20.02 
 1                0                    20.02 
 1                0                    20.02 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.01 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
 1                0                    20.00 
                                                 
