Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	02Oct2025 2400	6.00	20.00
1	03Oct2025 0010	6.00	20.00
2	03Oct2025 0020	6.00	20.00
3	03Oct2025 0030	6.00	20.00
4	03Oct2025 0040	6.00	20.00
5	03Oct2025 0050	6.00	20.00
6	03Oct2025 0100	6.00	20.00
7	03Oct2025 0110	6.01	20.83
8	03Oct2025 0120	6.04	21.67
9	03Oct2025 0130	6.07	22.50
10	03Oct2025 0140	6.10	23.33
11	03Oct2025 0150	6.13	24.17
12	03Oct2025 0200	6.17	25.00
13	03Oct2025 0210	6.18	24.17
14	03Oct2025 0220	6.18	23.33
15	03Oct2025 0230	6.17	22.50
16	03Oct2025 0240	6.15	21.67
17	03Oct2025 0250	6.13	20.83
18	03Oct2025 0300	6.11	20.00
19	03Oct2025 0310	6.09	20.00
20	03Oct2025 0320	6.08	20.00
21	03Oct2025 0330	6.07	20.00
22	03Oct2025 0340	6.07	20.00
23	03Oct2025 0350	6.06	20.00
24	03Oct2025 0400	6.06	20.00
25	03Oct2025 0410	6.05	20.00
26	03Oct2025 0420	6.05	20.00
27	03Oct2025 0430	6.05	20.00
28	03Oct2025 0440	6.05	20.00
29	03Oct2025 0450	6.04	20.00
30	03Oct2025 0500	6.04	20.00
31	03Oct2025 0510	6.04	20.00
32	03Oct2025 0520	6.04	20.00
33	03Oct2025 0530	6.04	20.00
34	03Oct2025 0540	6.03	20.00
35	03Oct2025 0550	6.03	20.00
36	03Oct2025 0600	6.03	20.00
37	03Oct2025 0610	6.03	20.00
38	03Oct2025 0620	6.03	20.00
39	03Oct2025 0630	6.03	20.00
40	03Oct2025 0640	6.03	20.00
41	03Oct2025 0650	6.03	20.00
42	03Oct2025 0700	6.03	20.00
43	03Oct2025 0710	6.03	20.00
44	03Oct2025 0720	6.02	20.00
45	03Oct2025 0730	6.02	20.00
46	03Oct2025 0740	6.02	20.00
47	03Oct2025 0750	6.02	20.00
48	03Oct2025 0800	6.02	20.00
49	03Oct2025 0810	6.02	20.00
50	03Oct2025 0820	6.02	20.00
51	03Oct2025 0830	6.02	20.00
52	03Oct2025 0840	6.02	20.00
53	03Oct2025 0850	6.02	20.00
54	03Oct2025 0900	6.02	20.00
55	03Oct2025 0910	6.02	20.00
56	03Oct2025 0920	6.02	20.00
57	03Oct2025 0930	6.02	20.00
58	03Oct2025 0940	6.02	20.00
59	03Oct2025 0950	6.02	20.00
60	03Oct2025 1000	6.02	20.00
61	03Oct2025 1010	6.02	20.00
62	03Oct2025 1020	6.02	20.00
63	03Oct2025 1030	6.01	20.00
64	03Oct2025 1040	6.01	20.00
65	03Oct2025 1050	6.01	20.00
66	03Oct2025 1100	6.01	20.00
67	03Oct2025 1110	6.01	20.00
68	03Oct2025 1120	6.01	20.00
69	03Oct2025 1130	6.01	20.00
70	03Oct2025 1140	6.01	20.00
71	03Oct2025 1150	6.01	20.00
72	03Oct2025 1200	6.01	20.00
73	03Oct2025 1210	6.01	20.00
74	03Oct2025 1220	6.01	20.00
75	03Oct2025 1230	6.01	20.00
76	03Oct2025 1240	6.01	20.00
77	03Oct2025 1250	6.01	20.00
78	03Oct2025 1300	6.01	20.00
79	03Oct2025 1310	6.01	20.00
80	03Oct2025 1320	6.01	20.00
81	03Oct2025 1330	6.01	20.00
82	03Oct2025 1340	6.01	20.00
83	03Oct2025 1350	6.01	20.00
84	03Oct2025 1400	6.01	20.00
85	03Oct2025 1410	6.01	20.00
86	03Oct2025 1420	6.01	20.00
87	03Oct2025 1430	6.01	20.00
88	03Oct2025 1440	6.01	20.00
89	03Oct2025 1450	6.01	20.00
90	03Oct2025 1500	6.01	20.00
91	03Oct2025 1510	6.01	20.00
92	03Oct2025 1520	6.01	20.00
93	03Oct2025 1530	6.01	20.00
94	03Oct2025 1540	6.01	20.00
95	03Oct2025 1550	6.01	20.00
96	03Oct2025 1600	6.01	20.00
97	03Oct2025 1610	6.01	20.00
98	03Oct2025 1620	6.01	20.00
99	03Oct2025 1630	6.01	20.00
100	03Oct2025 1640	6.01	20.00
101	03Oct2025 1650	6.01	20.00
102	03Oct2025 1700	6.01	20.00
103	03Oct2025 1710	6.01	20.00
104	03Oct2025 1720	6.00	20.00
105	03Oct2025 1730	6.00	20.00
106	03Oct2025 1740	6.00	20.00
107	03Oct2025 1750	6.00	20.00
108	03Oct2025 1800	6.00	20.00
109	03Oct2025 1810	6.00	20.00
110	03Oct2025 1820	6.00	20.00
111	03Oct2025 1830	6.00	20.00
112	03Oct2025 1840	6.00	20.00
113	03Oct2025 1850	6.00	20.00
114	03Oct2025 1900	6.00	20.00
115	03Oct2025 1910	6.00	20.00
116	03Oct2025 1920	6.00	20.00
117	03Oct2025 1930	6.00	20.00
118	03Oct2025 1940	6.00	20.00
119	03Oct2025 1950	6.00	20.00
120	03Oct2025 2000	6.00	20.00
121	03Oct2025 2010	6.00	20.00
122	03Oct2025 2020	6.00	20.00
123	03Oct2025 2030	6.00	20.00
124	03Oct2025 2040	6.00	20.00
125	03Oct2025 2050	6.00	20.00
126	03Oct2025 2100	6.00	20.00
127	03Oct2025 2110	6.00	20.00
128	03Oct2025 2120	6.00	20.00
129	03Oct2025 2130	6.00	20.00
130	03Oct2025 2140	6.00	20.00
131	03Oct2025 2150	6.00	20.00
132	03Oct2025 2200	6.00	20.00
133	03Oct2025 2210	6.00	20.00
134	03Oct2025 2220	6.00	20.00
135	03Oct2025 2230	6.00	20.00
136	03Oct2025 2240	6.00	20.00
137	03Oct2025 2250	6.00	20.00
138	03Oct2025 2300	6.00	20.00
139	03Oct2025 2310	6.00	20.00
140	03Oct2025 2320	6.00	20.00
141	03Oct2025 2330	6.00	20.00
142	03Oct2025 2340	6.00	20.00
143	03Oct2025 2350	6.00	20.00
144	03Oct2025 2400	6.00	20.00
