Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	04Oct2025 2400	8.09	20.00
1	05Oct2025 0010	8.09	20.00
2	05Oct2025 0020	8.09	20.00
3	05Oct2025 0030	8.09	20.00
4	05Oct2025 0040	8.09	20.00
5	05Oct2025 0050	8.09	20.00
6	05Oct2025 0100	8.09	20.00
7	05Oct2025 0110	8.09	20.00
8	05Oct2025 0120	8.09	20.00
9	05Oct2025 0130	8.09	20.00
10	05Oct2025 0140	8.09	20.00
11	05Oct2025 0150	8.09	20.00
12	05Oct2025 0200	8.09	20.00
13	05Oct2025 0210	8.09	19.98
14	05Oct2025 0220	8.09	19.77
15	05Oct2025 0230	8.10	19.62
16	05Oct2025 0240	8.11	19.63
17	05Oct2025 0250	8.12	19.70
18	05Oct2025 0300	8.14	19.80
19	05Oct2025 0310	8.15	19.98
20	05Oct2025 0320	8.17	20.57
21	05Oct2025 0330	8.18	21.08
22	05Oct2025 0340	8.18	21.32
23	05Oct2025 0350	8.18	21.45
24	05Oct2025 0400	8.18	21.51
25	05Oct2025 0410	8.18	21.50
26	05Oct2025 0420	8.18	21.23
27	05Oct2025 0430	8.17	20.99
28	05Oct2025 0440	8.17	20.88
29	05Oct2025 0450	8.17	20.79
30	05Oct2025 0500	8.17	20.72
31	05Oct2025 0510	8.16	20.66
32	05Oct2025 0520	8.16	20.60
33	05Oct2025 0530	8.16	20.56
34	05Oct2025 0540	8.16	20.52
35	05Oct2025 0550	8.16	20.48
36	05Oct2025 0600	8.15	20.45
37	05Oct2025 0610	8.15	20.42
38	05Oct2025 0620	8.15	20.40
39	05Oct2025 0630	8.15	20.37
40	05Oct2025 0640	8.15	20.35
41	05Oct2025 0650	8.15	20.33
42	05Oct2025 0700	8.15	20.32
43	05Oct2025 0710	8.14	20.30
44	05Oct2025 0720	8.14	20.28
45	05Oct2025 0730	8.14	20.27
46	05Oct2025 0740	8.14	20.26
47	05Oct2025 0750	8.14	20.25
48	05Oct2025 0800	8.14	20.24
49	05Oct2025 0810	8.14	20.23
50	05Oct2025 0820	8.14	20.22
51	05Oct2025 0830	8.14	20.21
52	05Oct2025 0840	8.14	20.20
53	05Oct2025 0850	8.14	20.20
54	05Oct2025 0900	8.14	20.19
55	05Oct2025 0910	8.13	20.19
56	05Oct2025 0920	8.13	20.18
57	05Oct2025 0930	8.13	20.18
58	05Oct2025 0940	8.13	20.17
59	05Oct2025 0950	8.13	20.17
60	05Oct2025 1000	8.13	20.16
61	05Oct2025 1010	8.13	20.16
62	05Oct2025 1020	8.13	20.15
63	05Oct2025 1030	8.13	20.15
64	05Oct2025 1040	8.13	20.15
65	05Oct2025 1050	8.13	20.14
66	05Oct2025 1100	8.13	20.14
67	05Oct2025 1110	8.13	20.14
68	05Oct2025 1120	8.13	20.14
69	05Oct2025 1130	8.13	20.13
