Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	04Oct2025 2400	8.09	40.00
1	05Oct2025 0010	8.09	40.00
2	05Oct2025 0020	8.09	40.00
3	05Oct2025 0030	8.09	40.00
4	05Oct2025 0040	8.09	40.00
5	05Oct2025 0050	8.09	40.00
6	05Oct2025 0100	8.09	40.00
7	05Oct2025 0110	8.09	40.00
8	05Oct2025 0120	8.09	40.00
9	05Oct2025 0130	8.09	40.00
10	05Oct2025 0140	8.09	40.00
11	05Oct2025 0150	8.09	40.00
12	05Oct2025 0200	8.09	40.00
13	05Oct2025 0210	8.09	40.02
14	05Oct2025 0220	8.09	40.25
15	05Oct2025 0230	8.10	40.63
16	05Oct2025 0240	8.11	41.11
17	05Oct2025 0250	8.12	41.64
18	05Oct2025 0300	8.14	42.23
19	05Oct2025 0310	8.15	42.84
20	05Oct2025 0320	8.17	43.10
21	05Oct2025 0330	8.18	43.08
22	05Oct2025 0340	8.18	42.89
23	05Oct2025 0350	8.18	42.62
24	05Oct2025 0400	8.18	42.26
25	05Oct2025 0410	8.18	41.83
26	05Oct2025 0420	8.18	41.56
27	05Oct2025 0430	8.17	41.39
28	05Oct2025 0440	8.17	41.26
29	05Oct2025 0450	8.17	41.14
30	05Oct2025 0500	8.17	41.04
31	05Oct2025 0510	8.16	40.95
32	05Oct2025 0520	8.16	40.88
33	05Oct2025 0530	8.16	40.82
34	05Oct2025 0540	8.16	40.76
35	05Oct2025 0550	8.16	40.71
36	05Oct2025 0600	8.15	40.66
37	05Oct2025 0610	8.15	40.62
38	05Oct2025 0620	8.15	40.58
39	05Oct2025 0630	8.15	40.55
40	05Oct2025 0640	8.15	40.52
41	05Oct2025 0650	8.15	40.49
42	05Oct2025 0700	8.15	40.47
43	05Oct2025 0710	8.14	40.44
44	05Oct2025 0720	8.14	40.42
45	05Oct2025 0730	8.14	40.40
46	05Oct2025 0740	8.14	40.39
47	05Oct2025 0750	8.14	40.37
48	05Oct2025 0800	8.14	40.35
49	05Oct2025 0810	8.14	40.34
50	05Oct2025 0820	8.14	40.33
51	05Oct2025 0830	8.14	40.32
52	05Oct2025 0840	8.14	40.31
53	05Oct2025 0850	8.14	40.30
54	05Oct2025 0900	8.14	40.29
55	05Oct2025 0910	8.13	40.28
56	05Oct2025 0920	8.13	40.27
57	05Oct2025 0930	8.13	40.26
58	05Oct2025 0940	8.13	40.26
59	05Oct2025 0950	8.13	40.25
60	05Oct2025 1000	8.13	40.24
61	05Oct2025 1010	8.13	40.24
62	05Oct2025 1020	8.13	40.23
63	05Oct2025 1030	8.13	40.23
64	05Oct2025 1040	8.13	40.22
65	05Oct2025 1050	8.13	40.22
66	05Oct2025 1100	8.13	40.21
67	05Oct2025 1110	8.13	40.21
68	05Oct2025 1120	8.13	40.20
69	05Oct2025 1130	8.13	40.20
70	05Oct2025 1140	8.13	40.20
71	05Oct2025 1150	8.12	40.19
72	05Oct2025 1200	8.12	40.19
73	05Oct2025 1210	8.12	40.19
74	05Oct2025 1220	8.12	40.18
75	05Oct2025 1230	8.12	40.18
76	05Oct2025 1240	8.12	40.18
77	05Oct2025 1250	8.12	40.17
78	05Oct2025 1300	8.12	40.17
79	05Oct2025 1310	8.12	40.17
80	05Oct2025 1320	8.12	40.17
81	05Oct2025 1330	8.12	40.16
82	05Oct2025 1340	8.12	40.16
83	05Oct2025 1350	8.12	40.16
84	05Oct2025 1400	8.12	40.16
85	05Oct2025 1410	8.12	40.15
86	05Oct2025 1420	8.12	40.15
87	05Oct2025 1430	8.12	40.15
88	05Oct2025 1440	8.12	40.15
89	05Oct2025 1450	8.12	40.15
90	05Oct2025 1500	8.12	40.14
91	05Oct2025 1510	8.12	40.14
92	05Oct2025 1520	8.12	40.14
93	05Oct2025 1530	8.12	40.14
94	05Oct2025 1540	8.12	40.13
95	05Oct2025 1550	8.11	40.13
96	05Oct2025 1600	8.11	40.13
97	05Oct2025 1610	8.11	40.13
98	05Oct2025 1620	8.11	40.13
99	05Oct2025 1630	8.11	40.13
100	05Oct2025 1640	8.11	40.12
101	05Oct2025 1650	8.11	40.12
102	05Oct2025 1700	8.11	40.12
103	05Oct2025 1710	8.11	40.12
104	05Oct2025 1720	8.11	40.12
105	05Oct2025 1730	8.11	40.12
106	05Oct2025 1740	8.11	40.11
107	05Oct2025 1750	8.11	40.11
108	05Oct2025 1800	8.11	40.11
109	05Oct2025 1810	8.11	40.11
110	05Oct2025 1820	8.11	40.11
111	05Oct2025 1830	8.11	40.11
112	05Oct2025 1840	8.11	40.10
113	05Oct2025 1850	8.11	40.10
114	05Oct2025 1900	8.11	40.10
115	05Oct2025 1910	8.11	40.10
116	05Oct2025 1920	8.11	40.10
117	05Oct2025 1930	8.11	40.10
118	05Oct2025 1940	8.11	40.10
119	05Oct2025 1950	8.11	40.09
120	05Oct2025 2000	8.11	40.09
121	05Oct2025 2010	8.11	40.09
122	05Oct2025 2020	8.11	40.09
123	05Oct2025 2030	8.11	40.09
124	05Oct2025 2040	8.11	40.09
125	05Oct2025 2050	8.11	40.09
126	05Oct2025 2100	8.11	40.09
127	05Oct2025 2110	8.11	40.08
128	05Oct2025 2120	8.11	40.08
129	05Oct2025 2130	8.11	40.08
130	05Oct2025 2140	8.11	40.08
131	05Oct2025 2150	8.10	40.08
132	05Oct2025 2200	8.10	40.08
133	05Oct2025 2210	8.10	40.08
134	05Oct2025 2220	8.10	40.08
135	05Oct2025 2230	8.10	40.08
136	05Oct2025 2240	8.10	40.07
137	05Oct2025 2250	8.10	40.07
138	05Oct2025 2300	8.10	40.07
139	05Oct2025 2310	8.10	40.07
140	05Oct2025 2320	8.10	40.07
141	05Oct2025 2330	8.10	40.07
142	05Oct2025 2340	8.10	40.07
143	05Oct2025 2350	8.10	40.07
144	05Oct2025 2400	8.10	40.07
