Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 05  Locations: User Defined 
                                                                                           
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total  Min Ch El  W.S. Elev 
                                                       (m3/s)        (m)        (m) 
                                                                                           
 1                2                21000.0*         20.000410   2.100072   4.821936 
 1                2                21000.0*         20.000400   2.100072   4.821936 
 1                2                21000.0*         20.000380   2.100072   4.821936 
 1                2                21000.0*         20.000370   2.100072   4.821936 
 1                2                21000.0*         20.000350   2.100072   4.821936 
 1                2                21000.0*         20.000340   2.100072   4.821936 
 1                2                21000.0*         20.000310   2.100072   4.821936 
 1                2                21000.0*         20.000310   2.100072   4.821936 
 1                2                21000.0*         20.000290   2.100072   4.821936 
 1                2                21000.0*         20.000280   2.100072   4.821936 
 1                2                21000.0*         20.000270   2.100072   4.821936 
 1                2                21000.0*         20.000260   2.100072   4.821936 
 1                2                21000.0*         20.000240   2.100072   4.821936 
 1                2                21000.0*         19.999980   2.100072   4.821936 
 1                2                21000.0*         19.940050   2.100072   4.823155 
 1                2                21000.0*         19.820640   2.100072   4.831080 
 1                2                21000.0*         19.978810   2.100072   4.844491 
 1                2                21000.0*         20.272820   2.100072   4.860950 
 1                2                21000.0*         20.627300   2.100072   4.879848 
 1                2                21000.0*         21.025120   2.100072   4.901184 
 1                2                21000.0*         21.577320   2.100072   4.922215 
 1                2                21000.0*         22.213940   2.100072   4.932883 
 1                2                21000.0*         22.331740   2.100072   4.934407 
 1                2                21000.0*         22.232480   2.100072   4.932579 
 1                2                21000.0*         22.031760   2.100072   4.927701 
 1                2                21000.0*         21.777420   2.100072   4.920082 
 1                2                21000.0*         21.445700   2.100072   4.910023 
 1                2                21000.0*         21.031280   2.100072   4.903317 
 1                2                21000.0*         20.846080   2.100072   4.899050 
 1                2                21000.0*         20.755650   2.100072   4.894783 
 1                2                21000.0*         20.699850   2.100072   4.890516 
 1                2                21000.0*         20.655040   2.100072   4.886249 
 1                2                21000.0*         20.603010   2.100072   4.882591 
 1                2                21000.0*         20.554120   2.100072   4.879238 
