Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 05  Locations: User Defined 
                                                                                     
# Rivers            = 1 
# Hydraulic Reaches = 2 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta        Profile            Q Total 
                                                                        (m3/s) 
                                                                                     
 1                2                21000.0*         06NOV2025 0000       20.00 
 1                2                21000.0*         06NOV2025 0010       20.00 
 1                2                21000.0*         06NOV2025 0020       20.00 
 1                2                21000.0*         06NOV2025 0030       20.00 
 1                2                21000.0*         06NOV2025 0040       20.00 
 1                2                21000.0*         06NOV2025 0050       20.00 
 1                2                21000.0*         06NOV2025 0100       20.00 
 1                2                21000.0*         06NOV2025 0110       20.00 
 1                2                21000.0*         06NOV2025 0120       20.00 
 1                2                21000.0*         06NOV2025 0130       20.00 
 1                2                21000.0*         06NOV2025 0140       20.00 
 1                2                21000.0*         06NOV2025 0150       20.00 
 1                2                21000.0*         06NOV2025 0200       20.00 
 1                2                21000.0*         06NOV2025 0210       20.00 
 1                2                21000.0*         06NOV2025 0220       19.88 
 1                2                21000.0*         06NOV2025 0230       19.83 
 1                2                21000.0*         06NOV2025 0240       19.91 
 1                2                21000.0*         06NOV2025 0250       20.05 
 1                2                21000.0*         06NOV2025 0300       20.22 
 1                2                21000.0*         06NOV2025 0310       20.45 
 1                2                21000.0*         06NOV2025 0320       20.91 
 1                2                21000.0*         06NOV2025 0330       21.29 
 1                2                21000.0*         06NOV2025 0340       21.44 
 1                2                21000.0*         06NOV2025 0350       21.48 
 1                2                21000.0*         06NOV2025 0400       21.46 
 1                2                21000.0*         06NOV2025 0410       21.38 
 1                2                21000.0*         06NOV2025 0420       21.13 
 1                2                21000.0*         06NOV2025 0430       20.92 
 1                2                21000.0*         06NOV2025 0440       20.80 
 1                2                21000.0*         06NOV2025 0450       20.72 
 1                2                21000.0*         06NOV2025 0500       20.65 
 1                2                21000.0*         06NOV2025 0510       20.60 
 1                2                21000.0*         06NOV2025 0520       20.55 
 1                2                21000.0*         06NOV2025 0530       20.51 
 1                2                21000.0*         06NOV2025 0540       20.47 
 1                2                21000.0*         06NOV2025 0550       20.44 
 1                2                21000.0*         06NOV2025 0600       20.41 
 1                2                21000.0*         06NOV2025 0610       20.38 
 1                2                21000.0*         06NOV2025 0620       20.36 
 1                2                21000.0*         06NOV2025 0630       20.34 
 1                2                21000.0*         06NOV2025 0640       20.32 
 1                2                21000.0*         06NOV2025 0650       20.30 
 1                2                21000.0*         06NOV2025 0700       20.28 
 1                2                21000.0*         06NOV2025 0710       20.27 
 1                2                21000.0*         06NOV2025 0720       20.26 
 1                2                21000.0*         06NOV2025 0730       20.24 
 1                2                21000.0*         06NOV2025 0740       20.23 
 1                2                21000.0*         06NOV2025 0750       20.22 
 1                2                21000.0*         06NOV2025 0800       20.21 
 1                2                21000.0*         06NOV2025 0810       20.21 
 1                2                21000.0*         06NOV2025 0820       20.20 
 1                2                21000.0*         06NOV2025 0830       20.19 
 1                2                21000.0*         06NOV2025 0840       20.18 
 1                2                21000.0*         06NOV2025 0850       20.18 
 1                2                21000.0*         06NOV2025 0900       20.17 
 1                2                21000.0*         06NOV2025 0910       20.17 
 1                2                21000.0*         06NOV2025 0920       20.16 
 1                2                21000.0*         06NOV2025 0930       20.16 
 1                2                21000.0*         06NOV2025 0940       20.15 
 1                2                21000.0*         06NOV2025 0950       20.15 
 1                2                21000.0*         06NOV2025 1000       20.14 
 1                2                21000.0*         06NOV2025 1010       20.14 
 1                2                21000.0*         06NOV2025 1020       20.14 
 1                2                21000.0*         06NOV2025 1030       20.13 
 1                2                21000.0*         06NOV2025 1040       20.13 
 1                2                21000.0*         06NOV2025 1050       20.13 
 1                2                21000.0*         06NOV2025 1100       20.13 
 1                2                21000.0*         06NOV2025 1110       20.12 
 1                2                21000.0*         06NOV2025 1120       20.12 
 1                2                21000.0*         06NOV2025 1130       20.12 
 1                2                21000.0*         06NOV2025 1140       20.12 
 1                2                21000.0*         06NOV2025 1150       20.11 
 1                2                21000.0*         06NOV2025 1200       20.11 
 1                2                21000.0*         06NOV2025 1210       20.11 
 1                2                21000.0*         06NOV2025 1220       20.11 
 1                2                21000.0*         06NOV2025 1230       20.11 
 1                2                21000.0*         06NOV2025 1240       20.11 
 1                2                21000.0*         06NOV2025 1250       20.10 
 1                2                21000.0*         06NOV2025 1300       20.10 
 1                2                21000.0*         06NOV2025 1310       20.10 
 1                2                21000.0*         06NOV2025 1320       20.10 
 1                2                21000.0*         06NOV2025 1330       20.10 
 1                2                21000.0*         06NOV2025 1340       20.10 
 1                2                21000.0*         06NOV2025 1350       20.09 
 1                2                21000.0*         06NOV2025 1400       20.09 
 1                2                21000.0*         06NOV2025 1410       20.09 
 1                2                21000.0*         06NOV2025 1420       20.09 
 1                2                21000.0*         06NOV2025 1430       20.09 
 1                2                21000.0*         06NOV2025 1440       20.09 
 1                2                21000.0*         06NOV2025 1450       20.09 
 1                2                21000.0*         06NOV2025 1500       20.08 
 1                2                21000.0*         06NOV2025 1510       20.08 
 1                2                21000.0*         06NOV2025 1520       20.08 
 1                2                21000.0*         06NOV2025 1530       20.08 
 1                2                21000.0*         06NOV2025 1540       20.08 
 1                2                21000.0*         06NOV2025 1550       20.08 
 1                2                21000.0*         06NOV2025 1600       20.08 
 1                2                21000.0*         06NOV2025 1610       20.08 
 1                2                21000.0*         06NOV2025 1620       20.08 
 1                2                21000.0*         06NOV2025 1630       20.07 
 1                2                21000.0*         06NOV2025 1640       20.07 
 1                2                21000.0*         06NOV2025 1650       20.07 
 1                2                21000.0*         06NOV2025 1700       20.07 
 1                2                21000.0*         06NOV2025 1710       20.07 
 1                2                21000.0*         06NOV2025 1720       20.07 
 1                2                21000.0*         06NOV2025 1730       20.07 
 1                2                21000.0*         06NOV2025 1740       20.07 
 1                2                21000.0*         06NOV2025 1750       20.07 
 1                2                21000.0*         06NOV2025 1800       20.07 
 1                2                21000.0*         06NOV2025 1810       20.06 
 1                2                21000.0*         06NOV2025 1820       20.06 
 1                2                21000.0*         06NOV2025 1830       20.06 
 1                2                21000.0*         06NOV2025 1840       20.06 
 1                2                21000.0*         06NOV2025 1850       20.06 
 1                2                21000.0*         06NOV2025 1900       20.06 
 1                2                21000.0*         06NOV2025 1910       20.06 
 1                2                21000.0*         06NOV2025 1920       20.06 
 1                2                21000.0*         06NOV2025 1930       20.06 
 1                2                21000.0*         06NOV2025 1940       20.06 
 1                2                21000.0*         06NOV2025 1950       20.06 
 1                2                21000.0*         06NOV2025 2000       20.05 
 1                2                21000.0*         06NOV2025 2010       20.05 
 1                2                21000.0*         06NOV2025 2020       20.05 
 1                2                21000.0*         06NOV2025 2030       20.05 
 1                2                21000.0*         06NOV2025 2040       20.05 
 1                2                21000.0*         06NOV2025 2050       20.05 
 1                2                21000.0*         06NOV2025 2100       20.05 
 1                2                21000.0*         06NOV2025 2110       20.05 
 1                2                21000.0*         06NOV2025 2120       20.05 
 1                2                21000.0*         06NOV2025 2130       20.05 
 1                2                21000.0*         06NOV2025 2140       20.05 
 1                2                21000.0*         06NOV2025 2150       20.05 
 1                2                21000.0*         06NOV2025 2200       20.05 
 1                2                21000.0*         06NOV2025 2210       20.05 
 1                2                21000.0*         06NOV2025 2220       20.04 
 1                2                21000.0*         06NOV2025 2230       20.04 
 1                2                21000.0*         06NOV2025 2240       20.04 
 1                2                21000.0*         06NOV2025 2250       20.04 
 1                2                21000.0*         06NOV2025 2300       20.04 
 1                2                21000.0*         06NOV2025 2310       20.04 
 1                2                21000.0*         06NOV2025 2320       20.04 
 1                2                21000.0*         06NOV2025 2330       20.04 
 1                2                21000.0*         06NOV2025 2340       20.04 
 1                2                21000.0*         06NOV2025 2350       20.04 
 1                2                21000.0*         07NOV2025 0000       20.04 
                                                                               
 1                3                5000.00*         06NOV2025 0000       40.01 
 1                3                5000.00*         06NOV2025 0010       40.01 
 1                3                5000.00*         06NOV2025 0020       40.01 
 1                3                5000.00*         06NOV2025 0030       40.01 
 1                3                5000.00*         06NOV2025 0040       40.01 
 1                3                5000.00*         06NOV2025 0050       40.01 
 1                3                5000.00*         06NOV2025 0100       40.01 
 1                3                5000.00*         06NOV2025 0110       40.01 
 1                3                5000.00*         06NOV2025 0120       40.01 
 1                3                5000.00*         06NOV2025 0130       40.01 
 1                3                5000.00*         06NOV2025 0140       40.01 
 1                3                5000.00*         06NOV2025 0150       40.01 
 1                3                5000.00*         06NOV2025 0200       40.01 
 1                3                5000.00*         06NOV2025 0210       40.01 
 1                3                5000.00*         06NOV2025 0220       40.01 
 1                3                5000.00*         06NOV2025 0230       40.01 
 1                3                5000.00*         06NOV2025 0240       40.01 
 1                3                5000.00*         06NOV2025 0250       40.01 
 1                3                5000.00*         06NOV2025 0300       40.04 
 1                3                5000.00*         06NOV2025 0310       40.09 
 1                3                5000.00*         06NOV2025 0320       40.16 
 1                3                5000.00*         06NOV2025 0330       40.26 
 1                3                5000.00*         06NOV2025 0340       40.38 
 1                3                5000.00*         06NOV2025 0350       40.51 
 1                3                5000.00*         06NOV2025 0400       40.63 
 1                3                5000.00*         06NOV2025 0410       40.73 
 1                3                5000.00*         06NOV2025 0420       40.81 
 1                3                5000.00*         06NOV2025 0430       40.85 
 1                3                5000.00*         06NOV2025 0440       40.87 
 1                3                5000.00*         06NOV2025 0450       40.87 
 1                3                5000.00*         06NOV2025 0500       40.86 
 1                3                5000.00*         06NOV2025 0510       40.85 
 1                3                5000.00*         06NOV2025 0520       40.83 
 1                3                5000.00*         06NOV2025 0530       40.81 
 1                3                5000.00*         06NOV2025 0540       40.79 
 1                3                5000.00*         06NOV2025 0550       40.77 
 1                3                5000.00*         06NOV2025 0600       40.75 
 1                3                5000.00*         06NOV2025 0610       40.74 
 1                3                5000.00*         06NOV2025 0620       40.72 
 1                3                5000.00*         06NOV2025 0630       40.71 
 1                3                5000.00*         06NOV2025 0640       40.69 
