Profile Output Table - Standard Table 1
HEC-RAS  Plan: Plan 05  Locations: User Defined 
                                                                   
# Rivers            = 1 
# Hydraulic Reaches = 1 
# River Stations    = 2 
# Plans             = 1 
# Profiles          = 145 

 River            Reach            River Sta          Q Total 
                                                       (m3/s) 
                                                                   
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             19.94 
 1                2                21000.0*             19.82 
 1                2                21000.0*             19.98 
 1                2                21000.0*             20.27 
 1                2                21000.0*             20.63 
 1                2                21000.0*             21.03 
 1                2                21000.0*             21.58 
 1                2                21000.0*             22.21 
 1                2                21000.0*             22.33 
 1                2                21000.0*             22.23 
 1                2                21000.0*             22.03 
 1                2                21000.0*             21.78 
 1                2                21000.0*             21.45 
 1                2                21000.0*             21.03 
 1                2                21000.0*             20.85 
 1                2                21000.0*             20.76 
 1                2                21000.0*             20.70 
 1                2                21000.0*             20.66 
 1                2                21000.0*             20.60 
 1                2                21000.0*             20.55 
 1                2                21000.0*             20.52 
 1                2                21000.0*             20.48 
 1                2                21000.0*             20.45 
 1                2                21000.0*             20.41 
 1                2                21000.0*             20.38 
 1                2                21000.0*             20.36 
 1                2                21000.0*             20.33 
 1                2                21000.0*             20.31 
 1                2                21000.0*             20.29 
 1                2                21000.0*             20.28 
 1                2                21000.0*             20.26 
 1                2                21000.0*             20.25 
 1                2                21000.0*             20.24 
 1                2                21000.0*             20.22 
 1                2                21000.0*             20.21 
 1                2                21000.0*             20.20 
 1                2                21000.0*             20.19 
 1                2                21000.0*             20.18 
 1                2                21000.0*             20.17 
 1                2                21000.0*             20.17 
 1                2                21000.0*             20.16 
 1                2                21000.0*             20.15 
 1                2                21000.0*             20.15 
 1                2                21000.0*             20.14 
 1                2                21000.0*             20.13 
 1                2                21000.0*             20.13 
 1                2                21000.0*             20.12 
 1                2                21000.0*             20.12 
 1                2                21000.0*             20.11 
 1                2                21000.0*             20.11 
 1                2                21000.0*             20.10 
 1                2                21000.0*             20.10 
 1                2                21000.0*             20.09 
 1                2                21000.0*             20.09 
 1                2                21000.0*             20.09 
 1                2                21000.0*             20.08 
 1                2                21000.0*             20.08 
 1                2                21000.0*             20.07 
 1                2                21000.0*             20.07 
 1                2                21000.0*             20.07 
 1                2                21000.0*             20.07 
 1                2                21000.0*             20.06 
 1                2                21000.0*             20.06 
 1                2                21000.0*             20.06 
 1                2                21000.0*             20.05 
 1                2                21000.0*             20.05 
 1                2                21000.0*             20.05 
 1                2                21000.0*             20.05 
 1                2                21000.0*             20.05 
 1                2                21000.0*             20.04 
 1                2                21000.0*             20.04 
 1                2                21000.0*             20.04 
 1                2                21000.0*             20.04 
 1                2                21000.0*             20.04 
 1                2                21000.0*             20.04 
 1                2                21000.0*             20.03 
 1                2                21000.0*             20.03 
 1                2                21000.0*             20.03 
 1                2                21000.0*             20.03 
 1                2                21000.0*             20.03 
 1                2                21000.0*             20.03 
 1                2                21000.0*             20.03 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.02 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.01 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
 1                2                21000.0*             20.00 
                                                              
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.00 
 1                3                5000.00*             40.01 
 1                3                5000.00*             40.06 
 1                3                5000.00*             40.19 
 1                3                5000.00*             40.40 
 1                3                5000.00*             40.68 
 1                3                5000.00*             41.01 
 1                3                5000.00*             41.38 
 1                3                5000.00*             41.71 
 1                3                5000.00*             41.94 
 1                3                5000.00*             42.06 
 1                3                5000.00*             42.09 
 1                3                5000.00*             42.06 
 1                3                5000.00*             41.97 
 1                3                5000.00*             41.87 
 1                3                5000.00*             41.78 
 1                3                5000.00*             41.71 
 1                3                5000.00*             41.65 
 1                3                5000.00*             41.58 
 1                3                5000.00*             41.51 
 1                3                5000.00*             41.45 
 1                3                5000.00*             41.39 
 1                3                5000.00*             41.33 
 1                3                5000.00*             41.28 
 1                3                5000.00*             41.22 
 1                3                5000.00*             41.17 
 1                3                5000.00*             41.12 
 1                3                5000.00*             41.07 
 1                3                5000.00*             41.03 
 1                3                5000.00*             40.98 
 1                3                5000.00*             40.94 
 1                3                5000.00*             40.90 
 1                3                5000.00*             40.87 
 1                3                5000.00*             40.83 
 1                3                5000.00*             40.80 
 1                3                5000.00*             40.76 
 1                3                5000.00*             40.73 
 1                3                5000.00*             40.70 
 1                3                5000.00*             40.67 
 1                3                5000.00*             40.64 
 1                3                5000.00*             40.62 
 1                3                5000.00*             40.59 
 1                3                5000.00*             40.56 
 1                3                5000.00*             40.54 
 1                3                5000.00*             40.52 
 1                3                5000.00*             40.50 
 1                3                5000.00*             40.47 
 1                3                5000.00*             40.45 
 1                3                5000.00*             40.44 
 1                3                5000.00*             40.42 
 1                3                5000.00*             40.40 
 1                3                5000.00*             40.38 
 1                3                5000.00*             40.37 
 1                3                5000.00*             40.35 
 1                3                5000.00*             40.34 
 1                3                5000.00*             40.32 
 1                3                5000.00*             40.31 
 1                3                5000.00*             40.29 
 1                3                5000.00*             40.28 
 1                3                5000.00*             40.27 
 1                3                5000.00*             40.26 
 1                3                5000.00*             40.25 
 1                3                5000.00*             40.24 
 1                3                5000.00*             40.23 
 1                3                5000.00*             40.22 
 1                3                5000.00*             40.21 
 1                3                5000.00*             40.20 
 1                3                5000.00*             40.19 
 1                3                5000.00*             40.18 
 1                3                5000.00*             40.17 
 1                3                5000.00*             40.17 
 1                3                5000.00*             40.16 
 1                3                5000.00*             40.15 
 1                3                5000.00*             40.15 
 1                3                5000.00*             40.14 
 1                3                5000.00*             40.13 
 1                3                5000.00*             40.13 
 1                3                5000.00*             40.12 
 1                3                5000.00*             40.12 
 1                3                5000.00*             40.11 
 1                3                5000.00*             40.11 
 1                3                5000.00*             40.10 
 1                3                5000.00*             40.10 
 1                3                5000.00*             40.09 
 1                3                5000.00*             40.09 
 1                3                5000.00*             40.09 
 1                3                5000.00*             40.08 
 1                3                5000.00*             40.08 
 1                3                5000.00*             40.08 
 1                3                5000.00*             40.07 
 1                3                5000.00*             40.07 
 1                3                5000.00*             40.07 
 1                3                5000.00*             40.06 
 1                3                5000.00*             40.06 
 1                3                5000.00*             40.06 
 1                3                5000.00*             40.06 
 1                3                5000.00*             40.05 
 1                3                5000.00*             40.05 
 1                3                5000.00*             40.05 
 1                3                5000.00*             40.05 
 1                3                5000.00*             40.05 
 1                3                5000.00*             40.04 
 1                3                5000.00*             40.04 
 1                3                5000.00*             40.04 
 1                3                5000.00*             40.04 
 1                3                5000.00*             40.04 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.03 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.02 
 1                3                5000.00*             40.01 
 1                3                5000.00*             40.01 
 1                3                5000.00*             40.01 
                                                                   
