Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	28Aug2025 2400	8.10	20.00
1	29Aug2025 0010	8.09	20.26
2	29Aug2025 0020	8.09	20.17
3	29Aug2025 0030	8.09	20.07
4	29Aug2025 0040	8.09	20.05
5	29Aug2025 0050	8.09	20.06
6	29Aug2025 0100	8.09	20.06
7	29Aug2025 0110	8.09	20.06
8	29Aug2025 0120	8.09	20.06
9	29Aug2025 0130	8.09	20.05
10	29Aug2025 0140	8.09	20.05
11	29Aug2025 0150	8.09	20.04
12	29Aug2025 0200	8.09	20.04
13	29Aug2025 0210	8.09	20.04
14	29Aug2025 0220	8.09	20.03
15	29Aug2025 0230	8.09	19.94
16	29Aug2025 0240	8.09	19.76
17	29Aug2025 0250	8.09	19.56
18	29Aug2025 0300	8.10	19.37
19	29Aug2025 0310	8.11	19.20
20	29Aug2025 0320	8.11	19.05
21	29Aug2025 0330	8.12	19.05
22	29Aug2025 0340	8.12	19.23
23	29Aug2025 0350	8.13	19.47
24	29Aug2025 0400	8.13	19.71
25	29Aug2025 0410	8.13	19.93
26	29Aug2025 0420	8.13	20.13
27	29Aug2025 0430	8.13	20.24
28	29Aug2025 0440	8.13	20.25
29	29Aug2025 0450	8.12	20.23
30	29Aug2025 0500	8.12	20.20
31	29Aug2025 0510	8.12	20.19
32	29Aug2025 0520	8.12	20.17
33	29Aug2025 0530	8.12	20.16
34	29Aug2025 0540	8.12	20.15
35	29Aug2025 0550	8.12	20.14
36	29Aug2025 0600	8.12	20.13
37	29Aug2025 0610	8.12	20.12
38	29Aug2025 0620	8.11	20.12
39	29Aug2025 0630	8.11	20.11
40	29Aug2025 0640	8.11	20.10
41	29Aug2025 0650	8.11	20.10
42	29Aug2025 0700	8.11	20.09
43	29Aug2025 0710	8.11	20.09
44	29Aug2025 0720	8.11	20.09
45	29Aug2025 0730	8.11	20.08
46	29Aug2025 0740	8.11	20.08
47	29Aug2025 0750	8.11	20.08
48	29Aug2025 0800	8.11	20.07
49	29Aug2025 0810	8.11	20.07
50	29Aug2025 0820	8.11	20.07
51	29Aug2025 0830	8.11	20.07
52	29Aug2025 0840	8.11	20.06
53	29Aug2025 0850	8.10	20.06
54	29Aug2025 0900	8.10	20.06
55	29Aug2025 0910	8.10	20.06
56	29Aug2025 0920	8.10	20.06
57	29Aug2025 0930	8.10	20.06
58	29Aug2025 0940	8.10	20.05
59	29Aug2025 0950	8.10	20.05
60	29Aug2025 1000	8.10	20.05
61	29Aug2025 1010	8.10	20.05
62	29Aug2025 1020	8.10	20.05
63	29Aug2025 1030	8.10	20.05
64	29Aug2025 1040	8.10	20.05
65	29Aug2025 1050	8.10	20.05
66	29Aug2025 1100	8.10	20.05
67	29Aug2025 1110	8.10	20.04
68	29Aug2025 1120	8.10	20.04
69	29Aug2025 1130	8.10	20.04
70	29Aug2025 1140	8.10	20.04
71	29Aug2025 1150	8.10	20.04
72	29Aug2025 1200	8.10	20.04
73	29Aug2025 1210	8.10	20.04
74	29Aug2025 1220	8.10	20.04
75	29Aug2025 1230	8.10	20.04
76	29Aug2025 1240	8.10	20.04
77	29Aug2025 1250	8.10	20.04
78	29Aug2025 1300	8.10	20.04
79	29Aug2025 1310	8.10	20.04
80	29Aug2025 1320	8.10	20.04
81	29Aug2025 1330	8.09	20.04
82	29Aug2025 1340	8.09	20.03
83	29Aug2025 1350	8.09	20.03
