Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	28Aug2025 2400	8.09	40.00
1	29Aug2025 0010	8.09	40.53
2	29Aug2025 0020	8.09	40.40
3	29Aug2025 0030	8.09	40.31
4	29Aug2025 0040	8.09	40.27
5	29Aug2025 0050	8.09	40.24
6	29Aug2025 0100	8.09	40.22
7	29Aug2025 0110	8.09	40.20
8	29Aug2025 0120	8.09	40.18
9	29Aug2025 0130	8.09	40.17
10	29Aug2025 0140	8.09	40.15
11	29Aug2025 0150	8.09	40.14
12	29Aug2025 0200	8.09	40.13
13	29Aug2025 0210	8.09	40.12
14	29Aug2025 0220	8.09	40.12
15	29Aug2025 0230	8.09	40.20
16	29Aug2025 0240	8.09	40.36
17	29Aug2025 0250	8.09	40.56
18	29Aug2025 0300	8.10	40.80
19	29Aug2025 0310	8.11	41.07
20	29Aug2025 0320	8.11	41.36
21	29Aug2025 0330	8.12	41.52
22	29Aug2025 0340	8.12	41.57
23	29Aug2025 0350	8.13	41.54
24	29Aug2025 0400	8.13	41.44
25	29Aug2025 0410	8.13	41.27
26	29Aug2025 0420	8.13	41.07
27	29Aug2025 0430	8.13	40.91
28	29Aug2025 0440	8.13	40.80
29	29Aug2025 0450	8.12	40.71
30	29Aug2025 0500	8.12	40.64
31	29Aug2025 0510	8.12	40.59
32	29Aug2025 0520	8.12	40.54
33	29Aug2025 0530	8.12	40.50
34	29Aug2025 0540	8.12	40.47
35	29Aug2025 0550	8.12	40.44
36	29Aug2025 0600	8.12	40.41
37	29Aug2025 0610	8.12	40.39
38	29Aug2025 0620	8.11	40.36
39	29Aug2025 0630	8.11	40.34
40	29Aug2025 0640	8.11	40.32
41	29Aug2025 0650	8.11	40.31
42	29Aug2025 0700	8.11	40.29
43	29Aug2025 0710	8.11	40.28
44	29Aug2025 0720	8.11	40.26
45	29Aug2025 0730	8.11	40.25
46	29Aug2025 0740	8.11	40.24
47	29Aug2025 0750	8.11	40.23
48	29Aug2025 0800	8.11	40.22
49	29Aug2025 0810	8.11	40.21
50	29Aug2025 0820	8.11	40.21
51	29Aug2025 0830	8.11	40.20
52	29Aug2025 0840	8.11	40.19
53	29Aug2025 0850	8.10	40.19
54	29Aug2025 0900	8.10	40.18
55	29Aug2025 0910	8.10	40.17
56	29Aug2025 0920	8.10	40.17
57	29Aug2025 0930	8.10	40.16
