Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	8.24	20.00
1	20Aug2025 0010	8.24	20.00
2	20Aug2025 0020	8.23	20.00
3	20Aug2025 0030	8.23	20.00
4	20Aug2025 0040	8.23	20.00
5	20Aug2025 0050	8.23	20.00
6	20Aug2025 0100	8.23	20.00
7	20Aug2025 0110	8.23	20.00
8	20Aug2025 0120	8.23	20.00
9	20Aug2025 0130	8.23	20.00
10	20Aug2025 0140	8.23	20.00
11	20Aug2025 0150	8.23	20.00
12	20Aug2025 0200	8.23	20.00
13	20Aug2025 0210	8.24	20.83
14	20Aug2025 0220	8.25	21.67
15	20Aug2025 0230	8.27	22.50
16	20Aug2025 0240	8.28	23.33
17	20Aug2025 0250	8.30	24.17
18	20Aug2025 0300	8.33	25.00
19	20Aug2025 0310	8.33	24.17
20	20Aug2025 0320	8.33	23.33
21	20Aug2025 0330	8.33	22.50
22	20Aug2025 0340	8.33	21.67
23	20Aug2025 0350	8.32	20.83
24	20Aug2025 0400	8.31	20.00
25	20Aug2025 0410	8.31	20.00
26	20Aug2025 0420	8.31	20.00
27	20Aug2025 0430	8.31	20.00
28	20Aug2025 0440	8.30	20.00
29	20Aug2025 0450	8.30	20.00
30	20Aug2025 0500	8.30	20.00
31	20Aug2025 0510	8.30	20.00
32	20Aug2025 0520	8.29	20.00
33	20Aug2025 0530	8.29	20.00
34	20Aug2025 0540	8.29	20.00
35	20Aug2025 0550	8.29	20.00
36	20Aug2025 0600	8.29	20.00
37	20Aug2025 0610	8.28	20.00
38	20Aug2025 0620	8.28	20.00
39	20Aug2025 0630	8.28	20.00
40	20Aug2025 0640	8.28	20.00
41	20Aug2025 0650	8.28	20.00
42	20Aug2025 0700	8.28	20.00
43	20Aug2025 0710	8.28	20.00
44	20Aug2025 0720	8.28	20.00
45	20Aug2025 0730	8.27	20.00
46	20Aug2025 0740	8.27	20.00
47	20Aug2025 0750	8.27	20.00
48	20Aug2025 0800	8.27	20.00
49	20Aug2025 0810	8.27	20.00
50	20Aug2025 0820	8.27	20.00
51	20Aug2025 0830	8.27	20.00
52	20Aug2025 0840	8.27	20.00
53	20Aug2025 0850	8.27	20.00
54	20Aug2025 0900	8.27	20.00
55	20Aug2025 0910	8.27	20.00
56	20Aug2025 0920	8.26	20.00
57	20Aug2025 0930	8.26	20.00
58	20Aug2025 0940	8.26	20.00
59	20Aug2025 0950	8.26	20.00
60	20Aug2025 1000	8.26	20.00
61	20Aug2025 1010	8.26	20.00
62	20Aug2025 1020	8.26	20.00
63	20Aug2025 1030	8.26	20.00
64	20Aug2025 1040	8.26	20.00
65	20Aug2025 1050	8.26	20.00
66	20Aug2025 1100	8.26	20.00
67	20Aug2025 1110	8.26	20.00
68	20Aug2025 1120	8.26	20.00
69	20Aug2025 1130	8.26	20.00
70	20Aug2025 1140	8.26	20.00
71	20Aug2025 1150	8.26	20.00
72	20Aug2025 1200	8.25	20.00
73	20Aug2025 1210	8.25	20.00
74	20Aug2025 1220	8.25	20.00
75	20Aug2025 1230	8.25	20.00
76	20Aug2025 1240	8.25	20.00
77	20Aug2025 1250	8.25	20.00
78	20Aug2025 1300	8.25	20.00
79	20Aug2025 1310	8.25	20.00
80	20Aug2025 1320	8.25	20.00
81	20Aug2025 1330	8.25	20.00
82	20Aug2025 1340	8.25	20.00
83	20Aug2025 1350	8.25	20.00
84	20Aug2025 1400	8.25	20.00
85	20Aug2025 1410	8.25	20.00
86	20Aug2025 1420	8.25	20.00
87	20Aug2025 1430	8.25	20.00
88	20Aug2025 1440	8.25	20.00
89	20Aug2025 1450	8.25	20.00
90	20Aug2025 1500	8.25	20.00
91	20Aug2025 1510	8.25	20.00
