Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	8.09	40.00
1	20Aug2025 0010	8.10	40.53
2	20Aug2025 0020	8.10	40.40
3	20Aug2025 0030	8.10	40.30
4	20Aug2025 0040	8.10	40.27
5	20Aug2025 0050	8.10	40.24
6	20Aug2025 0100	8.10	40.22
7	20Aug2025 0110	8.09	40.20
8	20Aug2025 0120	8.09	40.18
9	20Aug2025 0130	8.09	40.17
10	20Aug2025 0140	8.09	40.15
11	20Aug2025 0150	8.09	40.14
12	20Aug2025 0200	8.09	40.13
13	20Aug2025 0210	8.09	40.14
14	20Aug2025 0220	8.10	40.36
15	20Aug2025 0230	8.10	40.74
16	20Aug2025 0240	8.11	41.21
17	20Aug2025 0250	8.12	41.73
18	20Aug2025 0300	8.14	42.32
19	20Aug2025 0310	8.15	42.92
20	20Aug2025 0320	8.17	43.17
21	20Aug2025 0330	8.18	43.13
22	20Aug2025 0340	8.18	42.94
23	20Aug2025 0350	8.18	42.67
24	20Aug2025 0400	8.18	42.31
25	20Aug2025 0410	8.18	41.89
26	20Aug2025 0420	8.18	41.61
27	20Aug2025 0430	8.17	41.44
28	20Aug2025 0440	8.17	41.32
29	20Aug2025 0450	8.17	41.19
30	20Aug2025 0500	8.16	41.09
31	20Aug2025 0510	8.16	41.01
32	20Aug2025 0520	8.16	40.93
33	20Aug2025 0530	8.16	40.87
34	20Aug2025 0540	8.16	40.81
35	20Aug2025 0550	8.15	40.76
36	20Aug2025 0600	8.15	40.71
37	20Aug2025 0610	8.15	40.67
38	20Aug2025 0620	8.15	40.63
39	20Aug2025 0630	8.15	40.59
40	20Aug2025 0640	8.15	40.56
41	20Aug2025 0650	8.14	40.53
42	20Aug2025 0700	8.14	40.51
43	20Aug2025 0710	8.14	40.48
44	20Aug2025 0720	8.14	40.46
45	20Aug2025 0730	8.14	40.44
46	20Aug2025 0740	8.14	40.42
47	20Aug2025 0750	8.14	40.41
48	20Aug2025 0800	8.14	40.39
49	20Aug2025 0810	8.14	40.38
50	20Aug2025 0820	8.13	40.36
51	20Aug2025 0830	8.13	40.35
52	20Aug2025 0840	8.13	40.34
53	20Aug2025 0850	8.13	40.33
54	20Aug2025 0900	8.13	40.32
55	20Aug2025 0910	8.13	40.31
56	20Aug2025 0920	8.13	40.30
57	20Aug2025 0930	8.13	40.29
58	20Aug2025 0940	8.13	40.29
59	20Aug2025 0950	8.13	40.28
60	20Aug2025 1000	8.13	40.27
61	20Aug2025 1010	8.13	40.27
62	20Aug2025 1020	8.13	40.26
63	20Aug2025 1030	8.12	40.26
64	20Aug2025 1040	8.12	40.25
65	20Aug2025 1050	8.12	40.25
66	20Aug2025 1100	8.12	40.24
67	20Aug2025 1110	8.12	40.24
68	20Aug2025 1120	8.12	40.23
69	20Aug2025 1130	8.12	40.23
70	20Aug2025 1140	8.12	40.22
71	20Aug2025 1150	8.12	40.22
72	20Aug2025 1200	8.12	40.22
73	20Aug2025 1210	8.12	40.21
74	20Aug2025 1220	8.12	40.21
75	20Aug2025 1230	8.12	40.20
76	20Aug2025 1240	8.12	40.20
77	20Aug2025 1250	8.12	40.20
78	20Aug2025 1300	8.12	40.20
79	20Aug2025 1310	8.12	40.19
80	20Aug2025 1320	8.12	40.19
81	20Aug2025 1330	8.11	40.19
82	20Aug2025 1340	8.11	40.18
83	20Aug2025 1350	8.11	40.18
84	20Aug2025 1400	8.11	40.18
85	20Aug2025 1410	8.11	40.18
86	20Aug2025 1420	8.11	40.17
87	20Aug2025 1430	8.11	40.17
88	20Aug2025 1440	8.11	40.17
89	20Aug2025 1450	8.11	40.16
90	20Aug2025 1500	8.11	40.16
91	20Aug2025 1510	8.11	40.16
92	20Aug2025 1520	8.11	40.16
93	20Aug2025 1530	8.11	40.16
94	20Aug2025 1540	8.11	40.15
95	20Aug2025 1550	8.11	40.15
96	20Aug2025 1600	8.11	40.15
97	20Aug2025 1610	8.11	40.15
98	20Aug2025 1620	8.11	40.14
99	20Aug2025 1630	8.11	40.14
100	20Aug2025 1640	8.11	40.14
101	20Aug2025 1650	8.11	40.14
102	20Aug2025 1700	8.11	40.14
103	20Aug2025 1710	8.11	40.13
104	20Aug2025 1720	8.11	40.13
105	20Aug2025 1730	8.10	40.13
106	20Aug2025 1740	8.10	40.13
107	20Aug2025 1750	8.10	40.13
108	20Aug2025 1800	8.10	40.13
109	20Aug2025 1810	8.10	40.12
110	20Aug2025 1820	8.10	40.12
111	20Aug2025 1830	8.10	40.12
112	20Aug2025 1840	8.10	40.12
113	20Aug2025 1850	8.10	40.12
114	20Aug2025 1900	8.10	40.11
115	20Aug2025 1910	8.10	40.11
116	20Aug2025 1920	8.10	40.11
117	20Aug2025 1930	8.10	40.11
118	20Aug2025 1940	8.10	40.11
119	20Aug2025 1950	8.10	40.11
120	20Aug2025 2000	8.10	40.11
121	20Aug2025 2010	8.10	40.10
122	20Aug2025 2020	8.10	40.10
123	20Aug2025 2030	8.10	40.10
124	20Aug2025 2040	8.10	40.10
125	20Aug2025 2050	8.10	40.10
126	20Aug2025 2100	8.10	40.10
127	20Aug2025 2110	8.10	40.10
128	20Aug2025 2120	8.10	40.09
129	20Aug2025 2130	8.10	40.09
130	20Aug2025 2140	8.10	40.09
131	20Aug2025 2150	8.10	40.09
132	20Aug2025 2200	8.10	40.09
133	20Aug2025 2210	8.10	40.09
134	20Aug2025 2220	8.10	40.09
135	20Aug2025 2230	8.10	40.08
136	20Aug2025 2240	8.10	40.08
137	20Aug2025 2250	8.10	40.08
138	20Aug2025 2300	8.10	40.08
139	20Aug2025 2310	8.10	40.08
140	20Aug2025 2320	8.10	40.08
141	20Aug2025 2330	8.10	40.08
142	20Aug2025 2340	8.10	40.08
143	20Aug2025 2350	8.09	40.08
144	20Aug2025 2400	8.09	40.07
