Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	8.09	40.00
1	20Aug2025 0010	8.10	40.53
2	20Aug2025 0020	8.10	40.40
3	20Aug2025 0030	8.10	40.30
4	20Aug2025 0040	8.10	40.27
5	20Aug2025 0050	8.10	40.24
6	20Aug2025 0100	8.10	40.22
7	20Aug2025 0110	8.09	40.20
8	20Aug2025 0120	8.09	40.18
9	20Aug2025 0130	8.09	40.17
10	20Aug2025 0140	8.09	40.16
11	20Aug2025 0150	8.09	40.15
12	20Aug2025 0200	8.09	40.14
13	20Aug2025 0210	8.09	40.16
14	20Aug2025 0220	8.10	40.38
15	20Aug2025 0230	8.10	40.76
16	20Aug2025 0240	8.11	41.23
17	20Aug2025 0250	8.12	41.75
18	20Aug2025 0300	8.14	42.34
19	20Aug2025 0310	8.15	42.94
20	20Aug2025 0320	8.17	43.19
21	20Aug2025 0330	8.18	43.16
22	20Aug2025 0340	8.18	42.97
23	20Aug2025 0350	8.18	42.69
24	20Aug2025 0400	8.18	42.33
25	20Aug2025 0410	8.18	41.91
26	20Aug2025 0420	8.17	41.64
27	20Aug2025 0430	8.17	41.47
28	20Aug2025 0440	8.17	41.35
29	20Aug2025 0450	8.17	41.23
30	20Aug2025 0500	8.16	41.13
31	20Aug2025 0510	8.16	41.06
32	20Aug2025 0520	8.16	40.99
33	20Aug2025 0530	8.16	40.94
34	20Aug2025 0540	8.15	40.89
35	20Aug2025 0550	8.15	40.85
36	20Aug2025 0600	8.15	40.81
37	20Aug2025 0610	8.15	40.78
38	20Aug2025 0620	8.15	40.75
39	20Aug2025 0630	8.14	40.72
40	20Aug2025 0640	8.14	40.69
41	20Aug2025 0650	8.14	40.67
42	20Aug2025 0700	8.14	40.65
43	20Aug2025 0710	8.14	40.63
44	20Aug2025 0720	8.14	40.61
45	20Aug2025 0730	8.13	40.59
46	20Aug2025 0740	8.13	40.57
47	20Aug2025 0750	8.13	40.55
48	20Aug2025 0800	8.13	40.54
49	20Aug2025 0810	8.13	40.52
50	20Aug2025 0820	8.13	40.51
51	20Aug2025 0830	8.13	40.49
52	20Aug2025 0840	8.12	40.48
53	20Aug2025 0850	8.12	40.47
54	20Aug2025 0900	8.12	40.45
55	20Aug2025 0910	8.12	40.44
56	20Aug2025 0920	8.12	40.43
57	20Aug2025 0930	8.12	40.42
58	20Aug2025 0940	8.12	40.40
59	20Aug2025 0950	8.12	40.39
60	20Aug2025 1000	8.12	40.38
61	20Aug2025 1010	8.11	40.37
62	20Aug2025 1020	8.11	40.36
63	20Aug2025 1030	8.11	40.35
64	20Aug2025 1040	8.11	40.34
65	20Aug2025 1050	8.11	40.33
66	20Aug2025 1100	8.11	40.32
67	20Aug2025 1110	8.11	40.31
68	20Aug2025 1120	8.11	40.30
69	20Aug2025 1130	8.11	40.30
70	20Aug2025 1140	8.11	40.29
71	20Aug2025 1150	8.11	40.28
72	20Aug2025 1200	8.11	40.27
73	20Aug2025 1210	8.10	40.26
74	20Aug2025 1220	8.10	40.26
75	20Aug2025 1230	8.10	40.25
76	20Aug2025 1240	8.10	40.24
77	20Aug2025 1250	8.10	40.24
78	20Aug2025 1300	8.10	40.23
79	20Aug2025 1310	8.10	40.22
80	20Aug2025 1320	8.10	40.22
81	20Aug2025 1330	8.10	40.21
82	20Aug2025 1340	8.10	40.21
83	20Aug2025 1350	8.10	40.20
84	20Aug2025 1400	8.10	40.19
85	20Aug2025 1410	8.10	40.19
86	20Aug2025 1420	8.10	40.18
87	20Aug2025 1430	8.10	40.18
88	20Aug2025 1440	8.10	40.17
89	20Aug2025 1450	8.10	40.17
90	20Aug2025 1500	8.10	40.16
91	20Aug2025 1510	8.10	40.16
92	20Aug2025 1520	8.10	40.15
93	20Aug2025 1530	8.09	40.15
94	20Aug2025 1540	8.09	40.15
95	20Aug2025 1550	8.09	40.14
96	20Aug2025 1600	8.09	40.14
97	20Aug2025 1610	8.09	40.13
98	20Aug2025 1620	8.09	40.13
99	20Aug2025 1630	8.09	40.13
100	20Aug2025 1640	8.09	40.12
101	20Aug2025 1650	8.09	40.12
102	20Aug2025 1700	8.09	40.12
103	20Aug2025 1710	8.09	40.11
104	20Aug2025 1720	8.09	40.11
105	20Aug2025 1730	8.09	40.11
106	20Aug2025 1740	8.09	40.10
107	20Aug2025 1750	8.09	40.10
108	20Aug2025 1800	8.09	40.10
109	20Aug2025 1810	8.09	40.10
110	20Aug2025 1820	8.09	40.09
111	20Aug2025 1830	8.09	40.09
112	20Aug2025 1840	8.09	40.09
113	20Aug2025 1850	8.09	40.09
114	20Aug2025 1900	8.09	40.08
115	20Aug2025 1910	8.09	40.08
116	20Aug2025 1920	8.09	40.08
117	20Aug2025 1930	8.09	40.08
118	20Aug2025 1940	8.09	40.07
119	20Aug2025 1950	8.09	40.07
120	20Aug2025 2000	8.09	40.07
121	20Aug2025 2010	8.09	40.07
122	20Aug2025 2020	8.09	40.07
123	20Aug2025 2030	8.09	40.06
124	20Aug2025 2040	8.09	40.06
125	20Aug2025 2050	8.09	40.06
126	20Aug2025 2100	8.09	40.06
127	20Aug2025 2110	8.09	40.06
128	20Aug2025 2120	8.09	40.06
129	20Aug2025 2130	8.09	40.05
130	20Aug2025 2140	8.09	40.05
131	20Aug2025 2150	8.09	40.05
132	20Aug2025 2200	8.09	40.05
133	20Aug2025 2210	8.09	40.05
134	20Aug2025 2220	8.09	40.05
135	20Aug2025 2230	8.09	40.05
136	20Aug2025 2240	8.09	40.04
137	20Aug2025 2250	8.08	40.04
138	20Aug2025 2300	8.08	40.04
139	20Aug2025 2310	8.08	40.04
140	20Aug2025 2320	8.08	40.04
141	20Aug2025 2330	8.08	40.04
142	20Aug2025 2340	8.08	40.04
143	20Aug2025 2350	8.08	40.04
144	20Aug2025 2400	8.08	40.04
