Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	28Aug2025 2400	8.10	20.00
1	29Aug2025 0010	8.09	20.27
2	29Aug2025 0020	8.09	20.24
3	29Aug2025 0030	8.09	20.24
4	29Aug2025 0040	8.09	20.21
5	29Aug2025 0050	8.09	20.18
6	29Aug2025 0100	8.09	20.16
7	29Aug2025 0110	8.09	20.14
8	29Aug2025 0120	8.09	20.13
9	29Aug2025 0130	8.09	20.11
10	29Aug2025 0140	8.09	20.11
11	29Aug2025 0150	8.09	20.10
12	29Aug2025 0200	8.09	20.09
13	29Aug2025 0210	8.09	20.08
14	29Aug2025 0220	8.09	20.09
15	29Aug2025 0230	8.09	20.27
16	29Aug2025 0240	8.09	20.61
17	29Aug2025 0250	8.09	21.00
18	29Aug2025 0300	8.10	21.43
19	29Aug2025 0310	8.11	21.87
20	29Aug2025 0320	8.11	22.31
21	29Aug2025 0330	8.12	22.47
22	29Aug2025 0340	8.12	22.33
23	29Aug2025 0350	8.13	22.07
24	29Aug2025 0400	8.13	21.73
25	29Aug2025 0410	8.13	21.35
26	29Aug2025 0420	8.13	20.94
27	29Aug2025 0430	8.13	20.67
28	29Aug2025 0440	8.13	20.55
29	29Aug2025 0450	8.12	20.48
30	29Aug2025 0500	8.12	20.44
31	29Aug2025 0510	8.12	20.40
32	29Aug2025 0520	8.12	20.37
33	29Aug2025 0530	8.12	20.35
34	29Aug2025 0540	8.12	20.32
35	29Aug2025 0550	8.12	20.30
36	29Aug2025 0600	8.12	20.28
37	29Aug2025 0610	8.12	20.26
38	29Aug2025 0620	8.11	20.25
39	29Aug2025 0630	8.11	20.23
40	29Aug2025 0640	8.11	20.22
41	29Aug2025 0650	8.11	20.21
42	29Aug2025 0700	8.11	20.20
43	29Aug2025 0710	8.11	20.19
44	29Aug2025 0720	8.11	20.18
45	29Aug2025 0730	8.11	20.17
46	29Aug2025 0740	8.11	20.16
47	29Aug2025 0750	8.11	20.15
48	29Aug2025 0800	8.11	20.15
49	29Aug2025 0810	8.11	20.14
50	29Aug2025 0820	8.11	20.14
51	29Aug2025 0830	8.11	20.13
52	29Aug2025 0840	8.11	20.13
53	29Aug2025 0850	8.10	20.12
54	29Aug2025 0900	8.10	20.12
55	29Aug2025 0910	8.10	20.12
56	29Aug2025 0920	8.10	20.11
57	29Aug2025 0930	8.10	20.11
58	29Aug2025 0940	8.10	20.11
59	29Aug2025 0950	8.10	20.10
60	29Aug2025 1000	8.10	20.10
61	29Aug2025 1010	8.10	20.10
62	29Aug2025 1020	8.10	20.10
63	29Aug2025 1030	8.10	20.09
64	29Aug2025 1040	8.10	20.09
65	29Aug2025 1050	8.10	20.09
66	29Aug2025 1100	8.10	20.09
67	29Aug2025 1110	8.10	20.09
68	29Aug2025 1120	8.10	20.09
69	29Aug2025 1130	8.10	20.08
70	29Aug2025 1140	8.10	20.08
71	29Aug2025 1150	8.10	20.08
72	29Aug2025 1200	8.10	20.08
73	29Aug2025 1210	8.10	20.08
74	29Aug2025 1220	8.10	20.08
75	29Aug2025 1230	8.10	20.08
76	29Aug2025 1240	8.10	20.07
77	29Aug2025 1250	8.10	20.07
78	29Aug2025 1300	8.10	20.07
79	29Aug2025 1310	8.10	20.07
80	29Aug2025 1320	8.10	20.07
81	29Aug2025 1330	8.09	20.07
82	29Aug2025 1340	8.09	20.07
83	29Aug2025 1350	8.09	20.07
84	29Aug2025 1400	8.09	20.07
85	29Aug2025 1410	8.09	20.06
86	29Aug2025 1420	8.09	20.06
87	29Aug2025 1430	8.09	20.06
88	29Aug2025 1440	8.09	20.06
89	29Aug2025 1450	8.09	20.06
90	29Aug2025 1500	8.09	20.06
91	29Aug2025 1510	8.09	20.06
92	29Aug2025 1520	8.09	20.06
93	29Aug2025 1530	8.09	20.06
94	29Aug2025 1540	8.09	20.06
95	29Aug2025 1550	8.09	20.06
96	29Aug2025 1600	8.09	20.05
97	29Aug2025 1610	8.09	20.05
98	29Aug2025 1620	8.09	20.05
99	29Aug2025 1630	8.09	20.05
100	29Aug2025 1640	8.09	20.05
101	29Aug2025 1650	8.09	20.05
102	29Aug2025 1700	8.09	20.05
103	29Aug2025 1710	8.09	20.05
104	29Aug2025 1720	8.09	20.05
105	29Aug2025 1730	8.09	20.05
106	29Aug2025 1740	8.09	20.05
107	29Aug2025 1750	8.09	20.05
108	29Aug2025 1800	8.09	20.05
109	29Aug2025 1810	8.09	20.05
