Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	28Aug2025 2400	8.23	20.00
1	29Aug2025 0010	8.23	20.00
2	29Aug2025 0020	8.23	20.00
3	29Aug2025 0030	8.23	20.00
4	29Aug2025 0040	8.23	20.00
5	29Aug2025 0050	8.23	20.00
6	29Aug2025 0100	8.23	20.00
7	29Aug2025 0110	8.23	20.00
8	29Aug2025 0120	8.23	20.00
9	29Aug2025 0130	8.23	20.00
10	29Aug2025 0140	8.23	20.00
11	29Aug2025 0150	8.23	20.00
12	29Aug2025 0200	8.23	20.00
13	29Aug2025 0210	8.22	20.00
14	29Aug2025 0220	8.22	20.00
15	29Aug2025 0230	8.22	20.00
16	29Aug2025 0240	8.22	20.00
17	29Aug2025 0250	8.23	20.00
18	29Aug2025 0300	8.23	20.00
19	29Aug2025 0310	8.24	20.00
20	29Aug2025 0320	8.24	20.00
21	29Aug2025 0330	8.25	20.00
22	29Aug2025 0340	8.26	20.00
23	29Aug2025 0350	8.26	20.00
24	29Aug2025 0400	8.26	20.00
25	29Aug2025 0410	8.27	20.00
26	29Aug2025 0420	8.27	20.00
27	29Aug2025 0430	8.26	20.00
28	29Aug2025 0440	8.26	20.00
29	29Aug2025 0450	8.26	20.00
30	29Aug2025 0500	8.26	20.00
31	29Aug2025 0510	8.26	20.00
32	29Aug2025 0520	8.26	20.00
33	29Aug2025 0530	8.26	20.00
34	29Aug2025 0540	8.25	20.00
35	29Aug2025 0550	8.25	20.00
36	29Aug2025 0600	8.25	20.00
37	29Aug2025 0610	8.25	20.00
38	29Aug2025 0620	8.25	20.00
39	29Aug2025 0630	8.25	20.00
40	29Aug2025 0640	8.25	20.00
41	29Aug2025 0650	8.25	20.00
42	29Aug2025 0700	8.25	20.00
43	29Aug2025 0710	8.25	20.00
44	29Aug2025 0720	8.25	20.00
45	29Aug2025 0730	8.25	20.00
46	29Aug2025 0740	8.24	20.00
47	29Aug2025 0750	8.24	20.00
48	29Aug2025 0800	8.24	20.00
49	29Aug2025 0810	8.24	20.00
50	29Aug2025 0820	8.24	20.00
51	29Aug2025 0830	8.24	20.00
52	29Aug2025 0840	8.24	20.00
53	29Aug2025 0850	8.24	20.00
54	29Aug2025 0900	8.24	20.00
55	29Aug2025 0910	8.24	20.00
56	29Aug2025 0920	8.24	20.00
57	29Aug2025 0930	8.24	20.00
58	29Aug2025 0940	8.24	20.00
59	29Aug2025 0950	8.24	20.00
60	29Aug2025 1000	8.24	20.00
61	29Aug2025 1010	8.24	20.00
62	29Aug2025 1020	8.24	20.00
63	29Aug2025 1030	8.24	20.00
64	29Aug2025 1040	8.24	20.00
