Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	8.10	20.00
1	20Aug2025 0010	8.10	20.26
2	20Aug2025 0020	8.10	20.17
3	20Aug2025 0030	8.10	20.07
4	20Aug2025 0040	8.10	20.05
5	20Aug2025 0050	8.10	20.06
6	20Aug2025 0100	8.10	20.06
7	20Aug2025 0110	8.09	20.06
8	20Aug2025 0120	8.09	20.06
9	20Aug2025 0130	8.09	20.05
10	20Aug2025 0140	8.09	20.05
11	20Aug2025 0150	8.09	20.04
12	20Aug2025 0200	8.09	20.04
13	20Aug2025 0210	8.09	20.07
14	20Aug2025 0220	8.10	20.51
15	20Aug2025 0230	8.10	21.04
16	20Aug2025 0240	8.11	21.52
17	20Aug2025 0250	8.12	21.98
18	20Aug2025 0300	8.14	22.46
19	20Aug2025 0310	8.15	22.90
20	20Aug2025 0320	8.17	22.56
21	20Aug2025 0330	8.18	22.02
22	20Aug2025 0340	8.18	21.59
23	20Aug2025 0350	8.18	21.19
24	20Aug2025 0400	8.18	20.76
25	20Aug2025 0410	8.18	20.35
26	20Aug2025 0420	8.18	20.34
27	20Aug2025 0430	8.17	20.41
28	20Aug2025 0440	8.17	20.40
29	20Aug2025 0450	8.17	20.36
30	20Aug2025 0500	8.16	20.33
31	20Aug2025 0510	8.16	20.31
32	20Aug2025 0520	8.16	20.29
33	20Aug2025 0530	8.16	20.27
34	20Aug2025 0540	8.16	20.25
35	20Aug2025 0550	8.15	20.24
36	20Aug2025 0600	8.15	20.23
37	20Aug2025 0610	8.15	20.21
38	20Aug2025 0620	8.15	20.20
39	20Aug2025 0630	8.15	20.19
40	20Aug2025 0640	8.15	20.18
41	20Aug2025 0650	8.14	20.17
42	20Aug2025 0700	8.14	20.16
43	20Aug2025 0710	8.14	20.16
44	20Aug2025 0720	8.14	20.15
45	20Aug2025 0730	8.14	20.14
46	20Aug2025 0740	8.14	20.14
47	20Aug2025 0750	8.14	20.13
48	20Aug2025 0800	8.14	20.13
49	20Aug2025 0810	8.14	20.12
50	20Aug2025 0820	8.13	20.12
51	20Aug2025 0830	8.13	20.12
52	20Aug2025 0840	8.13	20.11
53	20Aug2025 0850	8.13	20.11
54	20Aug2025 0900	8.13	20.11
55	20Aug2025 0910	8.13	20.10
56	20Aug2025 0920	8.13	20.10
57	20Aug2025 0930	8.13	20.10
58	20Aug2025 0940	8.13	20.10
59	20Aug2025 0950	8.13	20.09
60	20Aug2025 1000	8.13	20.09
61	20Aug2025 1010	8.13	20.09
62	20Aug2025 1020	8.13	20.09
63	20Aug2025 1030	8.12	20.09
64	20Aug2025 1040	8.12	20.08
65	20Aug2025 1050	8.12	20.08
66	20Aug2025 1100	8.12	20.08
67	20Aug2025 1110	8.12	20.08
68	20Aug2025 1120	8.12	20.08
69	20Aug2025 1130	8.12	20.08
70	20Aug2025 1140	8.12	20.08
71	20Aug2025 1150	8.12	20.07
72	20Aug2025 1200	8.12	20.07
73	20Aug2025 1210	8.12	20.07
74	20Aug2025 1220	8.12	20.07
75	20Aug2025 1230	8.12	20.07
76	20Aug2025 1240	8.12	20.07
77	20Aug2025 1250	8.12	20.07
78	20Aug2025 1300	8.12	20.07
79	20Aug2025 1310	8.12	20.07
80	20Aug2025 1320	8.12	20.06
81	20Aug2025 1330	8.11	20.06
82	20Aug2025 1340	8.11	20.06
83	20Aug2025 1350	8.11	20.06
84	20Aug2025 1400	8.11	20.06
85	20Aug2025 1410	8.11	20.06
86	20Aug2025 1420	8.11	20.06
87	20Aug2025 1430	8.11	20.06
88	20Aug2025 1440	8.11	20.06
89	20Aug2025 1450	8.11	20.06
90	20Aug2025 1500	8.11	20.06
91	20Aug2025 1510	8.11	20.05
92	20Aug2025 1520	8.11	20.05
93	20Aug2025 1530	8.11	20.05
94	20Aug2025 1540	8.11	20.05
95	20Aug2025 1550	8.11	20.05
96	20Aug2025 1600	8.11	20.05
97	20Aug2025 1610	8.11	20.05
98	20Aug2025 1620	8.11	20.05
99	20Aug2025 1630	8.11	20.05
100	20Aug2025 1640	8.11	20.05
101	20Aug2025 1650	8.11	20.05
102	20Aug2025 1700	8.11	20.05
103	20Aug2025 1710	8.11	20.05
104	20Aug2025 1720	8.11	20.04
105	20Aug2025 1730	8.10	20.04
106	20Aug2025 1740	8.10	20.04
107	20Aug2025 1750	8.10	20.04
108	20Aug2025 1800	8.10	20.04
109	20Aug2025 1810	8.10	20.04
110	20Aug2025 1820	8.10	20.04
111	20Aug2025 1830	8.10	20.04
112	20Aug2025 1840	8.10	20.04
113	20Aug2025 1850	8.10	20.04
114	20Aug2025 1900	8.10	20.04
115	20Aug2025 1910	8.10	20.04
116	20Aug2025 1920	8.10	20.04
117	20Aug2025 1930	8.10	20.04
118	20Aug2025 1940	8.10	20.04
119	20Aug2025 1950	8.10	20.04
120	20Aug2025 2000	8.10	20.04
121	20Aug2025 2010	8.10	20.04
122	20Aug2025 2020	8.10	20.03
123	20Aug2025 2030	8.10	20.03
124	20Aug2025 2040	8.10	20.03
125	20Aug2025 2050	8.10	20.03
126	20Aug2025 2100	8.10	20.03
127	20Aug2025 2110	8.10	20.03
128	20Aug2025 2120	8.10	20.03
129	20Aug2025 2130	8.10	20.03
130	20Aug2025 2140	8.10	20.03
131	20Aug2025 2150	8.10	20.03
132	20Aug2025 2200	8.10	20.03
133	20Aug2025 2210	8.10	20.03
134	20Aug2025 2220	8.10	20.03
135	20Aug2025 2230	8.10	20.03
136	20Aug2025 2240	8.10	20.03
137	20Aug2025 2250	8.10	20.03
138	20Aug2025 2300	8.10	20.03
139	20Aug2025 2310	8.10	20.03
140	20Aug2025 2320	8.10	20.03
141	20Aug2025 2330	8.10	20.03
142	20Aug2025 2340	8.10	20.03
143	20Aug2025 2350	8.09	20.03
144	20Aug2025 2400	8.09	20.03
