Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	6.09	40.00
1	20Aug2025 0010	6.09	40.02
2	20Aug2025 0020	6.09	40.03
3	20Aug2025 0030	6.09	40.04
4	20Aug2025 0040	6.10	40.05
5	20Aug2025 0050	6.10	40.06
6	20Aug2025 0100	6.10	40.06
7	20Aug2025 0110	6.10	40.07
8	20Aug2025 0120	6.10	40.08
9	20Aug2025 0130	6.10	40.08
10	20Aug2025 0140	6.10	40.09
11	20Aug2025 0150	6.10	40.09
12	20Aug2025 0200	6.10	40.10
13	20Aug2025 0210	6.10	40.10
14	20Aug2025 0220	6.10	40.11
15	20Aug2025 0230	6.10	40.11
16	20Aug2025 0240	6.10	40.11
17	20Aug2025 0250	6.10	40.11
18	20Aug2025 0300	6.10	40.11
19	20Aug2025 0310	6.10	40.12
20	20Aug2025 0320	6.10	40.12
21	20Aug2025 0330	6.10	40.14
22	20Aug2025 0340	6.11	40.16
23	20Aug2025 0350	6.11	40.19
24	20Aug2025 0400	6.11	40.22
25	20Aug2025 0410	6.11	40.27
26	20Aug2025 0420	6.12	40.31
27	20Aug2025 0430	6.12	40.36
28	20Aug2025 0440	6.13	40.41
29	20Aug2025 0450	6.13	40.46
30	20Aug2025 0500	6.14	40.50
31	20Aug2025 0510	6.14	40.54
32	20Aug2025 0520	6.14	40.57
33	20Aug2025 0530	6.15	40.60
34	20Aug2025 0540	6.15	40.63
35	20Aug2025 0550	6.15	40.65
36	20Aug2025 0600	6.15	40.66
37	20Aug2025 0610	6.15	40.68
38	20Aug2025 0620	6.15	40.69
39	20Aug2025 0630	6.15	40.70
40	20Aug2025 0640	6.15	40.71
41	20Aug2025 0650	6.16	40.71
42	20Aug2025 0700	6.16	40.72
43	20Aug2025 0710	6.16	40.72
44	20Aug2025 0720	6.16	40.72
45	20Aug2025 0730	6.16	40.72
46	20Aug2025 0740	6.16	40.72
47	20Aug2025 0750	6.16	40.72
48	20Aug2025 0800	6.16	40.71
49	20Aug2025 0810	6.15	40.71
50	20Aug2025 0820	6.15	40.71
51	20Aug2025 0830	6.15	40.70
52	20Aug2025 0840	6.15	40.70
53	20Aug2025 0850	6.15	40.69
54	20Aug2025 0900	6.15	40.68
55	20Aug2025 0910	6.15	40.68
56	20Aug2025 0920	6.15	40.67
57	20Aug2025 0930	6.15	40.66
58	20Aug2025 0940	6.15	40.66
59	20Aug2025 0950	6.15	40.65
60	20Aug2025 1000	6.15	40.64
61	20Aug2025 1010	6.15	40.64
62	20Aug2025 1020	6.15	40.63
63	20Aug2025 1030	6.15	40.62
64	20Aug2025 1040	6.15	40.61
65	20Aug2025 1050	6.15	40.61
66	20Aug2025 1100	6.14	40.60
67	20Aug2025 1110	6.14	40.59
68	20Aug2025 1120	6.14	40.58
69	20Aug2025 1130	6.14	40.58
70	20Aug2025 1140	6.14	40.57
71	20Aug2025 1150	6.14	40.56
72	20Aug2025 1200	6.14	40.55
73	20Aug2025 1210	6.14	40.55
74	20Aug2025 1220	6.14	40.54
75	20Aug2025 1230	6.14	40.53
76	20Aug2025 1240	6.14	40.52
77	20Aug2025 1250	6.14	40.52
78	20Aug2025 1300	6.14	40.51
79	20Aug2025 1310	6.14	40.50
80	20Aug2025 1320	6.14	40.50
81	20Aug2025 1330	6.13	40.49
82	20Aug2025 1340	6.13	40.48
83	20Aug2025 1350	6.13	40.48
84	20Aug2025 1400	6.13	40.47
85	20Aug2025 1410	6.13	40.46
86	20Aug2025 1420	6.13	40.46
87	20Aug2025 1430	6.13	40.45
88	20Aug2025 1440	6.13	40.44
89	20Aug2025 1450	6.13	40.44
90	20Aug2025 1500	6.13	40.43
91	20Aug2025 1510	6.13	40.43
92	20Aug2025 1520	6.13	40.42
93	20Aug2025 1530	6.13	40.41
94	20Aug2025 1540	6.13	40.41
95	20Aug2025 1550	6.13	40.40
96	20Aug2025 1600	6.13	40.40
97	20Aug2025 1610	6.13	40.39
98	20Aug2025 1620	6.13	40.39
99	20Aug2025 1630	6.13	40.38
100	20Aug2025 1640	6.12	40.37
101	20Aug2025 1650	6.12	40.37
102	20Aug2025 1700	6.12	40.36
103	20Aug2025 1710	6.12	40.36
104	20Aug2025 1720	6.12	40.35
105	20Aug2025 1730	6.12	40.35
106	20Aug2025 1740	6.12	40.34
107	20Aug2025 1750	6.12	40.34
108	20Aug2025 1800	6.12	40.33
109	20Aug2025 1810	6.12	40.33
110	20Aug2025 1820	6.12	40.33
111	20Aug2025 1830	6.12	40.32
112	20Aug2025 1840	6.12	40.32
113	20Aug2025 1850	6.12	40.31
114	20Aug2025 1900	6.12	40.31
115	20Aug2025 1910	6.12	40.30
116	20Aug2025 1920	6.12	40.30
117	20Aug2025 1930	6.12	40.29
118	20Aug2025 1940	6.12	40.29
119	20Aug2025 1950	6.12	40.29
120	20Aug2025 2000	6.12	40.28
121	20Aug2025 2010	6.12	40.28
122	20Aug2025 2020	6.12	40.27
123	20Aug2025 2030	6.12	40.27
124	20Aug2025 2040	6.11	40.27
125	20Aug2025 2050	6.11	40.26
126	20Aug2025 2100	6.11	40.26
127	20Aug2025 2110	6.11	40.26
128	20Aug2025 2120	6.11	40.25
129	20Aug2025 2130	6.11	40.25
130	20Aug2025 2140	6.11	40.24
131	20Aug2025 2150	6.11	40.24
132	20Aug2025 2200	6.11	40.24
133	20Aug2025 2210	6.11	40.23
134	20Aug2025 2220	6.11	40.23
135	20Aug2025 2230	6.11	40.23
136	20Aug2025 2240	6.11	40.22
137	20Aug2025 2250	6.11	40.22
138	20Aug2025 2300	6.11	40.22
139	20Aug2025 2310	6.11	40.22
140	20Aug2025 2320	6.11	40.21
141	20Aug2025 2330	6.11	40.21
142	20Aug2025 2340	6.11	40.21
143	20Aug2025 2350	6.11	40.20
144	20Aug2025 2400	6.11	40.20
