Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	8.10	20.00
1	20Aug2025 0010	8.10	20.26
2	20Aug2025 0020	8.10	20.17
3	20Aug2025 0030	8.10	20.07
4	20Aug2025 0040	8.10	20.05
5	20Aug2025 0050	8.10	20.06
6	20Aug2025 0100	8.10	20.06
7	20Aug2025 0110	8.09	20.06
8	20Aug2025 0120	8.09	20.06
9	20Aug2025 0130	8.09	20.05
10	20Aug2025 0140	8.09	20.05
11	20Aug2025 0150	8.09	20.05
12	20Aug2025 0200	8.09	20.05
13	20Aug2025 0210	8.09	20.08
14	20Aug2025 0220	8.10	20.52
15	20Aug2025 0230	8.10	21.05
16	20Aug2025 0240	8.11	21.52
17	20Aug2025 0250	8.12	21.99
18	20Aug2025 0300	8.14	22.47
19	20Aug2025 0310	8.15	22.90
20	20Aug2025 0320	8.17	22.57
21	20Aug2025 0330	8.18	22.03
22	20Aug2025 0340	8.18	21.59
23	20Aug2025 0350	8.18	21.19
24	20Aug2025 0400	8.18	20.77
25	20Aug2025 0410	8.18	20.36
26	20Aug2025 0420	8.17	20.35
27	20Aug2025 0430	8.17	20.42
28	20Aug2025 0440	8.17	20.41
29	20Aug2025 0450	8.17	20.38
30	20Aug2025 0500	8.16	20.35
31	20Aug2025 0510	8.16	20.33
32	20Aug2025 0520	8.16	20.32
33	20Aug2025 0530	8.16	20.30
34	20Aug2025 0540	8.15	20.29
35	20Aug2025 0550	8.15	20.27
36	20Aug2025 0600	8.15	20.26
37	20Aug2025 0610	8.15	20.25
38	20Aug2025 0620	8.15	20.24
39	20Aug2025 0630	8.14	20.24
40	20Aug2025 0640	8.14	20.23
41	20Aug2025 0650	8.14	20.22
42	20Aug2025 0700	8.14	20.21
43	20Aug2025 0710	8.14	20.21
44	20Aug2025 0720	8.14	20.20
45	20Aug2025 0730	8.13	20.20
46	20Aug2025 0740	8.13	20.19
47	20Aug2025 0750	8.13	20.18
48	20Aug2025 0800	8.13	20.18
49	20Aug2025 0810	8.13	20.17
50	20Aug2025 0820	8.13	20.17
51	20Aug2025 0830	8.13	20.16
52	20Aug2025 0840	8.12	20.16
53	20Aug2025 0850	8.12	20.16
54	20Aug2025 0900	8.12	20.15
55	20Aug2025 0910	8.12	20.15
56	20Aug2025 0920	8.12	20.14
57	20Aug2025 0930	8.12	20.14
58	20Aug2025 0940	8.12	20.13
59	20Aug2025 0950	8.12	20.13
60	20Aug2025 1000	8.12	20.13
61	20Aug2025 1010	8.11	20.12
62	20Aug2025 1020	8.11	20.12
63	20Aug2025 1030	8.11	20.12
64	20Aug2025 1040	8.11	20.11
65	20Aug2025 1050	8.11	20.11
66	20Aug2025 1100	8.11	20.11
67	20Aug2025 1110	8.11	20.10
68	20Aug2025 1120	8.11	20.10
69	20Aug2025 1130	8.11	20.10
70	20Aug2025 1140	8.11	20.10
71	20Aug2025 1150	8.11	20.09
72	20Aug2025 1200	8.11	20.09
73	20Aug2025 1210	8.10	20.09
74	20Aug2025 1220	8.10	20.09
75	20Aug2025 1230	8.10	20.08
76	20Aug2025 1240	8.10	20.08
77	20Aug2025 1250	8.10	20.08
78	20Aug2025 1300	8.10	20.08
79	20Aug2025 1310	8.10	20.07
80	20Aug2025 1320	8.10	20.07
81	20Aug2025 1330	8.10	20.07
82	20Aug2025 1340	8.10	20.07
83	20Aug2025 1350	8.10	20.07
84	20Aug2025 1400	8.10	20.06
85	20Aug2025 1410	8.10	20.06
86	20Aug2025 1420	8.10	20.06
87	20Aug2025 1430	8.10	20.06
88	20Aug2025 1440	8.10	20.06
89	20Aug2025 1450	8.10	20.06
90	20Aug2025 1500	8.10	20.05
91	20Aug2025 1510	8.10	20.05
92	20Aug2025 1520	8.10	20.05
93	20Aug2025 1530	8.09	20.05
94	20Aug2025 1540	8.09	20.05
95	20Aug2025 1550	8.09	20.05
96	20Aug2025 1600	8.09	20.05
97	20Aug2025 1610	8.09	20.04
98	20Aug2025 1620	8.09	20.04
99	20Aug2025 1630	8.09	20.04
100	20Aug2025 1640	8.09	20.04
101	20Aug2025 1650	8.09	20.04
102	20Aug2025 1700	8.09	20.04
103	20Aug2025 1710	8.09	20.04
104	20Aug2025 1720	8.09	20.04
105	20Aug2025 1730	8.09	20.04
106	20Aug2025 1740	8.09	20.03
107	20Aug2025 1750	8.09	20.03
108	20Aug2025 1800	8.09	20.03
109	20Aug2025 1810	8.09	20.03
110	20Aug2025 1820	8.09	20.03
111	20Aug2025 1830	8.09	20.03
112	20Aug2025 1840	8.09	20.03
113	20Aug2025 1850	8.09	20.03
114	20Aug2025 1900	8.09	20.03
115	20Aug2025 1910	8.09	20.03
116	20Aug2025 1920	8.09	20.03
117	20Aug2025 1930	8.09	20.03
118	20Aug2025 1940	8.09	20.02
119	20Aug2025 1950	8.09	20.02
120	20Aug2025 2000	8.09	20.02
121	20Aug2025 2010	8.09	20.02
122	20Aug2025 2020	8.09	20.02
123	20Aug2025 2030	8.09	20.02
124	20Aug2025 2040	8.09	20.02
125	20Aug2025 2050	8.09	20.02
126	20Aug2025 2100	8.09	20.02
127	20Aug2025 2110	8.09	20.02
128	20Aug2025 2120	8.09	20.02
129	20Aug2025 2130	8.09	20.02
130	20Aug2025 2140	8.09	20.02
131	20Aug2025 2150	8.09	20.02
132	20Aug2025 2200	8.09	20.02
133	20Aug2025 2210	8.09	20.02
134	20Aug2025 2220	8.09	20.02
135	20Aug2025 2230	8.09	20.02
136	20Aug2025 2240	8.09	20.01
137	20Aug2025 2250	8.08	20.01
138	20Aug2025 2300	8.08	20.01
139	20Aug2025 2310	8.08	20.01
140	20Aug2025 2320	8.08	20.01
141	20Aug2025 2330	8.08	20.01
142	20Aug2025 2340	8.08	20.01
143	20Aug2025 2350	8.08	20.01
144	20Aug2025 2400	8.08	20.01
