Ordinate	Time and Date	Stage Elevation (m)	Flow Flow (cms)
0	19Aug2025 2400	6.09	40.00
1	20Aug2025 0010	6.09	40.14
2	20Aug2025 0020	6.09	40.16
3	20Aug2025 0030	6.09	40.16
4	20Aug2025 0040	6.09	40.17
5	20Aug2025 0050	6.09	40.18
6	20Aug2025 0100	6.09	40.20
7	20Aug2025 0110	6.09	40.21
8	20Aug2025 0120	6.09	40.22
9	20Aug2025 0130	6.09	40.23
10	20Aug2025 0140	6.09	40.23
11	20Aug2025 0150	6.09	40.23
12	20Aug2025 0200	6.09	40.23
13	20Aug2025 0210	6.09	40.23
14	20Aug2025 0220	6.09	40.22
15	20Aug2025 0230	6.09	40.22
16	20Aug2025 0240	6.09	40.22
17	20Aug2025 0250	6.09	40.21
18	20Aug2025 0300	6.09	40.21
19	20Aug2025 0310	6.09	40.23
20	20Aug2025 0320	6.09	40.26
21	20Aug2025 0330	6.09	40.32
22	20Aug2025 0340	6.09	40.40
23	20Aug2025 0350	6.09	40.52
24	20Aug2025 0400	6.09	40.66
25	20Aug2025 0410	6.09	40.81
26	20Aug2025 0420	6.09	40.95
27	20Aug2025 0430	6.09	41.08
28	20Aug2025 0440	6.09	41.19
29	20Aug2025 0450	6.09	41.27
30	20Aug2025 0500	6.09	41.32
31	20Aug2025 0510	6.09	41.36
32	20Aug2025 0520	6.09	41.38
33	20Aug2025 0530	6.09	41.38
34	20Aug2025 0540	6.09	41.38
35	20Aug2025 0550	6.09	41.37
36	20Aug2025 0600	6.09	41.35
37	20Aug2025 0610	6.09	41.33
38	20Aug2025 0620	6.09	41.31
39	20Aug2025 0630	6.09	41.28
40	20Aug2025 0640	6.09	41.26
41	20Aug2025 0650	6.09	41.23
42	20Aug2025 0700	6.09	41.20
43	20Aug2025 0710	6.09	41.17
44	20Aug2025 0720	6.09	41.14
45	20Aug2025 0730	6.09	41.11
46	20Aug2025 0740	6.09	41.08
47	20Aug2025 0750	6.09	41.05
48	20Aug2025 0800	6.09	41.02
49	20Aug2025 0810	6.09	41.00
50	20Aug2025 0820	6.09	40.97
51	20Aug2025 0830	6.09	40.94
52	20Aug2025 0840	6.09	40.92
53	20Aug2025 0850	6.09	40.89
54	20Aug2025 0900	6.09	40.87
55	20Aug2025 0910	6.09	40.84
56	20Aug2025 0920	6.09	40.82
57	20Aug2025 0930	6.09	40.80
58	20Aug2025 0940	6.09	40.78
59	20Aug2025 0950	6.09	40.75
60	20Aug2025 1000	6.09	40.73
61	20Aug2025 1010	6.09	40.71
